CNAME:,NEIMAN MARCUS GROUP INC
Google Trends Search Term:,neiman marcus
Google Trends Suggestion:,department store company
Google Trends URL:,/m/0292bk
Year,Month,SVI Data
2004,Jan,46
2004,Feb,43
2004,Mar,46
2004,Apr,43
2004,May,40
2004,Jun,39
2004,Jul,42
2004,Aug,42
2004,Sep,51
2004,Oct,48
2004,Nov,55
2004,Dec,75
2005,Jan,49
2005,Feb,46
2005,Mar,51
2005,Apr,47
2005,May,52
2005,Jun,49
2005,Jul,45
2005,Aug,49
2005,Sep,51
2005,Oct,53
2005,Nov,61
2005,Dec,81
2006,Jan,51
2006,Feb,50
2006,Mar,54
2006,Apr,49
2006,May,49
2006,Jun,47
2006,Jul,50
2006,Aug,52
2006,Sep,53
2006,Oct,55
2006,Nov,62
2006,Dec,75
2007,Jan,53
2007,Feb,54
2007,Mar,52
2007,Apr,53
2007,May,50
2007,Jun,50
2007,Jul,48
2007,Aug,50
2007,Sep,52
2007,Oct,51
2007,Nov,62
2007,Dec,85
2008,Jan,52
2008,Feb,52
2008,Mar,48
2008,Apr,47
2008,May,45
2008,Jun,45
2008,Jul,44
2008,Aug,44
2008,Sep,44
2008,Oct,49
2008,Nov,56
2008,Dec,86
2009,Jan,51
2009,Feb,45
2009,Mar,41
2009,Apr,39
2009,May,39
2009,Jun,36
2009,Jul,36
2009,Aug,37
2009,Sep,37
2009,Oct,42
2009,Nov,46
2009,Dec,64
2010,Jan,42
2010,Feb,37
2010,Mar,39
2010,Apr,37
2010,May,37
2010,Jun,34
2010,Jul,32
2010,Aug,32
2010,Sep,34
2010,Oct,39
2010,Nov,51
2010,Dec,69
2011,Jan,55
2011,Feb,55
2011,Mar,52
2011,Apr,51
2011,May,52
2011,Jun,47
2011,Jul,49
2011,Aug,50
2011,Sep,50
2011,Oct,56
2011,Nov,65
2011,Dec,84
2012,Jan,63
2012,Feb,58
2012,Mar,59
2012,Apr,56
2012,May,59
2012,Jun,55
2012,Jul,55
2012,Aug,52
2012,Sep,53
2012,Oct,58
2012,Nov,82
2012,Dec,100
2013,Jan,66
2013,Feb,59
2013,Mar,60
2013,Apr,58
2013,May,59
2013,Jun,56
2013,Jul,53
2013,Aug,51
2013,Sep,54
2013,Oct,56
2013,Nov,67
2013,Dec,86
2014,Jan,67
2014,Feb,58
2014,Mar,55
2014,Apr,56
2014,May,56
2014,Jun,52
2014,Jul,49
2014,Aug,46
2014,Sep,50
2014,Oct,50
2014,Nov,61
2014,Dec,74
2015,Jan,51
2015,Feb,49
2015,Mar,49
2015,Apr,46
2015,May,45
2015,Jun,45
2015,Jul,45
2015,Aug,42
2015,Sep,43
2015,Oct,45
2015,Nov,58
2015,Dec,64
2016,Jan,52
2016,Feb,45
2016,Mar,42
2016,Apr,42
2016,May,44
2016,Jun,41
2016,Jul,38
2016,Aug,37
2016,Sep,37
2016,Oct,36
2016,Nov,50
2016,Dec,55
2017,Jan,38
2017,Feb,38
2017,Mar,39
2017,Apr,38
2017,May,41
2017,Jun,39
2017,Jul,37
2017,Aug,37
2017,Sep,37
2017,Oct,38
2017,Nov,52
2017,Dec,59
2018,Jan,42
2018,Feb,40
2018,Mar,40
2018,Apr,40
2018,May,41
2018,Jun,39
2018,Jul,36
2018,Aug,34
2018,Sep,35
2018,Oct,37
2018,Nov,50
2018,Dec,56
2019,Jan,39
2019,Feb,38
2019,Mar,37
2019,Apr,38
2019,May,40
2019,Jun,37
2019,Jul,36
2019,Aug,34
2019,Sep,34
2019,Oct,36
2019,Nov,45
2019,Dec,54
2020,Jan,38
2020,Feb,34
2020,Mar,29
2020,Apr,44
2020,May,43
2020,Jun,34
2020,Jul,34
2020,Aug,30
2020,Sep,29
2020,Oct,27
2020,Nov,31
2020,Dec,44
2021,Jan,28
2021,Feb,27
2021,Mar,29
2021,Apr,31
2021,May,32
2021,Jun,29
2021,Jul,29
2021,Aug,28
2021,Sep,29
2021,Oct,31
2021,Nov,40
2021,Dec,47
2022,Jan,34
2022,Feb,32
2022,Mar,32
