CNAME:,WILLIAMS SONOMA INC
Google Trends Search Term:,williams-sonoma inc
Google Trends Suggestion:,retail company
Google Trends URL:,/m/04503s
Year,Month,SVI Data
2004,Jan,35
2004,Feb,30
2004,Mar,31
2004,Apr,31
2004,May,35
2004,Jun,37
2004,Jul,39
2004,Aug,38
2004,Sep,36
2004,Oct,36
2004,Nov,60
2004,Dec,90
2005,Jan,40
2005,Feb,34
2005,Mar,36
2005,Apr,34
2005,May,40
2005,Jun,40
2005,Jul,39
2005,Aug,39
2005,Sep,36
2005,Oct,37
2005,Nov,61
2005,Dec,85
2006,Jan,40
2006,Feb,36
2006,Mar,34
2006,Apr,35
2006,May,37
2006,Jun,40
2006,Jul,39
2006,Aug,39
2006,Sep,38
2006,Oct,39
2006,Nov,57
2006,Dec,100
2007,Jan,39
2007,Feb,35
2007,Mar,32
2007,Apr,35
2007,May,35
2007,Jun,37
2007,Jul,36
2007,Aug,35
2007,Sep,34
2007,Oct,35
2007,Nov,65
2007,Dec,100
2008,Jan,35
2008,Feb,30
2008,Mar,31
2008,Apr,29
2008,May,30
2008,Jun,31
2008,Jul,30
2008,Aug,30
2008,Sep,27
2008,Oct,28
2008,Nov,50
2008,Dec,88
2009,Jan,38
2009,Feb,27
2009,Mar,25
2009,Apr,26
2009,May,27
2009,Jun,28
2009,Jul,28
2009,Aug,28
2009,Sep,27
2009,Oct,29
2009,Nov,52
2009,Dec,84
2010,Jan,34
2010,Feb,25
2010,Mar,24
2010,Apr,23
2010,May,25
2010,Jun,25
2010,Jul,22
2010,Aug,23
2010,Sep,22
2010,Oct,25
2010,Nov,47
2010,Dec,72
2011,Jan,41
2011,Feb,32
2011,Mar,29
2011,Apr,31
2011,May,31
2011,Jun,32
2011,Jul,33
2011,Aug,32
2011,Sep,33
2011,Oct,34
2011,Nov,58
2011,Dec,80
2012,Jan,41
2012,Feb,32
2012,Mar,30
2012,Apr,28
2012,May,26
2012,Jun,27
2012,Jul,27
2012,Aug,26
2012,Sep,27
2012,Oct,26
2012,Nov,47
2012,Dec,64
2013,Jan,31
2013,Feb,24
2013,Mar,25
2013,Apr,23
2013,May,23
2013,Jun,23
2013,Jul,23
2013,Aug,23
2013,Sep,23
2013,Oct,26
2013,Nov,42
2013,Dec,64
2014,Jan,29
2014,Feb,22
2014,Mar,22
2014,Apr,22
2014,May,22
2014,Jun,21
2014,Jul,22
2014,Aug,21
2014,Sep,21
2014,Oct,21
2014,Nov,37
2014,Dec,54
2015,Jan,24
2015,Feb,19
2015,Mar,19
2015,Apr,16
2015,May,15
2015,Jun,18
2015,Jul,18
2015,Aug,18
2015,Sep,17
2015,Oct,19
2015,Nov,35
2015,Dec,47
2016,Jan,21
2016,Feb,16
2016,Mar,16
2016,Apr,14
2016,May,15
2016,Jun,14
2016,Jul,15
2016,Aug,15
2016,Sep,15
2016,Oct,17
2016,Nov,30
2016,Dec,40
2017,Jan,19
2017,Feb,14
2017,Mar,14
2017,Apr,15
2017,May,15
2017,Jun,14
2017,Jul,15
2017,Aug,14
2017,Sep,15
2017,Oct,17
2017,Nov,34
2017,Dec,41
2018,Jan,20
2018,Feb,16
2018,Mar,15
2018,Apr,15
2018,May,15
2018,Jun,14
2018,Jul,15
2018,Aug,15
2018,Sep,16
2018,Oct,17
2018,Nov,34
2018,Dec,42
2019,Jan,19
2019,Feb,15
2019,Mar,14
2019,Apr,13
2019,May,14
2019,Jun,14
2019,Jul,14
2019,Aug,14
2019,Sep,14
2019,Oct,16
2019,Nov,30
2019,Dec,42
2020,Jan,17
2020,Feb,14
2020,Mar,14
2020,Apr,21
2020,May,22
2020,Jun,19
2020,Jul,19
2020,Aug,18
2020,Sep,17
2020,Oct,20
2020,Nov,36
2020,Dec,45
2021,Jan,21
2021,Feb,18
2021,Mar,16
2021,Apr,15
2021,May,14
2021,Jun,13
2021,Jul,13
2021,Aug,14
2021,Sep,15
2021,Oct,18
2021,Nov,35
2021,Dec,38
2022,Jan,19
2022,Feb,15
2022,Mar,13
