CNAME:,HOST HOTELS & RESORTS INC
Google Trends Search Term:,host hotels & resorts
Google Trends Suggestion:,real estate investment trust company
Google Trends URL:,/m/079q73
Year,Month,SVI Data
2004,Jan,56
2004,Feb,73
2004,Mar,23
2004,Apr,18
2004,May,33
2004,Jun,50
2004,Jul,51
2004,Aug,54
2004,Sep,59
2004,Oct,53
2004,Nov,70
2004,Dec,28
2005,Jan,42
2005,Feb,19
2005,Mar,43
2005,Apr,12
2005,May,39
2005,Jun,74
2005,Jul,56
2005,Aug,32
2005,Sep,29
2005,Oct,55
2005,Nov,94
2005,Dec,13
2006,Jan,48
2006,Feb,41
2006,Mar,51
2006,Apr,100
2006,May,62
2006,Jun,34
2006,Jul,52
2006,Aug,51
2006,Sep,38
2006,Oct,63
2006,Nov,40
2006,Dec,16
2007,Jan,66
2007,Feb,61
2007,Mar,66
2007,Apr,53
2007,May,49
2007,Jun,44
2007,Jul,49
2007,Aug,26
2007,Sep,40
2007,Oct,71
2007,Nov,29
2007,Dec,48
2008,Jan,44
2008,Feb,39
2008,Mar,29
2008,Apr,53
2008,May,40
2008,Jun,30
2008,Jul,39
2008,Aug,36
2008,Sep,32
2008,Oct,29
2008,Nov,31
2008,Dec,27
2009,Jan,27
2009,Feb,31
2009,Mar,32
2009,Apr,48
2009,May,34
2009,Jun,16
2009,Jul,34
2009,Aug,30
2009,Sep,34
2009,Oct,25
2009,Nov,26
2009,Dec,27
2010,Jan,41
2010,Feb,27
2010,Mar,44
2010,Apr,35
2010,May,21
2010,Jun,23
2010,Jul,40
2010,Aug,23
2010,Sep,18
2010,Oct,21
2010,Nov,12
2010,Dec,21
2011,Jan,21
2011,Feb,36
2011,Mar,27
2011,Apr,26
2011,May,20
2011,Jun,39
2011,Jul,30
2011,Aug,27
2011,Sep,26
2011,Oct,28
2011,Nov,31
2011,Dec,18
2012,Jan,25
2012,Feb,27
2012,Mar,22
2012,Apr,24
2012,May,24
2012,Jun,25
2012,Jul,23
2012,Aug,24
2012,Sep,22
2012,Oct,24
2012,Nov,16
2012,Dec,13
2013,Jan,22
2013,Feb,22
2013,Mar,20
2013,Apr,21
2013,May,20
2013,Jun,17
2013,Jul,19
2013,Aug,21
2013,Sep,16
2013,Oct,17
2013,Nov,20
2013,Dec,17
2014,Jan,18
2014,Feb,27
2014,Mar,19
2014,Apr,17
2014,May,23
2014,Jun,21
2014,Jul,20
2014,Aug,21
2014,Sep,15
2014,Oct,17
2014,Nov,24
2014,Dec,20
2015,Jan,19
2015,Feb,19
2015,Mar,21
2015,Apr,26
2015,May,22
2015,Jun,19
2015,Jul,20
2015,Aug,23
2015,Sep,21
2015,Oct,21
2015,Nov,19
2015,Dec,18
2016,Jan,21
2016,Feb,21
2016,Mar,18
2016,Apr,14
2016,May,18
2016,Jun,17
2016,Jul,15
2016,Aug,18
2016,Sep,13
2016,Oct,17
2016,Nov,11
2016,Dec,13
2017,Jan,16
2017,Feb,15
2017,Mar,19
2017,Apr,16
2017,May,13
2017,Jun,14
2017,Jul,18
2017,Aug,11
2017,Sep,14
2017,Oct,15
2017,Nov,13
2017,Dec,10
2018,Jan,16
2018,Feb,17
2018,Mar,14
2018,Apr,18
2018,May,12
2018,Jun,14
2018,Jul,16
2018,Aug,20
2018,Sep,13
2018,Oct,12
2018,Nov,14
2018,Dec,8
2019,Jan,18
2019,Feb,17
2019,Mar,17
2019,Apr,16
2019,May,20
2019,Jun,21
2019,Jul,18
2019,Aug,17
2019,Sep,10
2019,Oct,12
2019,Nov,12
2019,Dec,10
2020,Jan,12
2020,Feb,15
2020,Mar,23
2020,Apr,16
2020,May,10
2020,Jun,13
2020,Jul,9
2020,Aug,13
2020,Sep,10
2020,Oct,10
2020,Nov,15
2020,Dec,7
2021,Jan,6
2021,Feb,12
2021,Mar,15
2021,Apr,9
2021,May,14
2021,Jun,11
2021,Jul,14
2021,Aug,16
2021,Sep,9
2021,Oct,11
2021,Nov,12
2021,Dec,7
2022,Jan,13
2022,Feb,21
2022,Mar,17
