CNAME:,VERTEX PHARMACEUTICALS INC
Google Trends Search Term:,vertex pharmaceuticals
Google Trends Suggestion:,biotech company
Google Trends URL:,/m/065pv5
Year,Month,SVI Data
2004,Jan,63
2004,Feb,100
2004,Mar,81
2004,Apr,53
2004,May,63
2004,Jun,84
2004,Jul,51
2004,Aug,61
2004,Sep,63
2004,Oct,74
2004,Nov,45
2004,Dec,59
2005,Jan,59
2005,Feb,62
2005,Mar,60
2005,Apr,73
2005,May,85
2005,Jun,59
2005,Jul,65
2005,Aug,46
2005,Sep,52
2005,Oct,52
2005,Nov,61
2005,Dec,47
2006,Jan,64
2006,Feb,76
2006,Mar,67
2006,Apr,61
2006,May,71
2006,Jun,65
2006,Jul,57
2006,Aug,49
2006,Sep,59
2006,Oct,64
2006,Nov,65
2006,Dec,53
2007,Jan,57
2007,Feb,69
2007,Mar,65
2007,Apr,78
2007,May,65
2007,Jun,57
2007,Jul,54
2007,Aug,58
2007,Sep,62
2007,Oct,51
2007,Nov,54
2007,Dec,54
2008,Jan,67
2008,Feb,68
2008,Mar,62
2008,Apr,63
2008,May,60
2008,Jun,59
2008,Jul,51
2008,Aug,44
2008,Sep,63
2008,Oct,65
2008,Nov,53
2008,Dec,47
2009,Jan,58
2009,Feb,63
2009,Mar,60
2009,Apr,62
2009,May,55
2009,Jun,54
2009,Jul,42
2009,Aug,50
2009,Sep,50
2009,Oct,48
2009,Nov,45
2009,Dec,45
2010,Jan,49
2010,Feb,52
2010,Mar,55
2010,Apr,49
2010,May,61
2010,Jun,56
2010,Jul,50
2010,Aug,50
2010,Sep,61
2010,Oct,54
2010,Nov,52
2010,Dec,46
2011,Jan,64
2011,Feb,71
2011,Mar,69
2011,Apr,73
2011,May,78
2011,Jun,65
2011,Jul,47
2011,Aug,62
2011,Sep,64
2011,Oct,63
2011,Nov,59
2011,Dec,54
2012,Jan,60
2012,Feb,67
2012,Mar,62
2012,Apr,52
2012,May,59
2012,Jun,46
2012,Jul,33
2012,Aug,40
2012,Sep,50
2012,Oct,42
2012,Nov,39
2012,Dec,36
2013,Jan,46
2013,Feb,46
2013,Mar,45
2013,Apr,57
2013,May,48
2013,Jun,32
2013,Jul,32
2013,Aug,36
2013,Sep,43
2013,Oct,40
2013,Nov,36
2013,Dec,35
2014,Jan,40
2014,Feb,47
2014,Mar,50
2014,Apr,46
2014,May,47
2014,Jun,48
2014,Jul,36
2014,Aug,35
2014,Sep,48
2014,Oct,43
2014,Nov,38
2014,Dec,36
2015,Jan,44
2015,Feb,44
2015,Mar,48
2015,Apr,51
2015,May,55
2015,Jun,39
2015,Jul,40
2015,Aug,40
2015,Sep,49
2015,Oct,47
2015,Nov,37
2015,Dec,35
2016,Jan,40
2016,Feb,43
2016,Mar,48
2016,Apr,51
2016,May,48
2016,Jun,37
2016,Jul,30
2016,Aug,36
2016,Sep,51
2016,Oct,44
2016,Nov,38
2016,Dec,35
2017,Jan,42
2017,Feb,47
2017,Mar,50
2017,Apr,47
2017,May,47
2017,Jun,36
2017,Jul,38
2017,Aug,37
2017,Sep,46
2017,Oct,44
2017,Nov,35
2017,Dec,32
2018,Jan,44
2018,Feb,53
2018,Mar,48
2018,Apr,54
2018,May,54
2018,Jun,41
2018,Jul,34
2018,Aug,40
2018,Sep,47
2018,Oct,48
2018,Nov,42
2018,Dec,37
2019,Jan,51
2019,Feb,54
2019,Mar,48
2019,Apr,56
2019,May,55
2019,Jun,35
2019,Jul,31
2019,Aug,42
2019,Sep,53
2019,Oct,59
2019,Nov,48
2019,Dec,40
2020,Jan,49
2020,Feb,55
2020,Mar,58
2020,Apr,68
2020,May,62
2020,Jun,42
2020,Jul,39
2020,Aug,43
2020,Sep,75
2020,Oct,64
2020,Nov,36
2020,Dec,43
2021,Jan,47
2021,Feb,53
2021,Mar,48
2021,Apr,52
2021,May,50
2021,Jun,48
2021,Jul,28
2021,Aug,29
2021,Sep,40
2021,Oct,37
2021,Nov,40
2021,Dec,35
2022,Jan,35
2022,Feb,40
2022,Mar,44
