CNAME:,CHEGG INC
Google Trends Search Term:,chegg
Google Trends Suggestion:,company
Google Trends URL:,/m/06zq99y
Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,0
2005,Mar,0
2005,Apr,0
2005,May,0
2005,Jun,0
2005,Jul,0
2005,Aug,0
2005,Sep,0
2005,Oct,0
2005,Nov,0
2005,Dec,0
2006,Jan,0
2006,Feb,0
2006,Mar,0
2006,Apr,0
2006,May,0
2006,Jun,0
2006,Jul,0
2006,Aug,0
2006,Sep,0
2006,Oct,0
2006,Nov,0
2006,Dec,0
2007,Jan,2
2007,Feb,0
2007,Mar,1
2007,Apr,0
2007,May,0
2007,Jun,0
2007,Jul,0
2007,Aug,1
2007,Sep,0
2007,Oct,0
2007,Nov,0
2007,Dec,0
2008,Jan,2
2008,Feb,1
2008,Mar,0
2008,Apr,1
2008,May,1
2008,Jun,1
2008,Jul,1
2008,Aug,5
2008,Sep,4
2008,Oct,1
2008,Nov,1
2008,Dec,3
2009,Jan,10
2009,Feb,2
2009,Mar,2
2009,Apr,2
2009,May,5
2009,Jun,4
2009,Jul,4
2009,Aug,20
2009,Sep,12
2009,Oct,3
2009,Nov,2
2009,Dec,10
2010,Jan,36
2010,Feb,10
2010,Mar,6
2010,Apr,6
2010,May,17
2010,Jun,13
2010,Jul,9
2010,Aug,48
2010,Sep,24
2010,Oct,6
2010,Nov,5
2010,Dec,23
2011,Jan,53
2011,Feb,12
2011,Mar,8
2011,Apr,7
2011,May,24
2011,Jun,14
2011,Jul,13
2011,Aug,57
2011,Sep,26
2011,Oct,7
2011,Nov,5
2011,Dec,27
2012,Jan,61
2012,Feb,14
2012,Mar,9
2012,Apr,11
2012,May,29
2012,Jun,21
2012,Jul,21
2012,Aug,79
2012,Sep,40
2012,Oct,23
2012,Nov,19
2012,Dec,31
2013,Jan,80
2013,Feb,29
2013,Mar,21
2013,Apr,25
2013,May,41
2013,Jun,24
2013,Jul,24
2013,Aug,92
2013,Sep,58
2013,Oct,27
2013,Nov,24
2013,Dec,44
2014,Jan,95
2014,Feb,37
2014,Mar,26
2014,Apr,29
2014,May,50
2014,Jun,26
2014,Jul,26
2014,Aug,100
2014,Sep,70
2014,Oct,33
2014,Nov,27
2014,Dec,52
2015,Jan,99
2015,Feb,46
2015,Mar,31
2015,Apr,37
2015,May,49
2015,Jun,27
2015,Jul,27
2015,Aug,96
2015,Sep,75
2015,Oct,42
2015,Nov,33
2015,Dec,53
2016,Jan,85
2016,Feb,50
2016,Mar,32
2016,Apr,37
2016,May,46
2016,Jun,26
2016,Jul,21
2016,Aug,82
2016,Sep,66
2016,Oct,43
2016,Nov,35
2016,Dec,49
2017,Jan,78
2017,Feb,57
2017,Mar,42
2017,Apr,46
2017,May,49
2017,Jun,26
2017,Jul,21
2017,Aug,75
2017,Sep,70
2017,Oct,55
2017,Nov,46
2017,Dec,47
2018,Jan,78
2018,Feb,58
2018,Mar,44
2018,Apr,52
2018,May,49
2018,Jun,27
2018,Jul,22
2018,Aug,68
2018,Sep,78
2018,Oct,60
2018,Nov,45
2018,Dec,44
2019,Jan,66
2019,Feb,60
2019,Mar,46
2019,Apr,55
2019,May,51
2019,Jun,33
2019,Jul,26
2019,Aug,65
2019,Sep,85
2019,Oct,68
2019,Nov,55
2019,Dec,54
2020,Jan,66
2020,Feb,72
2020,Mar,57
2020,Apr,86
2020,May,82
2020,Jun,51
2020,Jul,46
2020,Aug,71
2020,Sep,97
2020,Oct,86
2020,Nov,73
2020,Dec,63
2021,Jan,49
2021,Feb,69
2021,Mar,63
2021,Apr,65
2021,May,50
2021,Jun,32
2021,Jul,27
2021,Aug,38
2021,Sep,69
2021,Oct,61
2021,Nov,60
2021,Dec,48
2022,Jan,40
2022,Feb,56
2022,Mar,46
