CNAME:,CC MEDIA HOLDINGS INC
Google Trends Search Term:,iheartmedia
Google Trends Suggestion:,radio broadcasting stations company
Google Trends URL:,/m/018p5f
Year,Month,SVI Data
2004,Jan,67
2004,Feb,100
2004,Mar,70
2004,Apr,75
2004,May,47
2004,Jun,53
2004,Jul,67
2004,Aug,48
2004,Sep,54
2004,Oct,59
2004,Nov,48
2004,Dec,51
2005,Jan,42
2005,Feb,48
2005,Mar,42
2005,Apr,44
2005,May,41
2005,Jun,49
2005,Jul,47
2005,Aug,40
2005,Sep,49
2005,Oct,47
2005,Nov,43
2005,Dec,38
2006,Jan,42
2006,Feb,41
2006,Mar,33
2006,Apr,29
2006,May,38
2006,Jun,32
2006,Jul,38
2006,Aug,31
2006,Sep,28
2006,Oct,38
2006,Nov,40
2006,Dec,26
2007,Jan,27
2007,Feb,25
2007,Mar,24
2007,Apr,30
2007,May,28
2007,Jun,28
2007,Jul,27
2007,Aug,27
2007,Sep,28
2007,Oct,29
2007,Nov,23
2007,Dec,22
2008,Jan,26
2008,Feb,24
2008,Mar,22
2008,Apr,27
2008,May,24
2008,Jun,18
2008,Jul,21
2008,Aug,20
2008,Sep,19
2008,Oct,21
2008,Nov,19
2008,Dec,18
2009,Jan,24
2009,Feb,18
2009,Mar,17
2009,Apr,18
2009,May,21
2009,Jun,16
2009,Jul,16
2009,Aug,17
2009,Sep,20
2009,Oct,15
2009,Nov,17
2009,Dec,13
2010,Jan,20
2010,Feb,17
2010,Mar,18
2010,Apr,14
2010,May,14
2010,Jun,13
2010,Jul,13
2010,Aug,13
2010,Sep,13
2010,Oct,12
2010,Nov,11
2010,Dec,11
2011,Jan,14
2011,Feb,16
2011,Mar,16
2011,Apr,17
2011,May,12
2011,Jun,14
2011,Jul,14
2011,Aug,17
2011,Sep,15
2011,Oct,21
2011,Nov,14
2011,Dec,15
2012,Jan,19
2012,Feb,18
2012,Mar,29
2012,Apr,18
2012,May,20
2012,Jun,21
2012,Jul,18
2012,Aug,21
2012,Sep,19
2012,Oct,21
2012,Nov,17
2012,Dec,18
2013,Jan,19
2013,Feb,16
2013,Mar,17
2013,Apr,17
2013,May,18
2013,Jun,17
2013,Jul,17
2013,Aug,16
2013,Sep,16
2013,Oct,19
2013,Nov,18
2013,Dec,14
2014,Jan,18
2014,Feb,15
2014,Mar,17
2014,Apr,16
2014,May,19
2014,Jun,18
2014,Jul,19
2014,Aug,17
2014,Sep,21
2014,Oct,23
2014,Nov,19
2014,Dec,23
2015,Jan,22
2015,Feb,24
2015,Mar,26
2015,Apr,28
2015,May,24
2015,Jun,25
2015,Jul,25
2015,Aug,25
2015,Sep,25
2015,Oct,25
2015,Nov,22
2015,Dec,22
2016,Jan,20
2016,Feb,21
2016,Mar,25
2016,Apr,26
2016,May,24
2016,Jun,22
2016,Jul,17
2016,Aug,24
2016,Sep,21
2016,Oct,21
2016,Nov,21
2016,Dec,22
2017,Jan,21
2017,Feb,21
2017,Mar,21
2017,Apr,20
2017,May,19
2017,Jun,19
2017,Jul,16
2017,Aug,17
2017,Sep,15
2017,Oct,17
2017,Nov,18
2017,Dec,17
2018,Jan,18
2018,Feb,20
2018,Mar,41
2018,Apr,17
2018,May,18
2018,Jun,19
2018,Jul,17
2018,Aug,17
2018,Sep,15
2018,Oct,15
2018,Nov,13
2018,Dec,13
2019,Jan,16
2019,Feb,14
2019,Mar,17
2019,Apr,16
2019,May,17
2019,Jun,16
2019,Jul,15
2019,Aug,15
2019,Sep,15
2019,Oct,15
2019,Nov,10
2019,Dec,11
2020,Jan,19
2020,Feb,13
2020,Mar,12
2020,Apr,10
2020,May,9
2020,Jun,11
2020,Jul,11
2020,Aug,11
2020,Sep,12
2020,Oct,11
2020,Nov,8
2020,Dec,7
2021,Jan,7
2021,Feb,9
2021,Mar,8
2021,Apr,8
2021,May,7
2021,Jun,8
2021,Jul,7
2021,Aug,8
2021,Sep,8
2021,Oct,8
2021,Nov,8
2021,Dec,8
2022,Jan,8
2022,Feb,8
2022,Mar,9
