CNAME:,SALESFORCE.COM INC
Google Trends Search Term:,salesforce
Google Trends Suggestion:,software company
Google Trends URL:,/m/07btr5
Year,Month,SVI Data
2004,Jan,7
2004,Feb,6
2004,Mar,7
2004,Apr,6
2004,May,8
2004,Jun,10
2004,Jul,7
2004,Aug,6
2004,Sep,6
2004,Oct,7
2004,Nov,6
2004,Dec,6
2005,Jan,7
2005,Feb,8
2005,Mar,7
2005,Apr,8
2005,May,8
2005,Jun,10
2005,Jul,9
2005,Aug,8
2005,Sep,8
2005,Oct,8
2005,Nov,10
2005,Dec,10
2006,Jan,11
2006,Feb,10
2006,Mar,9
2006,Apr,10
2006,May,10
2006,Jun,12
2006,Jul,10
2006,Aug,11
2006,Sep,10
2006,Oct,11
2006,Nov,11
2006,Dec,9
2007,Jan,11
2007,Feb,11
2007,Mar,12
2007,Apr,12
2007,May,13
2007,Jun,15
2007,Jul,12
2007,Aug,12
2007,Sep,14
2007,Oct,14
2007,Nov,13
2007,Dec,11
2008,Jan,13
2008,Feb,14
2008,Mar,14
2008,Apr,18
2008,May,14
2008,Jun,16
2008,Jul,16
2008,Aug,16
2008,Sep,15
2008,Oct,16
2008,Nov,15
2008,Dec,15
2009,Jan,18
2009,Feb,17
2009,Mar,17
2009,Apr,16
2009,May,16
2009,Jun,19
2009,Jul,18
2009,Aug,17
2009,Sep,18
2009,Oct,20
2009,Nov,19
2009,Dec,18
2010,Jan,21
2010,Feb,22
2010,Mar,24
2010,Apr,23
2010,May,23
2010,Jun,27
2010,Jul,23
2010,Aug,25
2010,Sep,24
2010,Oct,25
2010,Nov,24
2010,Dec,24
2011,Jan,26
2011,Feb,31
2011,Mar,29
2011,Apr,28
2011,May,27
2011,Jun,32
2011,Jul,29
2011,Aug,33
2011,Sep,34
2011,Oct,33
2011,Nov,32
2011,Dec,28
2012,Jan,37
2012,Feb,40
2012,Mar,40
2012,Apr,38
2012,May,42
2012,Jun,44
2012,Jul,41
2012,Aug,44
2012,Sep,42
2012,Oct,47
2012,Nov,41
2012,Dec,36
2013,Jan,48
2013,Feb,48
2013,Mar,48
2013,Apr,50
2013,May,52
2013,Jun,55
2013,Jul,53
2013,Aug,55
2013,Sep,51
2013,Oct,56
2013,Nov,54
2013,Dec,46
2014,Jan,58
2014,Feb,58
2014,Mar,59
2014,Apr,64
2014,May,63
2014,Jun,67
2014,Jul,68
2014,Aug,63
2014,Sep,68
2014,Oct,72
2014,Nov,59
2014,Dec,55
2015,Jan,64
2015,Feb,68
2015,Mar,69
2015,Apr,74
2015,May,71
2015,Jun,77
2015,Jul,75
2015,Aug,72
2015,Sep,75
2015,Oct,70
2015,Nov,65
2015,Dec,63
2016,Jan,62
2016,Feb,71
2016,Mar,74
2016,Apr,68
2016,May,71
2016,Jun,77
2016,Jul,63
2016,Aug,75
2016,Sep,71
2016,Oct,77
2016,Nov,66
2016,Dec,61
2017,Jan,68
2017,Feb,74
2017,Mar,80
2017,Apr,70
2017,May,78
2017,Jun,80
2017,Jul,74
2017,Aug,79
2017,Sep,69
2017,Oct,77
2017,Nov,74
2017,Dec,60
2018,Jan,77
2018,Feb,79
2018,Mar,81
2018,Apr,82
2018,May,84
2018,Jun,86
2018,Jul,79
2018,Aug,90
2018,Sep,85
2018,Oct,90
2018,Nov,77
2018,Dec,66
2019,Jan,84
2019,Feb,85
2019,Mar,86
2019,Apr,90
2019,May,93
2019,Jun,100
2019,Jul,93
2019,Aug,95
2019,Sep,93
2019,Oct,99
2019,Nov,87
2019,Dec,74
2020,Jan,93
2020,Feb,100
2020,Mar,86
2020,Apr,90
2020,May,85
2020,Jun,93
2020,Jul,90
2020,Aug,92
2020,Sep,85
2020,Oct,67
2020,Nov,51
2020,Dec,60
2021,Jan,57
2021,Feb,67
2021,Mar,64
2021,Apr,63
2021,May,64
2021,Jun,67
2021,Jul,62
2021,Aug,63
2021,Sep,66
2021,Oct,65
2021,Nov,62
2021,Dec,57
2022,Jan,68
2022,Feb,79
2022,Mar,72
