CNAME:,ZALE CORP
Google Trends Search Term:,zales jewelers
Google Trends Suggestion:,corporation
Google Trends URL:,/m/03m08q1
Year,Month,SVI Data
2004,Jan,24
2004,Feb,34
2004,Mar,20
2004,Apr,18
2004,May,23
2004,Jun,22
2004,Jul,23
2004,Aug,25
2004,Sep,23
2004,Oct,26
2004,Nov,49
2004,Dec,80
2005,Jan,27
2005,Feb,39
2005,Mar,21
2005,Apr,24
2005,May,27
2005,Jun,24
2005,Jul,22
2005,Aug,26
2005,Sep,25
2005,Oct,24
2005,Nov,54
2005,Dec,92
2006,Jan,33
2006,Feb,46
2006,Mar,25
2006,Apr,26
2006,May,30
2006,Jun,29
2006,Jul,30
2006,Aug,32
2006,Sep,29
2006,Oct,32
2006,Nov,63
2006,Dec,100
2007,Jan,37
2007,Feb,49
2007,Mar,28
2007,Apr,30
2007,May,37
2007,Jun,32
2007,Jul,34
2007,Aug,34
2007,Sep,33
2007,Oct,33
2007,Nov,62
2007,Dec,85
2008,Jan,36
2008,Feb,48
2008,Mar,28
2008,Apr,33
2008,May,36
2008,Jun,31
2008,Jul,30
2008,Aug,31
2008,Sep,28
2008,Oct,31
2008,Nov,50
2008,Dec,75
2009,Jan,37
2009,Feb,44
2009,Mar,29
2009,Apr,28
2009,May,32
2009,Jun,23
2009,Jul,23
2009,Aug,23
2009,Sep,23
2009,Oct,24
2009,Nov,41
2009,Dec,57
2010,Jan,28
2010,Feb,35
2010,Mar,23
2010,Apr,24
2010,May,26
2010,Jun,23
2010,Jul,24
2010,Aug,25
2010,Sep,24
2010,Oct,26
2010,Nov,41
2010,Dec,63
2011,Jan,33
2011,Feb,45
2011,Mar,29
2011,Apr,31
2011,May,33
2011,Jun,28
2011,Jul,27
2011,Aug,28
2011,Sep,29
2011,Oct,30
2011,Nov,69
2011,Dec,98
2012,Jan,40
2012,Feb,55
2012,Mar,30
2012,Apr,32
2012,May,40
2012,Jun,30
2012,Jul,30
2012,Aug,28
2012,Sep,28
2012,Oct,28
2012,Nov,65
2012,Dec,90
2013,Jan,39
2013,Feb,57
2013,Mar,31
2013,Apr,29
2013,May,42
2013,Jun,27
2013,Jul,29
2013,Aug,29
2013,Sep,26
2013,Oct,27
2013,Nov,57
2013,Dec,85
2014,Jan,36
2014,Feb,50
2014,Mar,29
2014,Apr,27
2014,May,36
2014,Jun,25
2014,Jul,26
2014,Aug,25
2014,Sep,25
2014,Oct,24
2014,Nov,56
2014,Dec,85
2015,Jan,37
2015,Feb,54
2015,Mar,26
2015,Apr,27
2015,May,32
2015,Jun,25
2015,Jul,27
2015,Aug,27
2015,Sep,24
2015,Oct,26
2015,Nov,53
2015,Dec,77
2016,Jan,35
2016,Feb,49
2016,Mar,26
2016,Apr,30
2016,May,35
2016,Jun,24
2016,Jul,25
2016,Aug,24
2016,Sep,24
2016,Oct,25
2016,Nov,49
2016,Dec,71
2017,Jan,31
2017,Feb,43
2017,Mar,24
2017,Apr,22
2017,May,34
2017,Jun,27
2017,Jul,27
2017,Aug,27
2017,Sep,20
2017,Oct,23
2017,Nov,53
2017,Dec,73
2018,Jan,32
2018,Feb,45
2018,Mar,26
2018,Apr,25
2018,May,35
2018,Jun,24
2018,Jul,24
2018,Aug,22
2018,Sep,20
2018,Oct,20
2018,Nov,52
2018,Dec,69
2019,Jan,28
2019,Feb,41
2019,Mar,24
2019,Apr,22
2019,May,36
2019,Jun,24
2019,Jul,25
2019,Aug,24
2019,Sep,22
2019,Oct,22
2019,Nov,49
2019,Dec,71
2020,Jan,29
2020,Feb,41
2020,Mar,20
2020,Apr,21
2020,May,37
2020,Jun,35
2020,Jul,33
2020,Aug,30
2020,Sep,28
2020,Oct,29
2020,Nov,52
2020,Dec,72
2021,Jan,37
2021,Feb,49
2021,Mar,32
2021,Apr,34
2021,May,37
2021,Jun,24
2021,Jul,27
2021,Aug,25
2021,Sep,24
2021,Oct,29
2021,Nov,55
2021,Dec,73
2022,Jan,36
2022,Feb,45
2022,Mar,29
