CNAME:,INTUIT INC
Google Trends Search Term:,intuit
Google Trends Suggestion:,software company
Google Trends URL:,/m/04fdd3
Year,Month,SVI Data
2004,Jan,81
2004,Feb,84
2004,Mar,56
2004,Apr,51
2004,May,36
2004,Jun,35
2004,Jul,37
2004,Aug,38
2004,Sep,39
2004,Oct,39
2004,Nov,39
2004,Dec,43
2005,Jan,73
2005,Feb,72
2005,Mar,70
2005,Apr,70
2005,May,47
2005,Jun,33
2005,Jul,29
2005,Aug,39
2005,Sep,35
2005,Oct,31
2005,Nov,30
2005,Dec,39
2006,Jan,53
2006,Feb,46
2006,Mar,42
2006,Apr,39
2006,May,28
2006,Jun,26
2006,Jul,27
2006,Aug,31
2006,Sep,27
2006,Oct,30
2006,Nov,29
2006,Dec,32
2007,Jan,46
2007,Feb,48
2007,Mar,40
2007,Apr,39
2007,May,26
2007,Jun,25
2007,Jul,26
2007,Aug,27
2007,Sep,24
2007,Oct,27
2007,Nov,26
2007,Dec,31
2008,Jan,41
2008,Feb,39
2008,Mar,34
2008,Apr,32
2008,May,23
2008,Jun,23
2008,Jul,23
2008,Aug,24
2008,Sep,25
2008,Oct,27
2008,Nov,29
2008,Dec,31
2009,Jan,47
2009,Feb,45
2009,Mar,39
2009,Apr,37
2009,May,29
2009,Jun,33
2009,Jul,29
2009,Aug,27
2009,Sep,31
2009,Oct,52
2009,Nov,53
2009,Dec,49
2010,Jan,83
2010,Feb,79
2010,Mar,64
2010,Apr,61
2010,May,50
2010,Jun,54
2010,Jul,41
2010,Aug,39
2010,Sep,44
2010,Oct,49
2010,Nov,44
2010,Dec,44
2011,Jan,70
2011,Feb,73
2011,Mar,60
2011,Apr,60
2011,May,48
2011,Jun,51
2011,Jul,47
2011,Aug,48
2011,Sep,49
2011,Oct,60
2011,Nov,54
2011,Dec,52
2012,Jan,75
2012,Feb,72
2012,Mar,71
2012,Apr,64
2012,May,54
2012,Jun,55
2012,Jul,55
2012,Aug,54
2012,Sep,53
2012,Oct,65
2012,Nov,53
2012,Dec,50
2013,Jan,82
2013,Feb,73
2013,Mar,64
2013,Apr,61
2013,May,50
2013,Jun,49
2013,Jul,52
2013,Aug,48
2013,Sep,48
2013,Oct,55
2013,Nov,47
2013,Dec,50
2014,Jan,90
2014,Feb,85
2014,Mar,71
2014,Apr,70
2014,May,53
2014,Jun,52
2014,Jul,52
2014,Aug,49
2014,Sep,50
2014,Oct,52
2014,Nov,47
2014,Dec,50
2015,Jan,86
2015,Feb,91
2015,Mar,65
2015,Apr,59
2015,May,46
2015,Jun,49
2015,Jul,49
2015,Aug,46
2015,Sep,44
2015,Oct,48
2015,Nov,46
2015,Dec,48
2016,Jan,78
2016,Feb,80
2016,Mar,58
2016,Apr,54
2016,May,41
2016,Jun,38
2016,Jul,37
2016,Aug,39
2016,Sep,36
2016,Oct,36
2016,Nov,35
2016,Dec,36
2017,Jan,65
2017,Feb,58
2017,Mar,49
2017,Apr,48
2017,May,34
2017,Jun,36
2017,Jul,35
2017,Aug,36
2017,Sep,35
2017,Oct,37
2017,Nov,36
2017,Dec,36
2018,Jan,76
2018,Feb,80
2018,Mar,57
2018,Apr,60
2018,May,38
2018,Jun,40
2018,Jul,37
2018,Aug,39
2018,Sep,35
2018,Oct,38
2018,Nov,35
2018,Dec,38
2019,Jan,79
2019,Feb,79
2019,Mar,63
2019,Apr,59
2019,May,38
2019,Jun,39
2019,Jul,40
2019,Aug,37
2019,Sep,36
2019,Oct,43
2019,Nov,36
2019,Dec,42
2020,Jan,87
2020,Feb,100
2020,Mar,66
2020,Apr,81
2020,May,45
2020,Jun,43
2020,Jul,53
2020,Aug,36
2020,Sep,34
2020,Oct,33
2020,Nov,29
2020,Dec,37
2021,Jan,72
2021,Feb,75
2021,Mar,68
2021,Apr,48
2021,May,44
2021,Jun,34
2021,Jul,34
2021,Aug,31
2021,Sep,35
2021,Oct,32
2021,Nov,32
2021,Dec,32
2022,Jan,57
2022,Feb,72
2022,Mar,56
