CNAME:,LIN TV CORP
Google Trends Search Term:,lin media
Google Trends Suggestion:,holding company
Google Trends URL:,/m/03938q
Year,Month,SVI Data
2004,Jan,13
2004,Feb,26
2004,Mar,16
2004,Apr,0
2004,May,23
2004,Jun,35
2004,Jul,48
2004,Aug,22
2004,Sep,21
2004,Oct,11
2004,Nov,11
2004,Dec,29
2005,Jan,17
2005,Feb,36
2005,Mar,8
2005,Apr,35
2005,May,16
2005,Jun,40
2005,Jul,31
2005,Aug,59
2005,Sep,7
2005,Oct,6
2005,Nov,0
2005,Dec,6
2006,Jan,33
2006,Feb,11
2006,Mar,15
2006,Apr,21
2006,May,20
2006,Jun,27
2006,Jul,10
2006,Aug,33
2006,Sep,5
2006,Oct,9
2006,Nov,22
2006,Dec,9
2007,Jan,11
2007,Feb,32
2007,Mar,18
2007,Apr,4
2007,May,17
2007,Jun,14
2007,Jul,24
2007,Aug,10
2007,Sep,16
2007,Oct,17
2007,Nov,9
2007,Dec,15
2008,Jan,8
2008,Feb,8
2008,Mar,22
2008,Apr,11
2008,May,8
2008,Jun,6
2008,Jul,11
2008,Aug,19
2008,Sep,25
2008,Oct,100
2008,Nov,13
2008,Dec,12
2009,Jan,16
2009,Feb,20
2009,Mar,18
2009,Apr,9
2009,May,9
2009,Jun,7
2009,Jul,16
2009,Aug,9
2009,Sep,0
2009,Oct,8
2009,Nov,19
2009,Dec,10
2010,Jan,12
2010,Feb,6
2010,Mar,6
2010,Apr,20
2010,May,15
2010,Jun,8
2010,Jul,9
2010,Aug,9
2010,Sep,13
2010,Oct,8
2010,Nov,3
2010,Dec,8
2011,Jan,16
2011,Feb,15
2011,Mar,84
2011,Apr,19
2011,May,15
2011,Jun,13
2011,Jul,11
2011,Aug,9
2011,Sep,14
2011,Oct,17
2011,Nov,12
2011,Dec,13
2012,Jan,15
2012,Feb,19
2012,Mar,19
2012,Apr,16
2012,May,26
2012,Jun,17
2012,Jul,13
2012,Aug,20
2012,Sep,14
2012,Oct,18
2012,Nov,16
2012,Dec,12
2013,Jan,21
2013,Feb,21
2013,Mar,20
2013,Apr,16
2013,May,21
2013,Jun,16
2013,Jul,18
2013,Aug,22
2013,Sep,20
2013,Oct,23
2013,Nov,19
2013,Dec,18
2014,Jan,15
2014,Feb,29
2014,Mar,55
2014,Apr,34
2014,May,17
2014,Jun,32
2014,Jul,16
2014,Aug,39
2014,Sep,16
2014,Oct,16
2014,Nov,21
2014,Dec,21
2015,Jan,12
2015,Feb,12
2015,Mar,8
2015,Apr,14
2015,May,6
2015,Jun,9
2015,Jul,10
2015,Aug,9
2015,Sep,11
2015,Oct,6
2015,Nov,7
2015,Dec,6
2016,Jan,3
2016,Feb,7
2016,Mar,3
2016,Apr,4
2016,May,4
2016,Jun,11
2016,Jul,5
2016,Aug,3
2016,Sep,2
2016,Oct,3
2016,Nov,1
2016,Dec,0
2017,Jan,8
2017,Feb,3
2017,Mar,2
2017,Apr,1
2017,May,2
2017,Jun,4
2017,Jul,1
2017,Aug,2
2017,Sep,2
2017,Oct,3
2017,Nov,0
2017,Dec,2
2018,Jan,1
2018,Feb,1
2018,Mar,4
2018,Apr,2
2018,May,2
2018,Jun,2
2018,Jul,1
2018,Aug,1
2018,Sep,1
2018,Oct,1
2018,Nov,2
2018,Dec,1
2019,Jan,2
2019,Feb,2
2019,Mar,2
2019,Apr,1
2019,May,1
2019,Jun,0
2019,Jul,0
2019,Aug,1
2019,Sep,0
2019,Oct,2
2019,Nov,1
2019,Dec,1
2020,Jan,0
2020,Feb,1
2020,Mar,1
2020,Apr,1
2020,May,0
2020,Jun,0
2020,Jul,0
2020,Aug,2
2020,Sep,0
2020,Oct,0
2020,Nov,1
2020,Dec,1
2021,Jan,0
2021,Feb,2
2021,Mar,1
2021,Apr,2
2021,May,0
2021,Jun,0
2021,Jul,0
2021,Aug,0
2021,Sep,1
2021,Oct,1
2021,Nov,1
2021,Dec,0
2022,Jan,1
2022,Feb,1
2022,Mar,0
