CNAME:,SEATTLE GENETICS INC
Google Trends Search Term:,seagen
Google Trends Suggestion:,biotechnology company
Google Trends URL:,/m/03p3404
Year,Month,SVI Data
2004,Jan,61
2004,Feb,71
2004,Mar,15
2004,Apr,23
2004,May,95
2004,Jun,65
2004,Jul,44
2004,Aug,80
2004,Sep,10
2004,Oct,20
2004,Nov,20
2004,Dec,18
2005,Jan,86
2005,Feb,41
2005,Mar,56
2005,Apr,48
2005,May,50
2005,Jun,44
2005,Jul,29
2005,Aug,27
2005,Sep,38
2005,Oct,30
2005,Nov,24
2005,Dec,35
2006,Jan,67
2006,Feb,32
2006,Mar,43
2006,Apr,10
2006,May,42
2006,Jun,45
2006,Jul,19
2006,Aug,18
2006,Sep,49
2006,Oct,20
2006,Nov,36
2006,Dec,61
2007,Jan,75
2007,Feb,72
2007,Mar,34
2007,Apr,34
2007,May,22
2007,Jun,43
2007,Jul,35
2007,Aug,54
2007,Sep,42
2007,Oct,32
2007,Nov,41
2007,Dec,45
2008,Jan,72
2008,Feb,28
2008,Mar,25
2008,Apr,61
2008,May,47
2008,Jun,42
2008,Jul,48
2008,Aug,25
2008,Sep,52
2008,Oct,44
2008,Nov,37
2008,Dec,34
2009,Jan,32
2009,Feb,48
2009,Mar,39
2009,Apr,37
2009,May,42
2009,Jun,45
2009,Jul,27
2009,Aug,49
2009,Sep,44
2009,Oct,38
2009,Nov,43
2009,Dec,59
2010,Jan,36
2010,Feb,43
2010,Mar,45
2010,Apr,49
2010,May,55
2010,Jun,31
2010,Jul,35
2010,Aug,49
2010,Sep,68
2010,Oct,63
2010,Nov,60
2010,Dec,65
2011,Jan,60
2011,Feb,64
2011,Mar,68
2011,Apr,55
2011,May,60
2011,Jun,72
2011,Jul,94
2011,Aug,100
2011,Sep,59
2011,Oct,50
2011,Nov,50
2011,Dec,30
2012,Jan,47
2012,Feb,38
2012,Mar,58
2012,Apr,42
2012,May,44
2012,Jun,63
2012,Jul,45
2012,Aug,46
2012,Sep,45
2012,Oct,46
2012,Nov,29
2012,Dec,33
2013,Jan,41
2013,Feb,50
2013,Mar,45
2013,Apr,43
2013,May,37
2013,Jun,48
2013,Jul,37
2013,Aug,40
2013,Sep,50
2013,Oct,39
2013,Nov,48
2013,Dec,37
2014,Jan,50
2014,Feb,44
2014,Mar,51
2014,Apr,48
2014,May,48
2014,Jun,53
2014,Jul,42
2014,Aug,36
2014,Sep,50
2014,Oct,60
2014,Nov,51
2014,Dec,43
2015,Jan,44
2015,Feb,40
2015,Mar,47
2015,Apr,51
2015,May,56
2015,Jun,55
2015,Jul,41
2015,Aug,46
2015,Sep,42
2015,Oct,39
2015,Nov,30
2015,Dec,36
2016,Jan,31
2016,Feb,40
2016,Mar,49
2016,Apr,38
2016,May,37
2016,Jun,35
2016,Jul,35
2016,Aug,29
2016,Sep,32
2016,Oct,35
2016,Nov,48
2016,Dec,60
2017,Jan,46
2017,Feb,53
2017,Mar,43
2017,Apr,39
2017,May,41
2017,Jun,60
2017,Jul,44
2017,Aug,44
2017,Sep,33
2017,Oct,47
2017,Nov,39
2017,Dec,29
2018,Jan,48
2018,Feb,64
2018,Mar,60
2018,Apr,50
2018,May,46
2018,Jun,35
2018,Jul,42
2018,Aug,50
2018,Sep,37
2018,Oct,52
2018,Nov,38
2018,Dec,43
2019,Jan,49
2019,Feb,47
2019,Mar,48
2019,Apr,62
2019,May,68
2019,Jun,53
2019,Jul,69
2019,Aug,44
2019,Sep,50
2019,Oct,85
2019,Nov,74
2019,Dec,60
2020,Jan,71
2020,Feb,71
2020,Mar,59
2020,Apr,72
2020,May,77
2020,Jun,63
2020,Jul,79
2020,Aug,63
2020,Sep,86
2020,Oct,94
2020,Nov,59
2020,Dec,58
2021,Jan,61
2021,Feb,70
2021,Mar,71
2021,Apr,67
2021,May,56
2021,Jun,53
2021,Jul,60
2021,Aug,58
2021,Sep,65
2021,Oct,57
2021,Nov,56
2021,Dec,48
2022,Jan,53
2022,Feb,67
2022,Mar,60
