CNAME:,USG CORP
Google Trends Search Term:,usg corporation
Google Trends Suggestion:,company
Google Trends URL:,/m/02wsg7
Year,Month,SVI Data
2004,Jan,59
2004,Feb,100
2004,Mar,77
2004,Apr,73
2004,May,73
2004,Jun,52
2004,Jul,58
2004,Aug,82
2004,Sep,60
2004,Oct,60
2004,Nov,64
2004,Dec,70
2005,Jan,68
2005,Feb,78
2005,Mar,67
2005,Apr,66
2005,May,94
2005,Jun,81
2005,Jul,57
2005,Aug,58
2005,Sep,64
2005,Oct,78
2005,Nov,54
2005,Dec,45
2006,Jan,84
2006,Feb,86
2006,Mar,83
2006,Apr,70
2006,May,65
2006,Jun,74
2006,Jul,81
2006,Aug,64
2006,Sep,70
2006,Oct,75
2006,Nov,82
2006,Dec,56
2007,Jan,54
2007,Feb,82
2007,Mar,64
2007,Apr,59
2007,May,58
2007,Jun,63
2007,Jul,72
2007,Aug,61
2007,Sep,51
2007,Oct,58
2007,Nov,58
2007,Dec,47
2008,Jan,53
2008,Feb,62
2008,Mar,65
2008,Apr,63
2008,May,54
2008,Jun,50
2008,Jul,59
2008,Aug,52
2008,Sep,59
2008,Oct,45
2008,Nov,54
2008,Dec,51
2009,Jan,59
2009,Feb,50
2009,Mar,65
2009,Apr,49
2009,May,50
2009,Jun,55
2009,Jul,55
2009,Aug,42
2009,Sep,42
2009,Oct,44
2009,Nov,39
2009,Dec,41
2010,Jan,43
2010,Feb,47
2010,Mar,47
2010,Apr,53
2010,May,49
2010,Jun,48
2010,Jul,36
2010,Aug,40
2010,Sep,36
2010,Oct,34
2010,Nov,37
2010,Dec,34
2011,Jan,40
2011,Feb,45
2011,Mar,40
2011,Apr,40
2011,May,40
2011,Jun,41
2011,Jul,39
2011,Aug,38
2011,Sep,36
2011,Oct,31
2011,Nov,32
2011,Dec,33
2012,Jan,38
2012,Feb,46
2012,Mar,31
2012,Apr,36
2012,May,34
2012,Jun,29
2012,Jul,33
2012,Aug,33
2012,Sep,31
2012,Oct,34
2012,Nov,31
2012,Dec,26
2013,Jan,34
2013,Feb,36
2013,Mar,37
2013,Apr,32
2013,May,33
2013,Jun,31
2013,Jul,35
2013,Aug,32
2013,Sep,26
2013,Oct,40
2013,Nov,31
2013,Dec,26
2014,Jan,35
2014,Feb,37
2014,Mar,35
2014,Apr,34
2014,May,29
2014,Jun,34
2014,Jul,38
2014,Aug,37
2014,Sep,31
2014,Oct,32
2014,Nov,28
2014,Dec,29
2015,Jan,36
2015,Feb,36
2015,Mar,34
2015,Apr,33
2015,May,31
2015,Jun,35
2015,Jul,34
2015,Aug,31
2015,Sep,33
2015,Oct,30
2015,Nov,30
2015,Dec,29
2016,Jan,28
2016,Feb,35
2016,Mar,31
2016,Apr,32
2016,May,29
2016,Jun,29
2016,Jul,30
2016,Aug,36
2016,Sep,32
2016,Oct,26
2016,Nov,25
2016,Dec,26
2017,Jan,32
2017,Feb,34
2017,Mar,35
2017,Apr,30
2017,May,33
2017,Jun,31
2017,Jul,36
2017,Aug,35
2017,Sep,47
2017,Oct,35
2017,Nov,36
2017,Dec,29
2018,Jan,39
2018,Feb,35
2018,Mar,40
2018,Apr,38
2018,May,37
2018,Jun,37
2018,Jul,31
2018,Aug,36
2018,Sep,31
2018,Oct,35
2018,Nov,23
2018,Dec,26
2019,Jan,34
2019,Feb,37
2019,Mar,33
2019,Apr,36
2019,May,32
2019,Jun,32
2019,Jul,29
2019,Aug,30
2019,Sep,30
2019,Oct,29
2019,Nov,28
2019,Dec,21
2020,Jan,32
2020,Feb,31
2020,Mar,27
2020,Apr,24
2020,May,24
2020,Jun,28
2020,Jul,26
2020,Aug,24
2020,Sep,24
2020,Oct,26
2020,Nov,23
2020,Dec,23
2021,Jan,23
2021,Feb,35
2021,Mar,33
2021,Apr,30
2021,May,29
2021,Jun,28
2021,Jul,22
2021,Aug,27
2021,Sep,24
2021,Oct,23
2021,Nov,19
2021,Dec,23
2022,Jan,26
2022,Feb,28
2022,Mar,30
