CNAME:,LEVI STRAUSS & CO
Google Trends Search Term:,levi strauss & co
Google Trends Suggestion:,clothing company
Google Trends URL:,/m/02j46m
Year,Month,SVI Data
2004,Jan,38
2004,Feb,36
2004,Mar,31
2004,Apr,32
2004,May,29
2004,Jun,26
2004,Jul,26
2004,Aug,34
2004,Sep,37
2004,Oct,39
2004,Nov,42
2004,Dec,42
2005,Jan,33
2005,Feb,35
2005,Mar,32
2005,Apr,32
2005,May,30
2005,Jun,26
2005,Jul,34
2005,Aug,35
2005,Sep,31
2005,Oct,35
2005,Nov,41
2005,Dec,41
2006,Jan,35
2006,Feb,29
2006,Mar,33
2006,Apr,30
2006,May,26
2006,Jun,22
2006,Jul,27
2006,Aug,33
2006,Sep,36
2006,Oct,37
2006,Nov,40
2006,Dec,44
2007,Jan,31
2007,Feb,34
2007,Mar,33
2007,Apr,28
2007,May,26
2007,Jun,25
2007,Jul,29
2007,Aug,33
2007,Sep,35
2007,Oct,38
2007,Nov,40
2007,Dec,46
2008,Jan,41
2008,Feb,38
2008,Mar,36
2008,Apr,32
2008,May,31
2008,Jun,27
2008,Jul,31
2008,Aug,36
2008,Sep,41
2008,Oct,40
2008,Nov,44
2008,Dec,49
2009,Jan,38
2009,Feb,34
2009,Mar,36
2009,Apr,34
2009,May,33
2009,Jun,30
2009,Jul,34
2009,Aug,39
2009,Sep,37
2009,Oct,47
2009,Nov,49
2009,Dec,52
2010,Jan,36
2010,Feb,37
2010,Mar,37
2010,Apr,35
2010,May,34
2010,Jun,30
2010,Jul,32
2010,Aug,40
2010,Sep,37
2010,Oct,42
2010,Nov,46
2010,Dec,51
2011,Jan,41
2011,Feb,44
2011,Mar,45
2011,Apr,41
2011,May,38
2011,Jun,33
2011,Jul,37
2011,Aug,51
2011,Sep,52
2011,Oct,54
2011,Nov,68
2011,Dec,72
2012,Jan,56
2012,Feb,57
2012,Mar,55
2012,Apr,50
2012,May,48
2012,Jun,44
2012,Jul,47
2012,Aug,56
2012,Sep,63
2012,Oct,66
2012,Nov,84
2012,Dec,74
2013,Jan,52
2013,Feb,52
2013,Mar,51
2013,Apr,45
2013,May,43
2013,Jun,36
2013,Jul,39
2013,Aug,49
2013,Sep,45
2013,Oct,53
2013,Nov,63
2013,Dec,69
2014,Jan,44
2014,Feb,44
2014,Mar,45
2014,Apr,42
2014,May,39
2014,Jun,31
2014,Jul,36
2014,Aug,46
2014,Sep,47
2014,Oct,49
2014,Nov,61
2014,Dec,61
2015,Jan,43
2015,Feb,44
2015,Mar,43
2015,Apr,39
2015,May,37
2015,Jun,32
2015,Jul,38
2015,Aug,44
2015,Sep,42
2015,Oct,52
2015,Nov,62
2015,Dec,60
2016,Jan,55
2016,Feb,60
2016,Mar,55
2016,Apr,53
2016,May,51
2016,Jun,44
2016,Jul,47
2016,Aug,49
2016,Sep,53
2016,Oct,61
2016,Nov,77
2016,Dec,74
2017,Jan,55
2017,Feb,56
2017,Mar,58
2017,Apr,57
2017,May,53
2017,Jun,49
2017,Jul,52
2017,Aug,59
2017,Sep,57
2017,Oct,66
2017,Nov,86
2017,Dec,78
2018,Jan,68
2018,Feb,69
2018,Mar,70
2018,Apr,64
2018,May,55
2018,Jun,56
2018,Jul,57
2018,Aug,62
2018,Sep,64
2018,Oct,69
2018,Nov,87
2018,Dec,83
2019,Jan,62
2019,Feb,65
2019,Mar,77
2019,Apr,65
2019,May,56
2019,Jun,55
2019,Jul,57
2019,Aug,63
2019,Sep,61
2019,Oct,69
2019,Nov,89
2019,Dec,91
2020,Jan,64
2020,Feb,68
2020,Mar,48
2020,Apr,57
2020,May,66
2020,Jun,66
2020,Jul,59
2020,Aug,58
2020,Sep,61
2020,Oct,73
2020,Nov,80
2020,Dec,80
2021,Jan,66
2021,Feb,71
2021,Mar,74
2021,Apr,78
2021,May,73
2021,Jun,64
2021,Jul,63
2021,Aug,67
2021,Sep,67
2021,Oct,73
2021,Nov,100
2021,Dec,89
2022,Jan,69
2022,Feb,70
2022,Mar,69
