CNAME:,DOLLAR TREE INC
Google Trends Search Term:,dollar tree
Google Trends Suggestion:,discount store company
Google Trends URL:,/m/040rs1
Year,Month,SVI Data
2004,Jan,3
2004,Feb,3
2004,Mar,4
2004,Apr,4
2004,May,4
2004,Jun,4
2004,Jul,4
2004,Aug,4
2004,Sep,4
2004,Oct,5
2004,Nov,5
2004,Dec,7
2005,Jan,4
2005,Feb,3
2005,Mar,4
2005,Apr,4
2005,May,5
2005,Jun,5
2005,Jul,5
2005,Aug,5
2005,Sep,4
2005,Oct,6
2005,Nov,5
2005,Dec,7
2006,Jan,5
2006,Feb,5
2006,Mar,4
2006,Apr,5
2006,May,5
2006,Jun,6
2006,Jul,6
2006,Aug,6
2006,Sep,6
2006,Oct,7
2006,Nov,7
2006,Dec,9
2007,Jan,5
2007,Feb,6
2007,Mar,6
2007,Apr,6
2007,May,7
2007,Jun,8
2007,Jul,7
2007,Aug,7
2007,Sep,7
2007,Oct,8
2007,Nov,9
2007,Dec,11
2008,Jan,6
2008,Feb,7
2008,Mar,7
2008,Apr,7
2008,May,8
2008,Jun,8
2008,Jul,9
2008,Aug,9
2008,Sep,8
2008,Oct,10
2008,Nov,9
2008,Dec,12
2009,Jan,8
2009,Feb,8
2009,Mar,8
2009,Apr,8
2009,May,10
2009,Jun,10
2009,Jul,10
2009,Aug,10
2009,Sep,10
2009,Oct,11
2009,Nov,11
2009,Dec,13
2010,Jan,9
2010,Feb,9
2010,Mar,9
2010,Apr,10
2010,May,11
2010,Jun,11
2010,Jul,11
2010,Aug,11
2010,Sep,12
2010,Oct,13
2010,Nov,13
2010,Dec,15
2011,Jan,14
2011,Feb,15
2011,Mar,16
2011,Apr,18
2011,May,20
2011,Jun,21
2011,Jul,21
2011,Aug,22
2011,Sep,21
2011,Oct,23
2011,Nov,23
2011,Dec,27
2012,Jan,20
2012,Feb,21
2012,Mar,20
2012,Apr,22
2012,May,24
2012,Jun,25
2012,Jul,24
2012,Aug,25
2012,Sep,25
2012,Oct,28
2012,Nov,27
2012,Dec,32
2013,Jan,22
2013,Feb,24
2013,Mar,24
2013,Apr,23
2013,May,27
2013,Jun,29
2013,Jul,29
2013,Aug,28
2013,Sep,28
2013,Oct,31
2013,Nov,30
2013,Dec,36
2014,Jan,25
2014,Feb,27
2014,Mar,27
2014,Apr,30
2014,May,32
2014,Jun,33
2014,Jul,33
2014,Aug,33
2014,Sep,32
2014,Oct,34
2014,Nov,36
2014,Dec,44
2015,Jan,29
2015,Feb,31
2015,Mar,31
2015,Apr,33
2015,May,38
2015,Jun,39
2015,Jul,41
2015,Aug,41
2015,Sep,38
2015,Oct,42
2015,Nov,41
2015,Dec,49
2016,Jan,34
2016,Feb,37
2016,Mar,40
2016,Apr,39
2016,May,49
2016,Jun,49
2016,Jul,48
2016,Aug,47
2016,Sep,46
2016,Oct,50
2016,Nov,50
2016,Dec,63
2017,Jan,40
2017,Feb,44
2017,Mar,42
2017,Apr,49
2017,May,55
2017,Jun,58
2017,Jul,58
2017,Aug,55
2017,Sep,56
2017,Oct,57
2017,Nov,59
2017,Dec,71
2018,Jan,45
2018,Feb,50
2018,Mar,50
2018,Apr,54
2018,May,60
2018,Jun,62
2018,Jul,64
2018,Aug,63
2018,Sep,65
2018,Oct,68
2018,Nov,69
2018,Dec,87
2019,Jan,56
2019,Feb,60
2019,Mar,59
2019,Apr,65
2019,May,72
2019,Jun,76
2019,Jul,74
2019,Aug,75
2019,Sep,71
2019,Oct,75
2019,Nov,79
2019,Dec,94
2020,Jan,62
2020,Feb,66
2020,Mar,75
2020,Apr,71
2020,May,78
2020,Jun,77
2020,Jul,77
2020,Aug,77
2020,Sep,72
2020,Oct,82
2020,Nov,84
2020,Dec,97
2021,Jan,67
2021,Feb,72
2021,Mar,66
2021,Apr,69
2021,May,77
2021,Jun,77
2021,Jul,78
2021,Aug,80
2021,Sep,79
2021,Oct,82
2021,Nov,89
2021,Dec,100
2022,Jan,65
2022,Feb,74
2022,Mar,63
