CNAME:,ENTECH SOLAR INC
Google Trends Search Term:,entech solar inc
Google Trends Suggestion:,company
Google Trends URL:,/m/02x6cx5
Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,55
2004,Jul,0
2004,Aug,51
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,0
2005,Mar,36
2005,Apr,41
2005,May,0
2005,Jun,37
2005,Jul,0
2005,Aug,35
2005,Sep,32
2005,Oct,30
2005,Nov,0
2005,Dec,29
2006,Jan,0
2006,Feb,54
2006,Mar,24
2006,Apr,25
2006,May,0
2006,Jun,25
2006,Jul,0
2006,Aug,0
2006,Sep,0
2006,Oct,0
2006,Nov,20
2006,Dec,0
2007,Jan,0
2007,Feb,0
2007,Mar,0
2007,Apr,35
2007,May,32
2007,Jun,17
2007,Jul,96
2007,Aug,30
2007,Sep,31
2007,Oct,55
2007,Nov,69
2007,Dec,57
2008,Jan,100
2008,Feb,13
2008,Mar,25
2008,Apr,99
2008,May,63
2008,Jun,13
2008,Jul,25
2008,Aug,75
2008,Sep,46
2008,Oct,85
2008,Nov,35
2008,Dec,81
2009,Jan,33
2009,Feb,0
2009,Mar,73
2009,Apr,0
2009,May,11
2009,Jun,11
2009,Jul,43
2009,Aug,42
2009,Sep,20
2009,Oct,0
2009,Nov,10
2009,Dec,10
2010,Jan,46
2010,Feb,28
2010,Mar,17
2010,Apr,18
2010,May,28
2010,Jun,19
2010,Jul,16
2010,Aug,0
2010,Sep,8
2010,Oct,7
2010,Nov,7
2010,Dec,0
2011,Jan,11
2011,Feb,0
2011,Mar,11
2011,Apr,6
2011,May,11
2011,Jun,0
2011,Jul,17
2011,Aug,11
2011,Sep,10
2011,Oct,10
2011,Nov,10
2011,Dec,5
2012,Jan,14
2012,Feb,18
2012,Mar,0
2012,Apr,5
2012,May,0
2012,Jun,14
2012,Jul,4
2012,Aug,4
2012,Sep,0
2012,Oct,8
2012,Nov,8
2012,Dec,4
2013,Jan,0
2013,Feb,0
2013,Mar,0
2013,Apr,4
2013,May,0
2013,Jun,8
2013,Jul,4
2013,Aug,0
2013,Sep,4
2013,Oct,0
2013,Nov,4
2013,Dec,0
2014,Jan,0
2014,Feb,7
2014,Mar,0
2014,Apr,7
2014,May,4
2014,Jun,0
2014,Jul,0
2014,Aug,0
2014,Sep,0
2014,Oct,0
2014,Nov,4
2014,Dec,0
2015,Jan,4
2015,Feb,0
2015,Mar,11
2015,Apr,0
2015,May,0
2015,Jun,0
2015,Jul,0
2015,Aug,0
2015,Sep,0
2015,Oct,0
2015,Nov,0
2015,Dec,0
2016,Jan,0
2016,Feb,3
2016,Mar,3
2016,Apr,0
2016,May,3
2016,Jun,0
2016,Jul,0
2016,Aug,0
2016,Sep,0
2016,Oct,0
2016,Nov,3
2016,Dec,0
2017,Jan,3
2017,Feb,6
2017,Mar,3
2017,Apr,3
2017,May,0
2017,Jun,0
2017,Jul,3
2017,Aug,6
2017,Sep,3
2017,Oct,0
2017,Nov,8
2017,Dec,5
2018,Jan,5
2018,Feb,0
2018,Mar,3
2018,Apr,0
2018,May,0
2018,Jun,0
2018,Jul,0
2018,Aug,3
2018,Sep,3
2018,Oct,0
2018,Nov,0
2018,Dec,0
2019,Jan,0
2019,Feb,0
2019,Mar,3
2019,Apr,3
2019,May,3
2019,Jun,3
2019,Jul,0
2019,Aug,0
2019,Sep,0
2019,Oct,0
2019,Nov,2
2019,Dec,2
2020,Jan,0
2020,Feb,0
2020,Mar,0
2020,Apr,0
2020,May,0
2020,Jun,0
2020,Jul,0
2020,Aug,0
2020,Sep,0
2020,Oct,0
2020,Nov,2
2020,Dec,3
2021,Jan,0
2021,Feb,0
2021,Mar,0
2021,Apr,3
2021,May,0
2021,Jun,0
2021,Jul,0
2021,Aug,0
2021,Sep,3
2021,Oct,0
2021,Nov,0
2021,Dec,0
2022,Jan,0
2022,Feb,3
2022,Mar,0
