CNAME:,MGM RESORTS INTERNATIONAL
Google Trends Search Term:,mgm resorts international
Google Trends Suggestion:,hospitality company
Google Trends URL:,/m/01npw8
Year,Month,SVI Data
2004,Jan,55
2004,Feb,51
2004,Mar,58
2004,Apr,56
2004,May,62
2004,Jun,73
2004,Jul,63
2004,Aug,64
2004,Sep,67
2004,Oct,63
2004,Nov,55
2004,Dec,50
2005,Jan,50
2005,Feb,52
2005,Mar,59
2005,Apr,64
2005,May,56
2005,Jun,55
2005,Jul,68
2005,Aug,64
2005,Sep,56
2005,Oct,45
2005,Nov,47
2005,Dec,50
2006,Jan,62
2006,Feb,59
2006,Mar,59
2006,Apr,55
2006,May,62
2006,Jun,66
2006,Jul,65
2006,Aug,68
2006,Sep,62
2006,Oct,61
2006,Nov,65
2006,Dec,55
2007,Jan,69
2007,Feb,69
2007,Mar,75
2007,Apr,72
2007,May,75
2007,Jun,72
2007,Jul,70
2007,Aug,69
2007,Sep,61
2007,Oct,71
2007,Nov,55
2007,Dec,65
2008,Jan,74
2008,Feb,70
2008,Mar,72
2008,Apr,68
2008,May,75
2008,Jun,79
2008,Jul,77
2008,Aug,70
2008,Sep,59
2008,Oct,65
2008,Nov,63
2008,Dec,67
2009,Jan,77
2009,Feb,69
2009,Mar,89
2009,Apr,100
2009,May,90
2009,Jun,77
2009,Jul,77
2009,Aug,71
2009,Sep,72
2009,Oct,70
2009,Nov,69
2009,Dec,65
2010,Jan,72
2010,Feb,63
2010,Mar,62
2010,Apr,74
2010,May,63
2010,Jun,60
2010,Jul,64
2010,Aug,62
2010,Sep,50
2010,Oct,62
2010,Nov,63
2010,Dec,53
2011,Jan,64
2011,Feb,55
2011,Mar,58
2011,Apr,54
2011,May,54
2011,Jun,52
2011,Jul,56
2011,Aug,53
2011,Sep,46
2011,Oct,43
2011,Nov,40
2011,Dec,34
2012,Jan,47
2012,Feb,44
2012,Mar,41
2012,Apr,41
2012,May,44
2012,Jun,45
2012,Jul,44
2012,Aug,39
2012,Sep,40
2012,Oct,38
2012,Nov,37
2012,Dec,38
2013,Jan,46
2013,Feb,42
2013,Mar,38
2013,Apr,40
2013,May,42
2013,Jun,42
2013,Jul,45
2013,Aug,42
2013,Sep,39
2013,Oct,33
2013,Nov,34
2013,Dec,36
2014,Jan,45
2014,Feb,41
2014,Mar,41
2014,Apr,41
2014,May,41
2014,Jun,38
2014,Jul,41
2014,Aug,39
2014,Sep,40
2014,Oct,35
2014,Nov,33
2014,Dec,33
2015,Jan,40
2015,Feb,43
2015,Mar,45
2015,Apr,43
2015,May,44
2015,Jun,41
2015,Jul,48
2015,Aug,44
2015,Sep,35
2015,Oct,33
2015,Nov,31
2015,Dec,33
2016,Jan,40
2016,Feb,38
2016,Mar,40
2016,Apr,37
2016,May,39
2016,Jun,42
2016,Jul,45
2016,Aug,42
2016,Sep,40
2016,Oct,42
2016,Nov,63
2016,Dec,80
2017,Jan,54
2017,Feb,49
2017,Mar,50
2017,Apr,49
2017,May,58
2017,Jun,55
2017,Jul,55
2017,Aug,50
2017,Sep,54
2017,Oct,67
2017,Nov,49
2017,Dec,47
2018,Jan,50
2018,Feb,49
2018,Mar,53
2018,Apr,58
2018,May,58
2018,Jun,57
2018,Jul,80
2018,Aug,70
2018,Sep,60
2018,Oct,58
2018,Nov,59
2018,Dec,59
2019,Jan,63
2019,Feb,61
2019,Mar,62
2019,Apr,63
2019,May,61
2019,Jun,63
2019,Jul,65
2019,Aug,57
2019,Sep,60
2019,Oct,60
2019,Nov,53
2019,Dec,56
2020,Jan,57
2020,Feb,63
2020,Mar,90
2020,Apr,44
2020,May,51
2020,Jun,69
2020,Jul,58
2020,Aug,58
2020,Sep,45
2020,Oct,42
2020,Nov,40
2020,Dec,41
2021,Jan,48
2021,Feb,57
2021,Mar,56
2021,Apr,59
2021,May,81
2021,Jun,73
2021,Jul,67
2021,Aug,63
2021,Sep,64
2021,Oct,63
2021,Nov,59
2021,Dec,63
2022,Jan,67
2022,Feb,79
2022,Mar,81
