CNAME:,WESTLAKE CHEMICAL CORP
Google Trends Search Term:,westlake chemical
Google Trends Suggestion:,petrochemical company
Google Trends URL:,/m/03p3h__
Year,Month,SVI Data
2004,Jan,36
2004,Feb,36
2004,Mar,15
2004,Apr,23
2004,May,42
2004,Jun,32
2004,Jul,33
2004,Aug,100
2004,Sep,57
2004,Oct,10
2004,Nov,30
2004,Dec,18
2005,Jan,24
2005,Feb,25
2005,Mar,28
2005,Apr,8
2005,May,29
2005,Jun,30
2005,Jul,15
2005,Aug,14
2005,Sep,19
2005,Oct,24
2005,Nov,43
2005,Dec,17
2006,Jan,21
2006,Feb,11
2006,Mar,19
2006,Apr,15
2006,May,23
2006,Jun,20
2006,Jul,5
2006,Aug,9
2006,Sep,22
2006,Oct,53
2006,Nov,28
2006,Dec,16
2007,Jan,21
2007,Feb,4
2007,Mar,17
2007,Apr,14
2007,May,6
2007,Jun,27
2007,Jul,28
2007,Aug,21
2007,Sep,12
2007,Oct,24
2007,Nov,11
2007,Dec,8
2008,Jan,20
2008,Feb,20
2008,Mar,17
2008,Apr,15
2008,May,15
2008,Jun,16
2008,Jul,23
2008,Aug,22
2008,Sep,27
2008,Oct,25
2008,Nov,19
2008,Dec,21
2009,Jan,11
2009,Feb,14
2009,Mar,18
2009,Apr,23
2009,May,15
2009,Jun,26
2009,Jul,19
2009,Aug,16
2009,Sep,18
2009,Oct,13
2009,Nov,23
2009,Dec,10
2010,Jan,15
2010,Feb,12
2010,Mar,14
2010,Apr,7
2010,May,29
2010,Jun,22
2010,Jul,10
2010,Aug,15
2010,Sep,8
2010,Oct,12
2010,Nov,15
2010,Dec,15
2011,Jan,13
2011,Feb,19
2011,Mar,20
2011,Apr,19
2011,May,19
2011,Jun,31
2011,Jul,23
2011,Aug,16
2011,Sep,23
2011,Oct,20
2011,Nov,11
2011,Dec,11
2012,Jan,29
2012,Feb,19
2012,Mar,34
2012,Apr,19
2012,May,17
2012,Jun,13
2012,Jul,26
2012,Aug,12
2012,Sep,13
2012,Oct,19
2012,Nov,12
2012,Dec,17
2013,Jan,19
2013,Feb,17
2013,Mar,14
2013,Apr,18
2013,May,19
2013,Jun,14
2013,Jul,24
2013,Aug,17
2013,Sep,20
2013,Oct,13
2013,Nov,9
2013,Dec,16
2014,Jan,15
2014,Feb,20
2014,Mar,21
2014,Apr,20
2014,May,23
2014,Jun,37
2014,Jul,27
2014,Aug,19
2014,Sep,22
2014,Oct,17
2014,Nov,21
2014,Dec,22
2015,Jan,21
2015,Feb,20
2015,Mar,22
2015,Apr,16
2015,May,21
2015,Jun,24
2015,Jul,25
2015,Aug,28
2015,Sep,27
2015,Oct,29
2015,Nov,22
2015,Dec,15
2016,Jan,28
2016,Feb,36
2016,Mar,24
2016,Apr,28
2016,May,24
2016,Jun,50
2016,Jul,24
2016,Aug,26
2016,Sep,25
2016,Oct,17
2016,Nov,18
2016,Dec,18
2017,Jan,32
2017,Feb,30
2017,Mar,21
2017,Apr,28
2017,May,31
2017,Jun,26
2017,Jul,26
2017,Aug,31
2017,Sep,30
2017,Oct,27
2017,Nov,27
2017,Dec,17
2018,Jan,24
2018,Feb,38
2018,Mar,36
2018,Apr,34
2018,May,34
2018,Jun,33
2018,Jul,30
2018,Aug,30
2018,Sep,30
2018,Oct,37
2018,Nov,28
2018,Dec,26
2019,Jan,32
2019,Feb,42
2019,Mar,30
2019,Apr,36
2019,May,38
2019,Jun,40
2019,Jul,37
2019,Aug,31
2019,Sep,26
2019,Oct,27
2019,Nov,19
2019,Dec,19
2020,Jan,29
2020,Feb,32
2020,Mar,37
2020,Apr,24
2020,May,20
2020,Jun,23
2020,Jul,27
2020,Aug,36
2020,Sep,28
2020,Oct,23
2020,Nov,23
2020,Dec,19
2021,Jan,15
2021,Feb,32
2021,Mar,20
2021,Apr,22
2021,May,27
2021,Jun,38
2021,Jul,28
2021,Aug,27
2021,Sep,39
2021,Oct,36
2021,Nov,26
2021,Dec,18
2022,Jan,69
2022,Feb,43
2022,Mar,28
