CNAME:,DIGITAS INC
Google Trends Search Term:,digitas
Google Trends Suggestion:,digital marketing company
Google Trends URL:,/m/0107x0s2
Year,Month,SVI Data
2004,Jan,67
2004,Feb,37
2004,Mar,79
2004,Apr,44
2004,May,58
2004,Jun,41
2004,Jul,73
2004,Aug,80
2004,Sep,76
2004,Oct,51
2004,Nov,63
2004,Dec,62
2005,Jan,68
2005,Feb,48
2005,Mar,73
2005,Apr,53
2005,May,57
2005,Jun,72
2005,Jul,73
2005,Aug,47
2005,Sep,66
2005,Oct,74
2005,Nov,61
2005,Dec,56
2006,Jan,71
2006,Feb,77
2006,Mar,72
2006,Apr,60
2006,May,73
2006,Jun,82
2006,Jul,72
2006,Aug,49
2006,Sep,60
2006,Oct,75
2006,Nov,47
2006,Dec,86
2007,Jan,60
2007,Feb,70
2007,Mar,56
2007,Apr,70
2007,May,90
2007,Jun,85
2007,Jul,77
2007,Aug,100
2007,Sep,58
2007,Oct,73
2007,Nov,73
2007,Dec,58
2008,Jan,79
2008,Feb,79
2008,Mar,73
2008,Apr,75
2008,May,87
2008,Jun,81
2008,Jul,75
2008,Aug,62
2008,Sep,55
2008,Oct,62
2008,Nov,53
2008,Dec,66
2009,Jan,60
2009,Feb,54
2009,Mar,55
2009,Apr,58
2009,May,56
2009,Jun,75
2009,Jul,46
2009,Aug,57
2009,Sep,45
2009,Oct,66
2009,Nov,53
2009,Dec,48
2010,Jan,71
2010,Feb,58
2010,Mar,73
2010,Apr,74
2010,May,56
2010,Jun,69
2010,Jul,47
2010,Aug,59
2010,Sep,58
2010,Oct,56
2010,Nov,71
2010,Dec,45
2011,Jan,69
2011,Feb,84
2011,Mar,70
2011,Apr,71
2011,May,62
2011,Jun,61
2011,Jul,67
2011,Aug,60
2011,Sep,64
2011,Oct,54
2011,Nov,47
2011,Dec,61
2012,Jan,61
2012,Feb,50
2012,Mar,55
2012,Apr,58
2012,May,54
2012,Jun,50
2012,Jul,56
2012,Aug,57
2012,Sep,46
2012,Oct,59
2012,Nov,59
2012,Dec,42
2013,Jan,49
2013,Feb,55
2013,Mar,51
2013,Apr,45
2013,May,47
2013,Jun,41
2013,Jul,53
2013,Aug,51
2013,Sep,48
2013,Oct,54
2013,Nov,44
2013,Dec,37
2014,Jan,51
2014,Feb,44
2014,Mar,52
2014,Apr,46
2014,May,44
2014,Jun,44
2014,Jul,39
2014,Aug,33
2014,Sep,46
2014,Oct,44
2014,Nov,37
2014,Dec,32
2015,Jan,36
2015,Feb,37
2015,Mar,41
2015,Apr,38
2015,May,34
2015,Jun,42
2015,Jul,39
2015,Aug,35
2015,Sep,40
2015,Oct,38
2015,Nov,28
2015,Dec,29
2016,Jan,28
2016,Feb,33
2016,Mar,39
2016,Apr,30
2016,May,27
2016,Jun,34
2016,Jul,24
2016,Aug,29
2016,Sep,25
2016,Oct,31
2016,Nov,29
2016,Dec,22
2017,Jan,36
2017,Feb,31
2017,Mar,33
2017,Apr,34
2017,May,26
2017,Jun,27
2017,Jul,22
2017,Aug,27
2017,Sep,25
2017,Oct,28
2017,Nov,22
2017,Dec,17
2018,Jan,26
2018,Feb,22
2018,Mar,22
2018,Apr,23
2018,May,19
2018,Jun,22
2018,Jul,20
2018,Aug,20
2018,Sep,17
2018,Oct,17
2018,Nov,16
2018,Dec,14
2019,Jan,18
2019,Feb,23
2019,Mar,18
2019,Apr,21
2019,May,18
2019,Jun,15
2019,Jul,16
2019,Aug,15
2019,Sep,11
2019,Oct,14
2019,Nov,13
2019,Dec,7
2020,Jan,12
2020,Feb,16
2020,Mar,9
2020,Apr,8
2020,May,7
2020,Jun,7
2020,Jul,8
2020,Aug,9
2020,Sep,7
2020,Oct,9
2020,Nov,6
2020,Dec,6
2021,Jan,8
2021,Feb,6
2021,Mar,9
2021,Apr,5
2021,May,5
2021,Jun,7
2021,Jul,7
2021,Aug,8
2021,Sep,6
2021,Oct,7
2021,Nov,7
2021,Dec,7
2022,Jan,10
2022,Feb,5
2022,Mar,7
