CNAME:,PHILLIPS VAN HEUSEN CORP
Google Trends Search Term:,pvh
Google Trends Suggestion:,clothing company
Google Trends URL:,/m/07h9qx
Year,Month,SVI Data
2004,Jan,18
2004,Feb,29
2004,Mar,75
2004,Apr,29
2004,May,42
2004,Jun,21
2004,Jul,38
2004,Aug,54
2004,Sep,52
2004,Oct,34
2004,Nov,35
2004,Dec,40
2005,Jan,54
2005,Feb,37
2005,Mar,62
2005,Apr,52
2005,May,32
2005,Jun,73
2005,Jul,58
2005,Aug,51
2005,Sep,47
2005,Oct,50
2005,Nov,33
2005,Dec,34
2006,Jan,43
2006,Feb,63
2006,Mar,45
2006,Apr,42
2006,May,60
2006,Jun,66
2006,Jul,38
2006,Aug,44
2006,Sep,64
2006,Oct,60
2006,Nov,56
2006,Dec,68
2007,Jan,58
2007,Feb,65
2007,Mar,67
2007,Apr,66
2007,May,70
2007,Jun,60
2007,Jul,61
2007,Aug,54
2007,Sep,85
2007,Oct,55
2007,Nov,62
2007,Dec,56
2008,Jan,50
2008,Feb,51
2008,Mar,60
2008,Apr,76
2008,May,59
2008,Jun,73
2008,Jul,76
2008,Aug,70
2008,Sep,71
2008,Oct,56
2008,Nov,57
2008,Dec,63
2009,Jan,63
2009,Feb,54
2009,Mar,59
2009,Apr,52
2009,May,78
2009,Jun,57
2009,Jul,61
2009,Aug,49
2009,Sep,77
2009,Oct,67
2009,Nov,72
2009,Dec,52
2010,Jan,48
2010,Feb,69
2010,Mar,100
2010,Apr,74
2010,May,78
2010,Jun,64
2010,Jul,65
2010,Aug,80
2010,Sep,83
2010,Oct,73
2010,Nov,81
2010,Dec,64
2011,Jan,66
2011,Feb,49
2011,Mar,60
2011,Apr,65
2011,May,65
2011,Jun,61
2011,Jul,69
2011,Aug,54
2011,Sep,58
2011,Oct,60
2011,Nov,75
2011,Dec,53
2012,Jan,52
2012,Feb,68
2012,Mar,72
2012,Apr,66
2012,May,66
2012,Jun,60
2012,Jul,55
2012,Aug,65
2012,Sep,60
2012,Oct,70
2012,Nov,69
2012,Dec,58
2013,Jan,67
2013,Feb,70
2013,Mar,68
2013,Apr,74
2013,May,67
2013,Jun,75
2013,Jul,71
2013,Aug,66
2013,Sep,66
2013,Oct,64
2013,Nov,75
2013,Dec,67
2014,Jan,67
2014,Feb,83
2014,Mar,68
2014,Apr,74
2014,May,64
2014,Jun,70
2014,Jul,77
2014,Aug,73
2014,Sep,74
2014,Oct,73
2014,Nov,77
2014,Dec,70
2015,Jan,79
2015,Feb,65
2015,Mar,77
2015,Apr,72
2015,May,69
2015,Jun,78
2015,Jul,59
2015,Aug,66
2015,Sep,65
2015,Oct,65
2015,Nov,73
2015,Dec,60
2016,Jan,62
2016,Feb,64
2016,Mar,74
2016,Apr,66
2016,May,73
2016,Jun,70
2016,Jul,66
2016,Aug,75
2016,Sep,59
2016,Oct,68
2016,Nov,69
2016,Dec,66
2017,Jan,72
2017,Feb,67
2017,Mar,77
2017,Apr,60
2017,May,67
2017,Jun,73
2017,Jul,69
2017,Aug,72
2017,Sep,66
2017,Oct,64
2017,Nov,70
2017,Dec,58
2018,Jan,74
2018,Feb,64
2018,Mar,93
2018,Apr,77
2018,May,77
2018,Jun,75
2018,Jul,66
2018,Aug,80
2018,Sep,82
2018,Oct,78
2018,Nov,81
2018,Dec,67
2019,Jan,72
2019,Feb,77
2019,Mar,83
2019,Apr,82
2019,May,91
2019,Jun,72
2019,Jul,83
2019,Aug,76
2019,Sep,79
2019,Oct,69
2019,Nov,78
2019,Dec,71
2020,Jan,72
2020,Feb,71
2020,Mar,68
2020,Apr,97
2020,May,70
2020,Jun,91
2020,Jul,74
2020,Aug,62
2020,Sep,73
2020,Oct,63
2020,Nov,60
2020,Dec,65
2021,Jan,58
2021,Feb,62
2021,Mar,61
2021,Apr,58
2021,May,61
2021,Jun,71
2021,Jul,63
2021,Aug,63
2021,Sep,64
2021,Oct,48
2021,Nov,65
2021,Dec,48
2022,Jan,51
2022,Feb,58
2022,Mar,57
