CNAME:,ZIMMER BIOMET HOLDINGS INC
Google Trends Search Term:,zimmer biomet
Google Trends Suggestion:,company
Google Trends URL:,/m/09xfmw
Year,Month,SVI Data
2004,Jan,89
2004,Feb,85
2004,Mar,56
2004,Apr,72
2004,May,55
2004,Jun,73
2004,Jul,92
2004,Aug,77
2004,Sep,66
2004,Oct,62
2004,Nov,62
2004,Dec,70
2005,Jan,59
2005,Feb,73
2005,Mar,100
2005,Apr,69
2005,May,61
2005,Jun,58
2005,Jul,67
2005,Aug,50
2005,Sep,52
2005,Oct,85
2005,Nov,80
2005,Dec,63
2006,Jan,68
2006,Feb,57
2006,Mar,78
2006,Apr,65
2006,May,63
2006,Jun,84
2006,Jul,69
2006,Aug,60
2006,Sep,68
2006,Oct,67
2006,Nov,66
2006,Dec,66
2007,Jan,73
2007,Feb,66
2007,Mar,76
2007,Apr,76
2007,May,79
2007,Jun,74
2007,Jul,78
2007,Aug,73
2007,Sep,75
2007,Oct,99
2007,Nov,85
2007,Dec,62
2008,Jan,69
2008,Feb,78
2008,Mar,70
2008,Apr,75
2008,May,75
2008,Jun,67
2008,Jul,75
2008,Aug,77
2008,Sep,76
2008,Oct,71
2008,Nov,64
2008,Dec,51
2009,Jan,68
2009,Feb,68
2009,Mar,67
2009,Apr,64
2009,May,64
2009,Jun,69
2009,Jul,66
2009,Aug,57
2009,Sep,72
2009,Oct,68
2009,Nov,52
2009,Dec,53
2010,Jan,58
2010,Feb,57
2010,Mar,66
2010,Apr,67
2010,May,54
2010,Jun,61
2010,Jul,60
2010,Aug,58
2010,Sep,50
2010,Oct,58
2010,Nov,53
2010,Dec,56
2011,Jan,65
2011,Feb,70
2011,Mar,70
2011,Apr,63
2011,May,59
2011,Jun,69
2011,Jul,56
2011,Aug,61
2011,Sep,55
2011,Oct,55
2011,Nov,54
2011,Dec,47
2012,Jan,57
2012,Feb,56
2012,Mar,61
2012,Apr,56
2012,May,51
2012,Jun,50
2012,Jul,53
2012,Aug,55
2012,Sep,48
2012,Oct,51
2012,Nov,48
2012,Dec,40
2013,Jan,56
2013,Feb,57
2013,Mar,49
2013,Apr,52
2013,May,54
2013,Jun,49
2013,Jul,59
2013,Aug,50
2013,Sep,49
2013,Oct,54
2013,Nov,47
2013,Dec,41
2014,Jan,57
2014,Feb,52
2014,Mar,50
2014,Apr,72
2014,May,50
2014,Jun,57
2014,Jul,52
2014,Aug,50
2014,Sep,54
2014,Oct,50
2014,Nov,46
2014,Dec,35
2015,Jan,49
2015,Feb,49
2015,Mar,59
2015,Apr,54
2015,May,51
2015,Jun,62
2015,Jul,60
2015,Aug,53
2015,Sep,53
2015,Oct,56
2015,Nov,47
2015,Dec,48
2016,Jan,50
2016,Feb,50
2016,Mar,50
2016,Apr,48
2016,May,48
2016,Jun,54
2016,Jul,51
2016,Aug,52
2016,Sep,50
2016,Oct,51
2016,Nov,45
2016,Dec,48
2017,Jan,57
2017,Feb,54
2017,Mar,52
2017,Apr,51
2017,May,46
2017,Jun,52
2017,Jul,55
2017,Aug,56
2017,Sep,49
2017,Oct,50
2017,Nov,50
2017,Dec,46
2018,Jan,54
2018,Feb,51
2018,Mar,55
2018,Apr,52
2018,May,54
2018,Jun,50
2018,Jul,49
2018,Aug,55
2018,Sep,49
2018,Oct,50
2018,Nov,48
2018,Dec,44
2019,Jan,52
2019,Feb,54
2019,Mar,54
2019,Apr,54
2019,May,49
2019,Jun,52
2019,Jul,46
2019,Aug,53
2019,Sep,49
2019,Oct,51
2019,Nov,46
2019,Dec,43
2020,Jan,47
2020,Feb,50
2020,Mar,42
2020,Apr,38
2020,May,37
2020,Jun,44
2020,Jul,45
2020,Aug,42
2020,Sep,43
2020,Oct,45
2020,Nov,38
2020,Dec,38
2021,Jan,38
2021,Feb,43
2021,Mar,42
2021,Apr,44
2021,May,40
2021,Jun,40
2021,Jul,39
2021,Aug,39
2021,Sep,40
2021,Oct,40
2021,Nov,42
2021,Dec,42
2022,Jan,49
2022,Feb,43
2022,Mar,48
