CNAME:,LEIDOS HOLDINGS INC
Google Trends Search Term:,leidos
Google Trends Suggestion:,engineering company
Google Trends URL:,/m/01h2kg
Year,Month,SVI Data
2004,Jan,3
2004,Feb,0
2004,Mar,3
2004,Apr,5
2004,May,2
2004,Jun,5
2004,Jul,2
2004,Aug,4
2004,Sep,4
2004,Oct,2
2004,Nov,0
2004,Dec,6
2005,Jan,3
2005,Feb,2
2005,Mar,2
2005,Apr,3
2005,May,3
2005,Jun,0
2005,Jul,5
2005,Aug,6
2005,Sep,7
2005,Oct,6
2005,Nov,1
2005,Dec,4
2006,Jan,4
2006,Feb,5
2006,Mar,1
2006,Apr,3
2006,May,4
2006,Jun,3
2006,Jul,0
2006,Aug,1
2006,Sep,1
2006,Oct,2
2006,Nov,3
2006,Dec,3
2007,Jan,2
2007,Feb,3
2007,Mar,2
2007,Apr,1
2007,May,3
2007,Jun,5
2007,Jul,3
2007,Aug,2
2007,Sep,3
2007,Oct,3
2007,Nov,1
2007,Dec,2
2008,Jan,2
2008,Feb,3
2008,Mar,3
2008,Apr,4
2008,May,1
2008,Jun,3
2008,Jul,3
2008,Aug,2
2008,Sep,4
2008,Oct,3
2008,Nov,4
2008,Dec,2
2009,Jan,2
2009,Feb,3
2009,Mar,4
2009,Apr,0
2009,May,4
2009,Jun,0
2009,Jul,3
2009,Aug,5
2009,Sep,3
2009,Oct,3
2009,Nov,2
2009,Dec,4
2010,Jan,2
2010,Feb,2
2010,Mar,2
2010,Apr,5
2010,May,4
2010,Jun,4
2010,Jul,1
2010,Aug,2
2010,Sep,2
2010,Oct,3
2010,Nov,3
2010,Dec,5
2011,Jan,2
2011,Feb,2
2011,Mar,0
2011,Apr,1
2011,May,1
2011,Jun,0
2011,Jul,1
2011,Aug,2
2011,Sep,1
2011,Oct,1
2011,Nov,1
2011,Dec,2
2012,Jan,0
2012,Feb,1
2012,Mar,2
2012,Apr,1
2012,May,1
2012,Jun,1
2012,Jul,2
2012,Aug,1
2012,Sep,1
2012,Oct,1
2012,Nov,1
2012,Dec,1
2013,Jan,1
2013,Feb,13
2013,Mar,10
2013,Apr,4
2013,May,6
2013,Jun,7
2013,Jul,10
2013,Aug,10
2013,Sep,24
2013,Oct,88
2013,Nov,77
2013,Dec,73
2014,Jan,90
2014,Feb,95
2014,Mar,88
2014,Apr,84
2014,May,81
2014,Jun,84
2014,Jul,82
2014,Aug,70
2014,Sep,81
2014,Oct,77
2014,Nov,78
2014,Dec,65
2015,Jan,71
2015,Feb,79
2015,Mar,73
2015,Apr,73
2015,May,67
2015,Jun,79
2015,Jul,99
2015,Aug,77
2015,Sep,72
2015,Oct,66
2015,Nov,71
2015,Dec,61
2016,Jan,84
2016,Feb,73
2016,Mar,69
2016,Apr,66
2016,May,65
2016,Jun,58
2016,Jul,73
2016,Aug,99
2016,Sep,84
2016,Oct,72
2016,Nov,61
2016,Dec,63
2017,Jan,71
2017,Feb,77
2017,Mar,79
2017,Apr,73
2017,May,67
2017,Jun,81
2017,Jul,82
2017,Aug,88
2017,Sep,78
2017,Oct,83
2017,Nov,73
2017,Dec,66
2018,Jan,75
2018,Feb,80
2018,Mar,87
2018,Apr,78
2018,May,75
2018,Jun,83
2018,Jul,78
2018,Aug,83
2018,Sep,76
2018,Oct,84
2018,Nov,71
2018,Dec,71
2019,Jan,77
2019,Feb,81
2019,Mar,83
2019,Apr,81
2019,May,82
2019,Jun,94
2019,Jul,75
2019,Aug,87
2019,Sep,87
2019,Oct,84
2019,Nov,73
2019,Dec,76
2020,Jan,83
2020,Feb,100
2020,Mar,80
2020,Apr,67
2020,May,64
2020,Jun,82
2020,Jul,79
2020,Aug,67
2020,Sep,67
2020,Oct,73
2020,Nov,57
2020,Dec,66
2021,Jan,56
2021,Feb,77
2021,Mar,73
2021,Apr,74
2021,May,70
2021,Jun,82
2021,Jul,77
2021,Aug,77
2021,Sep,66
2021,Oct,72
2021,Nov,63
2021,Dec,64
2022,Jan,68
2022,Feb,71
2022,Mar,79
