CNAME:,TAUBMAN CENTERS INC
Google Trends Search Term:,taubman centers
Google Trends Suggestion:,real estate investment trust company
Google Trends URL:,/m/0d8vwf
Year,Month,SVI Data
2004,Jan,45
2004,Feb,11
2004,Mar,33
2004,Apr,32
2004,May,49
2004,Jun,20
2004,Jul,21
2004,Aug,31
2004,Sep,27
2004,Oct,18
2004,Nov,19
2004,Dec,22
2005,Jan,39
2005,Feb,15
2005,Mar,26
2005,Apr,18
2005,May,23
2005,Jun,23
2005,Jul,27
2005,Aug,17
2005,Sep,18
2005,Oct,20
2005,Nov,17
2005,Dec,34
2006,Jan,27
2006,Feb,12
2006,Mar,21
2006,Apr,23
2006,May,21
2006,Jun,22
2006,Jul,17
2006,Aug,15
2006,Sep,22
2006,Oct,24
2006,Nov,15
2006,Dec,11
2007,Jan,19
2007,Feb,26
2007,Mar,22
2007,Apr,25
2007,May,23
2007,Jun,22
2007,Jul,19
2007,Aug,24
2007,Sep,20
2007,Oct,24
2007,Nov,15
2007,Dec,18
2008,Jan,17
2008,Feb,14
2008,Mar,19
2008,Apr,27
2008,May,19
2008,Jun,22
2008,Jul,26
2008,Aug,15
2008,Sep,19
2008,Oct,20
2008,Nov,22
2008,Dec,18
2009,Jan,15
2009,Feb,18
2009,Mar,15
2009,Apr,10
2009,May,17
2009,Jun,12
2009,Jul,16
2009,Aug,14
2009,Sep,16
2009,Oct,15
2009,Nov,13
2009,Dec,12
2010,Jan,20
2010,Feb,11
2010,Mar,12
2010,Apr,9
2010,May,10
2010,Jun,10
2010,Jul,6
2010,Aug,6
2010,Sep,7
2010,Oct,9
2010,Nov,15
2010,Dec,8
2011,Jan,12
2011,Feb,14
2011,Mar,10
2011,Apr,12
2011,May,8
2011,Jun,8
2011,Jul,10
2011,Aug,13
2011,Sep,7
2011,Oct,11
2011,Nov,10
2011,Dec,11
2012,Jan,11
2012,Feb,13
2012,Mar,18
2012,Apr,12
2012,May,8
2012,Jun,9
2012,Jul,9
2012,Aug,11
2012,Sep,10
2012,Oct,13
2012,Nov,10
2012,Dec,11
2013,Jan,14
2013,Feb,10
2013,Mar,11
2013,Apr,9
2013,May,10
2013,Jun,24
2013,Jul,42
2013,Aug,100
2013,Sep,33
2013,Oct,25
2013,Nov,23
2013,Dec,21
2014,Jan,15
2014,Feb,14
2014,Mar,18
2014,Apr,16
2014,May,15
2014,Jun,16
2014,Jul,15
2014,Aug,17
2014,Sep,12
2014,Oct,16
2014,Nov,14
2014,Dec,18
2015,Jan,12
2015,Feb,12
2015,Mar,13
2015,Apr,19
2015,May,10
2015,Jun,17
2015,Jul,18
2015,Aug,16
2015,Sep,13
2015,Oct,14
2015,Nov,20
2015,Dec,16
2016,Jan,13
2016,Feb,12
2016,Mar,16
2016,Apr,13
2016,May,11
2016,Jun,12
2016,Jul,14
2016,Aug,11
2016,Sep,8
2016,Oct,13
2016,Nov,14
2016,Dec,12
2017,Jan,8
2017,Feb,10
2017,Mar,11
2017,Apr,12
2017,May,13
2017,Jun,15
2017,Jul,12
2017,Aug,13
2017,Sep,7
2017,Oct,13
2017,Nov,19
2017,Dec,11
2018,Jan,10
2018,Feb,8
2018,Mar,9
2018,Apr,12
2018,May,10
2018,Jun,10
2018,Jul,11
2018,Aug,8
2018,Sep,8
2018,Oct,6
2018,Nov,10
2018,Dec,8
2019,Jan,7
2019,Feb,6
2019,Mar,7
2019,Apr,7
2019,May,8
2019,Jun,8
2019,Jul,8
2019,Aug,7
2019,Sep,6
2019,Oct,38
2019,Nov,10
2019,Dec,9
2020,Jan,11
2020,Feb,35
2020,Mar,16
2020,Apr,12
2020,May,13
2020,Jun,34
2020,Jul,8
2020,Aug,6
2020,Sep,6
2020,Oct,7
2020,Nov,12
2020,Dec,7
2021,Jan,3
2021,Feb,5
2021,Mar,4
2021,Apr,3
2021,May,4
2021,Jun,4
2021,Jul,2
2021,Aug,3
2021,Sep,3
2021,Oct,3
2021,Nov,3
2021,Dec,3
2022,Jan,4
2022,Feb,2
2022,Mar,3
