CNAME:,INSPERITY INC
Google Trends Search Term:,insperity
Google Trends Suggestion:,company
Google Trends URL:,/m/0b74t37
Year,Month,SVI Data
2004,Jan,34
2004,Feb,23
2004,Mar,25
2004,Apr,27
2004,May,22
2004,Jun,23
2004,Jul,16
2004,Aug,27
2004,Sep,33
2004,Oct,36
2004,Nov,28
2004,Dec,19
2005,Jan,25
2005,Feb,38
2005,Mar,32
2005,Apr,25
2005,May,21
2005,Jun,37
2005,Jul,30
2005,Aug,30
2005,Sep,37
2005,Oct,38
2005,Nov,32
2005,Dec,26
2006,Jan,32
2006,Feb,26
2006,Mar,33
2006,Apr,43
2006,May,41
2006,Jun,35
2006,Jul,30
2006,Aug,33
2006,Sep,35
2006,Oct,50
2006,Nov,37
2006,Dec,28
2007,Jan,51
2007,Feb,40
2007,Mar,31
2007,Apr,45
2007,May,35
2007,Jun,32
2007,Jul,35
2007,Aug,40
2007,Sep,44
2007,Oct,53
2007,Nov,32
2007,Dec,33
2008,Jan,39
2008,Feb,37
2008,Mar,35
2008,Apr,36
2008,May,36
2008,Jun,34
2008,Jul,30
2008,Aug,49
2008,Sep,30
2008,Oct,37
2008,Nov,28
2008,Dec,31
2009,Jan,38
2009,Feb,41
2009,Mar,38
2009,Apr,30
2009,May,29
2009,Jun,30
2009,Jul,30
2009,Aug,37
2009,Sep,29
2009,Oct,36
2009,Nov,23
2009,Dec,28
2010,Jan,42
2010,Feb,27
2010,Mar,33
2010,Apr,35
2010,May,30
2010,Jun,31
2010,Jul,26
2010,Aug,29
2010,Sep,31
2010,Oct,34
2010,Nov,29
2010,Dec,29
2011,Jan,47
2011,Feb,41
2011,Mar,55
2011,Apr,56
2011,May,51
2011,Jun,45
2011,Jul,41
2011,Aug,46
2011,Sep,47
2011,Oct,44
2011,Nov,41
2011,Dec,44
2012,Jan,54
2012,Feb,43
2012,Mar,48
2012,Apr,44
2012,May,42
2012,Jun,45
2012,Jul,43
2012,Aug,47
2012,Sep,42
2012,Oct,45
2012,Nov,43
2012,Dec,45
2013,Jan,56
2013,Feb,45
2013,Mar,45
2013,Apr,46
2013,May,44
2013,Jun,39
2013,Jul,48
2013,Aug,50
2013,Sep,45
2013,Oct,47
2013,Nov,43
2013,Dec,46
2014,Jan,54
2014,Feb,47
2014,Mar,40
2014,Apr,48
2014,May,44
2014,Jun,44
2014,Jul,47
2014,Aug,42
2014,Sep,43
2014,Oct,43
2014,Nov,40
2014,Dec,46
2015,Jan,56
2015,Feb,47
2015,Mar,45
2015,Apr,46
2015,May,43
2015,Jun,48
2015,Jul,55
2015,Aug,46
2015,Sep,45
2015,Oct,43
2015,Nov,42
2015,Dec,50
2016,Jan,43
2016,Feb,40
2016,Mar,40
2016,Apr,39
2016,May,40
2016,Jun,43
2016,Jul,42
2016,Aug,42
2016,Sep,35
2016,Oct,39
2016,Nov,35
2016,Dec,43
2017,Jan,47
2017,Feb,40
2017,Mar,43
2017,Apr,40
2017,May,45
2017,Jun,42
2017,Jul,43
2017,Aug,43
2017,Sep,41
2017,Oct,44
2017,Nov,44
2017,Dec,49
2018,Jan,58
2018,Feb,49
2018,Mar,45
2018,Apr,50
2018,May,50
2018,Jun,57
2018,Jul,59
2018,Aug,64
2018,Sep,66
2018,Oct,62
2018,Nov,60
2018,Dec,59
2019,Jan,78
2019,Feb,71
2019,Mar,61
2019,Apr,67
2019,May,68
2019,Jun,73
2019,Jul,74
2019,Aug,83
2019,Sep,80
2019,Oct,80
2019,Nov,86
2019,Dec,86
2020,Jan,100
2020,Feb,97
2020,Mar,92
2020,Apr,75
2020,May,70
2020,Jun,81
2020,Jul,75
2020,Aug,74
2020,Sep,75
2020,Oct,71
2020,Nov,71
2020,Dec,82
2021,Jan,82
2021,Feb,76
2021,Mar,80
2021,Apr,72
2021,May,70
2021,Jun,79
2021,Jul,72
2021,Aug,72
2021,Sep,73
2021,Oct,72
2021,Nov,78
2021,Dec,85
2022,Jan,94
2022,Feb,93
2022,Mar,88
