CNAME:,ASTRA SPACE INC
Google Trends Search Term:,astra
Google Trends Suggestion:,company
Google Trends URL:,/m/010x5rpn
Year,Month,SVI Data
2004,Jan,25
2004,Feb,32
2004,Mar,18
2004,Apr,22
2004,May,32
2004,Jun,19
2004,Jul,25
2004,Aug,19
2004,Sep,16
2004,Oct,16
2004,Nov,14
2004,Dec,13
2005,Jan,16
2005,Feb,16
2005,Mar,21
2005,Apr,11
2005,May,12
2005,Jun,25
2005,Jul,14
2005,Aug,24
2005,Sep,9
2005,Oct,18
2005,Nov,15
2005,Dec,15
2006,Jan,14
2006,Feb,12
2006,Mar,10
2006,Apr,13
2006,May,15
2006,Jun,16
2006,Jul,16
2006,Aug,16
2006,Sep,15
2006,Oct,10
2006,Nov,17
2006,Dec,14
2007,Jan,26
2007,Feb,18
2007,Mar,14
2007,Apr,18
2007,May,13
2007,Jun,23
2007,Jul,21
2007,Aug,19
2007,Sep,16
2007,Oct,17
2007,Nov,17
2007,Dec,23
2008,Jan,21
2008,Feb,21
2008,Mar,28
2008,Apr,20
2008,May,20
2008,Jun,19
2008,Jul,20
2008,Aug,20
2008,Sep,15
2008,Oct,17
2008,Nov,15
2008,Dec,16
2009,Jan,11
2009,Feb,21
2009,Mar,20
2009,Apr,18
2009,May,13
2009,Jun,16
2009,Jul,15
2009,Aug,20
2009,Sep,19
2009,Oct,18
2009,Nov,18
2009,Dec,17
2010,Jan,15
2010,Feb,19
2010,Mar,18
2010,Apr,16
2010,May,15
2010,Jun,20
2010,Jul,16
2010,Aug,19
2010,Sep,17
2010,Oct,17
2010,Nov,15
2010,Dec,15
2011,Jan,8
2011,Feb,9
2011,Mar,9
2011,Apr,6
2011,May,8
2011,Jun,8
2011,Jul,6
2011,Aug,5
2011,Sep,7
2011,Oct,6
2011,Nov,5
2011,Dec,7
2012,Jan,6
2012,Feb,6
2012,Mar,8
2012,Apr,7
2012,May,8
2012,Jun,10
2012,Jul,7
2012,Aug,5
2012,Sep,7
2012,Oct,6
2012,Nov,5
2012,Dec,4
2013,Jan,5
2013,Feb,5
2013,Mar,5
2013,Apr,5
2013,May,5
2013,Jun,5
2013,Jul,5
2013,Aug,5
2013,Sep,3
2013,Oct,4
2013,Nov,6
2013,Dec,4
2014,Jan,3
2014,Feb,5
2014,Mar,4
2014,Apr,5
2014,May,6
2014,Jun,7
2014,Jul,5
2014,Aug,5
2014,Sep,6
2014,Oct,6
2014,Nov,5
2014,Dec,5
2015,Jan,5
2015,Feb,4
2015,Mar,5
2015,Apr,6
2015,May,6
2015,Jun,8
2015,Jul,4
2015,Aug,5
2015,Sep,5
2015,Oct,5
2015,Nov,6
2015,Dec,5
2016,Jan,5
2016,Feb,5
2016,Mar,6
2016,Apr,5
2016,May,5
2016,Jun,2
2016,Jul,3
2016,Aug,5
2016,Sep,5
2016,Oct,4
2016,Nov,4
2016,Dec,3
2017,Jan,5
2017,Feb,5
2017,Mar,4
2017,Apr,4
2017,May,4
2017,Jun,6
2017,Jul,3
2017,Aug,3
2017,Sep,3
2017,Oct,4
2017,Nov,4
2017,Dec,3
2018,Jan,5
2018,Feb,5
2018,Mar,5
2018,Apr,5
2018,May,5
2018,Jun,5
2018,Jul,6
2018,Aug,3
2018,Sep,5
2018,Oct,6
2018,Nov,4
2018,Dec,4
2019,Jan,5
2019,Feb,7
2019,Mar,6
2019,Apr,7
2019,May,6
2019,Jun,6
2019,Jul,5
2019,Aug,8
2019,Sep,12
2019,Oct,7
2019,Nov,6
2019,Dec,7
2020,Jan,9
2020,Feb,10
2020,Mar,7
2020,Apr,5
2020,May,6
2020,Jun,9
2020,Jul,7
2020,Aug,9
2020,Sep,9
2020,Oct,6
2020,Nov,6
2020,Dec,10
2021,Jan,8
2021,Feb,35
2021,Mar,16
2021,Apr,10
2021,May,11
2021,Jun,15
2021,Jul,36
2021,Aug,49
2021,Sep,24
2021,Oct,21
2021,Nov,47
2021,Dec,20
2022,Jan,29
2022,Feb,100
2022,Mar,35
