CNAME:,EQUITY ONE INC
Google Trends Search Term:,equity one
Google Trends Suggestion:,real estate investment trust company
Google Trends URL:,/m/03cg1k7
Year,Month,SVI Data
2004,Jan,0
2004,Feb,72
2004,Mar,46
2004,Apr,0
2004,May,64
2004,Jun,97
2004,Jul,33
2004,Aug,60
2004,Sep,58
2004,Oct,89
2004,Nov,30
2004,Dec,27
2005,Jan,47
2005,Feb,25
2005,Mar,42
2005,Apr,49
2005,May,43
2005,Jun,67
2005,Jul,22
2005,Aug,21
2005,Sep,19
2005,Oct,36
2005,Nov,92
2005,Dec,0
2006,Jan,0
2006,Feb,32
2006,Mar,100
2006,Apr,15
2006,May,28
2006,Jun,15
2006,Jul,44
2006,Aug,53
2006,Sep,67
2006,Oct,61
2006,Nov,36
2006,Dec,12
2007,Jan,21
2007,Feb,0
2007,Mar,10
2007,Apr,31
2007,May,9
2007,Jun,40
2007,Jul,19
2007,Aug,54
2007,Sep,0
2007,Oct,8
2007,Nov,25
2007,Dec,25
2008,Jan,60
2008,Feb,23
2008,Mar,30
2008,Apr,52
2008,May,7
2008,Jun,48
2008,Jul,30
2008,Aug,15
2008,Sep,21
2008,Oct,6
2008,Nov,0
2008,Dec,7
2009,Jan,13
2009,Feb,21
2009,Mar,19
2009,Apr,25
2009,May,32
2009,Jun,13
2009,Jul,6
2009,Aug,19
2009,Sep,18
2009,Oct,6
2009,Nov,23
2009,Dec,17
2010,Jan,16
2010,Feb,17
2010,Mar,21
2010,Apr,49
2010,May,0
2010,Jun,17
2010,Jul,5
2010,Aug,10
2010,Sep,19
2010,Oct,5
2010,Nov,9
2010,Dec,22
2011,Jan,17
2011,Feb,8
2011,Mar,10
2011,Apr,4
2011,May,10
2011,Jun,4
2011,Jul,14
2011,Aug,13
2011,Sep,19
2011,Oct,15
2011,Nov,19
2011,Dec,6
2012,Jan,11
2012,Feb,3
2012,Mar,8
2012,Apr,0
2012,May,13
2012,Jun,6
2012,Jul,5
2012,Aug,5
2012,Sep,5
2012,Oct,12
2012,Nov,13
2012,Dec,12
2013,Jan,9
2013,Feb,17
2013,Mar,16
2013,Apr,18
2013,May,5
2013,Jun,10
2013,Jul,12
2013,Aug,2
2013,Sep,9
2013,Oct,4
2013,Nov,7
2013,Dec,7
2014,Jan,4
2014,Feb,16
2014,Mar,6
2014,Apr,6
2014,May,5
2014,Jun,13
2014,Jul,12
2014,Aug,10
2014,Sep,5
2014,Oct,16
2014,Nov,12
2014,Dec,9
2015,Jan,2
2015,Feb,7
2015,Mar,16
2015,Apr,7
2015,May,5
2015,Jun,5
2015,Jul,12
2015,Aug,10
2015,Sep,9
2015,Oct,7
2015,Nov,5
2015,Dec,7
2016,Jan,4
2016,Feb,17
2016,Mar,7
2016,Apr,5
2016,May,11
2016,Jun,6
2016,Jul,6
2016,Aug,4
2016,Sep,13
2016,Oct,9
2016,Nov,9
2016,Dec,8
2017,Jan,5
2017,Feb,5
2017,Mar,12
2017,Apr,0
2017,May,5
2017,Jun,2
2017,Jul,7
2017,Aug,0
2017,Sep,7
2017,Oct,5
2017,Nov,2
2017,Dec,3
2018,Jan,3
2018,Feb,5
2018,Mar,3
2018,Apr,2
2018,May,3
2018,Jun,2
2018,Jul,2
2018,Aug,3
2018,Sep,3
2018,Oct,2
2018,Nov,5
2018,Dec,0
2019,Jan,6
2019,Feb,7
2019,Mar,2
2019,Apr,2
2019,May,2
2019,Jun,3
2019,Jul,5
2019,Aug,2
2019,Sep,3
2019,Oct,1
2019,Nov,0
2019,Dec,0
2020,Jan,0
2020,Feb,1
2020,Mar,3
2020,Apr,1
2020,May,3
2020,Jun,3
2020,Jul,1
2020,Aug,0
2020,Sep,4
2020,Oct,1
2020,Nov,1
2020,Dec,3
2021,Jan,4
2021,Feb,0
2021,Mar,3
2021,Apr,3
2021,May,0
2021,Jun,2
2021,Jul,0
2021,Aug,0
2021,Sep,3
2021,Oct,2
2021,Nov,5
2021,Dec,2
2022,Jan,0
2022,Feb,2
2022,Mar,0
