CNAME:,DICK S SPORTING GOODS INC
Google Trends Search Term:,dick's sporting goods
Google Trends Suggestion:,retail company
Google Trends URL:,/m/06fgv_
Year,Month,SVI Data
2004,Jan,12
2004,Feb,10
2004,Mar,12
2004,Apr,13
2004,May,14
2004,Jun,15
2004,Jul,15
2004,Aug,15
2004,Sep,13
2004,Oct,13
2004,Nov,17
2004,Dec,26
2005,Jan,16
2005,Feb,15
2005,Mar,20
2005,Apr,21
2005,May,20
2005,Jun,24
2005,Jul,22
2005,Aug,23
2005,Sep,19
2005,Oct,19
2005,Nov,26
2005,Dec,40
2006,Jan,22
2006,Feb,21
2006,Mar,23
2006,Apr,24
2006,May,23
2006,Jun,27
2006,Jul,26
2006,Aug,26
2006,Sep,23
2006,Oct,22
2006,Nov,32
2006,Dec,54
2007,Jan,26
2007,Feb,24
2007,Mar,27
2007,Apr,27
2007,May,31
2007,Jun,36
2007,Jul,35
2007,Aug,35
2007,Sep,30
2007,Oct,29
2007,Nov,41
2007,Dec,59
2008,Jan,30
2008,Feb,27
2008,Mar,32
2008,Apr,32
2008,May,32
2008,Jun,39
2008,Jul,35
2008,Aug,34
2008,Sep,21
2008,Oct,22
2008,Nov,32
2008,Dec,54
2009,Jan,30
2009,Feb,26
2009,Mar,31
2009,Apr,30
2009,May,29
2009,Jun,26
2009,Jul,23
2009,Aug,22
2009,Sep,18
2009,Oct,18
2009,Nov,25
2009,Dec,36
2010,Jan,19
2010,Feb,17
2010,Mar,19
2010,Apr,20
2010,May,21
2010,Jun,24
2010,Jul,23
2010,Aug,24
2010,Sep,21
2010,Oct,22
2010,Nov,31
2010,Dec,44
2011,Jan,28
2011,Feb,25
2011,Mar,27
2011,Apr,29
2011,May,30
2011,Jun,34
2011,Jul,35
2011,Aug,36
2011,Sep,32
2011,Oct,30
2011,Nov,43
2011,Dec,61
2012,Jan,38
2012,Feb,36
2012,Mar,34
2012,Apr,33
2012,May,36
2012,Jun,47
2012,Jul,43
2012,Aug,39
2012,Sep,34
2012,Oct,37
2012,Nov,57
2012,Dec,59
2013,Jan,35
2013,Feb,40
2013,Mar,45
2013,Apr,44
2013,May,42
2013,Jun,51
2013,Jul,36
2013,Aug,46
2013,Sep,38
2013,Oct,35
2013,Nov,50
2013,Dec,75
2014,Jan,44
2014,Feb,43
2014,Mar,45
2014,Apr,44
2014,May,47
2014,Jun,56
2014,Jul,54
2014,Aug,58
2014,Sep,45
2014,Oct,43
2014,Nov,70
2014,Dec,90
2015,Jan,49
2015,Feb,44
2015,Mar,49
2015,Apr,46
2015,May,46
2015,Jun,55
2015,Jul,54
2015,Aug,57
2015,Sep,44
2015,Oct,42
2015,Nov,67
2015,Dec,82
2016,Jan,46
2016,Feb,45
2016,Mar,46
2016,Apr,46
2016,May,50
2016,Jun,61
2016,Jul,56
2016,Aug,56
2016,Sep,47
2016,Oct,47
2016,Nov,68
2016,Dec,87
2017,Jan,44
2017,Feb,41
2017,Mar,42
2017,Apr,46
2017,May,43
2017,Jun,52
2017,Jul,53
2017,Aug,60
2017,Sep,48
2017,Oct,51
2017,Nov,87
2017,Dec,100
2018,Jan,48
2018,Feb,52
2018,Mar,52
2018,Apr,50
2018,May,48
2018,Jun,57
2018,Jul,55
2018,Aug,60
2018,Sep,42
2018,Oct,40
2018,Nov,73
2018,Dec,82
2019,Jan,40
2019,Feb,41
2019,Mar,50
2019,Apr,45
2019,May,48
2019,Jun,54
2019,Jul,52
2019,Aug,58
2019,Sep,44
2019,Oct,40
2019,Nov,63
2019,Dec,86
2020,Jan,40
2020,Feb,41
2020,Mar,45
2020,Apr,50
2020,May,69
2020,Jun,78
2020,Jul,68
2020,Aug,57
2020,Sep,49
2020,Oct,46
2020,Nov,65
2020,Dec,88
2021,Jan,51
2021,Feb,47
2021,Mar,53
2021,Apr,54
2021,May,51
2021,Jun,57
2021,Jul,56
2021,Aug,60
2021,Sep,48
2021,Oct,44
2021,Nov,61
2021,Dec,78
2022,Jan,45
2022,Feb,45
2022,Mar,50
