CNAME:,BURGER KING HOLDINGS INC
Google Trends Search Term:,burger king
Google Trends Suggestion:,fast food restaurant company
Google Trends URL:,/m/01601q
Year,Month,SVI Data
2004,Jan,19
2004,Feb,16
2004,Mar,15
2004,Apr,20
2004,May,18
2004,Jun,19
2004,Jul,15
2004,Aug,15
2004,Sep,16
2004,Oct,19
2004,Nov,18
2004,Dec,26
2005,Jan,17
2005,Feb,18
2005,Mar,28
2005,Apr,22
2005,May,26
2005,Jun,20
2005,Jul,22
2005,Aug,19
2005,Sep,21
2005,Oct,31
2005,Nov,22
2005,Dec,30
2006,Jan,23
2006,Feb,24
2006,Mar,21
2006,Apr,20
2006,May,24
2006,Jun,20
2006,Jul,21
2006,Aug,19
2006,Sep,21
2006,Oct,22
2006,Nov,24
2006,Dec,26
2007,Jan,20
2007,Feb,18
2007,Mar,20
2007,Apr,18
2007,May,20
2007,Jun,21
2007,Jul,23
2007,Aug,22
2007,Sep,21
2007,Oct,23
2007,Nov,21
2007,Dec,23
2008,Jan,22
2008,Feb,20
2008,Mar,20
2008,Apr,22
2008,May,23
2008,Jun,24
2008,Jul,23
2008,Aug,23
2008,Sep,21
2008,Oct,23
2008,Nov,21
2008,Dec,27
2009,Jan,23
2009,Feb,22
2009,Mar,22
2009,Apr,27
2009,May,23
2009,Jun,23
2009,Jul,24
2009,Aug,22
2009,Sep,22
2009,Oct,26
2009,Nov,25
2009,Dec,23
2010,Jan,24
2010,Feb,22
2010,Mar,25
2010,Apr,26
2010,May,25
2010,Jun,25
2010,Jul,28
2010,Aug,25
2010,Sep,33
2010,Oct,31
2010,Nov,29
2010,Dec,27
2011,Jan,32
2011,Feb,29
2011,Mar,33
2011,Apr,34
2011,May,32
2011,Jun,35
2011,Jul,37
2011,Aug,36
2011,Sep,35
2011,Oct,35
2011,Nov,33
2011,Dec,40
2012,Jan,40
2012,Feb,39
2012,Mar,38
2012,Apr,56
2012,May,43
2012,Jun,52
2012,Jul,48
2012,Aug,45
2012,Sep,43
2012,Oct,40
2012,Nov,40
2012,Dec,44
2013,Jan,42
2013,Feb,45
2013,Mar,46
2013,Apr,44
2013,May,47
2013,Jun,49
2013,Jul,48
2013,Aug,45
2013,Sep,44
2013,Oct,48
2013,Nov,43
2013,Dec,41
2014,Jan,43
2014,Feb,39
2014,Mar,44
2014,Apr,43
2014,May,45
2014,Jun,45
2014,Jul,48
2014,Aug,58
2014,Sep,46
2014,Oct,48
2014,Nov,44
2014,Dec,44
2015,Jan,44
2015,Feb,42
2015,Mar,47
2015,Apr,49
2015,May,50
2015,Jun,55
2015,Jul,52
2015,Aug,52
2015,Sep,53
2015,Oct,57
2015,Nov,46
2015,Dec,48
2016,Jan,55
2016,Feb,55
2016,Mar,52
2016,Apr,53
2016,May,55
2016,Jun,66
2016,Jul,64
2016,Aug,53
2016,Sep,52
2016,Oct,53
2016,Nov,51
2016,Dec,55
2017,Jan,52
2017,Feb,55
2017,Mar,54
2017,Apr,58
2017,May,60
2017,Jun,67
2017,Jul,68
2017,Aug,64
2017,Sep,59
2017,Oct,61
2017,Nov,59
2017,Dec,60
2018,Jan,59
2018,Feb,55
2018,Mar,59
2018,Apr,65
2018,May,64
2018,Jun,73
2018,Jul,72
2018,Aug,67
2018,Sep,64
2018,Oct,74
2018,Nov,69
2018,Dec,81
2019,Jan,71
2019,Feb,68
2019,Mar,72
2019,Apr,77
2019,May,79
2019,Jun,81
2019,Jul,97
2019,Aug,100
2019,Sep,82
2019,Oct,76
2019,Nov,74
2019,Dec,83
2020,Jan,75
2020,Feb,76
2020,Mar,64
2020,Apr,68
2020,May,73
2020,Jun,77
2020,Jul,77
2020,Aug,82
2020,Sep,72
2020,Oct,75
2020,Nov,71
2020,Dec,76
2021,Jan,72
2021,Feb,72
2021,Mar,77
2021,Apr,81
2021,May,80
2021,Jun,86
2021,Jul,82
2021,Aug,75
2021,Sep,70
2021,Oct,73
2021,Nov,71
2021,Dec,84
2022,Jan,68
2022,Feb,66
2022,Mar,73
