CNAME:,SAKS INC
Google Trends Search Term:,saks fifth avenue
Google Trends Suggestion:,department store company
Google Trends URL:,/m/079bt
Year,Month,SVI Data
2004,Jan,51
2004,Feb,52
2004,Mar,48
2004,Apr,51
2004,May,47
2004,Jun,45
2004,Jul,46
2004,Aug,44
2004,Sep,53
2004,Oct,47
2004,Nov,57
2004,Dec,75
2005,Jan,52
2005,Feb,50
2005,Mar,58
2005,Apr,60
2005,May,59
2005,Jun,51
2005,Jul,50
2005,Aug,53
2005,Sep,53
2005,Oct,58
2005,Nov,66
2005,Dec,88
2006,Jan,58
2006,Feb,58
2006,Mar,59
2006,Apr,59
2006,May,58
2006,Jun,51
2006,Jul,58
2006,Aug,56
2006,Sep,64
2006,Oct,58
2006,Nov,65
2006,Dec,93
2007,Jan,64
2007,Feb,60
2007,Mar,57
2007,Apr,59
2007,May,60
2007,Jun,57
2007,Jul,59
2007,Aug,66
2007,Sep,60
2007,Oct,65
2007,Nov,75
2007,Dec,92
2008,Jan,63
2008,Feb,62
2008,Mar,63
2008,Apr,66
2008,May,63
2008,Jun,61
2008,Jul,57
2008,Aug,56
2008,Sep,54
2008,Oct,56
2008,Nov,85
2008,Dec,100
2009,Jan,70
2009,Feb,59
2009,Mar,52
2009,Apr,56
2009,May,47
2009,Jun,41
2009,Jul,42
2009,Aug,42
2009,Sep,43
2009,Oct,52
2009,Nov,50
2009,Dec,63
2010,Jan,41
2010,Feb,42
2010,Mar,42
2010,Apr,43
2010,May,40
2010,Jun,39
2010,Jul,37
2010,Aug,39
2010,Sep,38
2010,Oct,42
2010,Nov,49
2010,Dec,65
2011,Jan,58
2011,Feb,59
2011,Mar,57
2011,Apr,63
2011,May,56
2011,Jun,55
2011,Jul,54
2011,Aug,53
2011,Sep,56
2011,Oct,60
2011,Nov,73
2011,Dec,89
2012,Jan,67
2012,Feb,53
2012,Mar,67
2012,Apr,66
2012,May,53
2012,Jun,41
2012,Jul,41
2012,Aug,38
2012,Sep,42
2012,Oct,44
2012,Nov,56
2012,Dec,71
2013,Jan,47
2013,Feb,43
2013,Mar,54
2013,Apr,64
2013,May,55
2013,Jun,43
2013,Jul,52
2013,Aug,45
2013,Sep,45
2013,Oct,55
2013,Nov,60
2013,Dec,76
2014,Jan,51
2014,Feb,45
2014,Mar,47
2014,Apr,51
2014,May,44
2014,Jun,41
2014,Jul,33
2014,Aug,31
2014,Sep,34
2014,Oct,37
2014,Nov,42
2014,Dec,57
2015,Jan,33
2015,Feb,32
2015,Mar,33
2015,Apr,46
2015,May,44
2015,Jun,33
2015,Jul,33
2015,Aug,34
2015,Sep,37
2015,Oct,39
2015,Nov,41
2015,Dec,55
2016,Jan,41
2016,Feb,49
2016,Mar,42
2016,Apr,33
2016,May,33
2016,Jun,38
2016,Jul,36
2016,Aug,30
2016,Sep,28
2016,Oct,36
2016,Nov,62
2016,Dec,68
2017,Jan,34
2017,Feb,28
2017,Mar,41
2017,Apr,49
2017,May,51
2017,Jun,31
2017,Jul,27
2017,Aug,30
2017,Sep,35
2017,Oct,41
2017,Nov,47
2017,Dec,54
2018,Jan,43
2018,Feb,44
2018,Mar,43
2018,Apr,33
2018,May,37
2018,Jun,44
2018,Jul,44
2018,Aug,27
2018,Sep,37
2018,Oct,46
2018,Nov,61
2018,Dec,54
2019,Jan,45
2019,Feb,37
2019,Mar,39
2019,Apr,38
2019,May,40
2019,Jun,38
2019,Jul,34
2019,Aug,32
2019,Sep,35
2019,Oct,38
2019,Nov,53
2019,Dec,68
2020,Jan,39
2020,Feb,37
2020,Mar,29
2020,Apr,30
2020,May,37
2020,Jun,42
2020,Jul,39
2020,Aug,37
2020,Sep,30
2020,Oct,35
2020,Nov,40
2020,Dec,52
2021,Jan,30
2021,Feb,29
2021,Mar,35
2021,Apr,37
2021,May,40
2021,Jun,35
2021,Jul,35
2021,Aug,31
2021,Sep,34
2021,Oct,41
2021,Nov,61
2021,Dec,71
2022,Jan,49
2022,Feb,47
2022,Mar,51
