CNAME:,QUIKSILVER INC
Google Trends Search Term:,quiksilver
Google Trends Suggestion:,apparel company
Google Trends URL:,/m/02pfj0
Year,Month,SVI Data
2004,Jan,57
2004,Feb,52
2004,Mar,64
2004,Apr,72
2004,May,65
2004,Jun,63
2004,Jul,66
2004,Aug,64
2004,Sep,54
2004,Oct,55
2004,Nov,60
2004,Dec,70
2005,Jan,57
2005,Feb,56
2005,Mar,63
2005,Apr,55
2005,May,69
2005,Jun,68
2005,Jul,73
2005,Aug,71
2005,Sep,55
2005,Oct,57
2005,Nov,64
2005,Dec,73
2006,Jan,63
2006,Feb,63
2006,Mar,63
2006,Apr,57
2006,May,62
2006,Jun,65
2006,Jul,69
2006,Aug,63
2006,Sep,55
2006,Oct,56
2006,Nov,59
2006,Dec,66
2007,Jan,54
2007,Feb,59
2007,Mar,65
2007,Apr,60
2007,May,62
2007,Jun,76
2007,Jul,74
2007,Aug,71
2007,Sep,62
2007,Oct,59
2007,Nov,70
2007,Dec,80
2008,Jan,57
2008,Feb,65
2008,Mar,60
2008,Apr,56
2008,May,57
2008,Jun,62
2008,Jul,62
2008,Aug,61
2008,Sep,50
2008,Oct,47
2008,Nov,56
2008,Dec,57
2009,Jan,48
2009,Feb,50
2009,Mar,54
2009,Apr,47
2009,May,50
2009,Jun,54
2009,Jul,54
2009,Aug,54
2009,Sep,44
2009,Oct,38
2009,Nov,42
2009,Dec,60
2010,Jan,38
2010,Feb,39
2010,Mar,43
2010,Apr,38
2010,May,38
2010,Jun,40
2010,Jul,41
2010,Aug,38
2010,Sep,33
2010,Oct,33
2010,Nov,35
2010,Dec,37
2011,Jan,34
2011,Feb,32
2011,Mar,36
2011,Apr,35
2011,May,38
2011,Jun,43
2011,Jul,45
2011,Aug,47
2011,Sep,50
2011,Oct,33
2011,Nov,37
2011,Dec,37
2012,Jan,29
2012,Feb,30
2012,Mar,30
2012,Apr,41
2012,May,100
2012,Jun,55
2012,Jul,48
2012,Aug,42
2012,Sep,31
2012,Oct,28
2012,Nov,31
2012,Dec,37
2013,Jan,31
2013,Feb,30
2013,Mar,39
2013,Apr,30
2013,May,37
2013,Jun,37
2013,Jul,38
2013,Aug,36
2013,Sep,25
2013,Oct,24
2013,Nov,27
2013,Dec,28
2014,Jan,27
2014,Feb,26
2014,Mar,34
2014,Apr,38
2014,May,43
2014,Jun,39
2014,Jul,32
2014,Aug,27
2014,Sep,23
2014,Oct,26
2014,Nov,26
2014,Dec,27
2015,Jan,22
2015,Feb,20
2015,Mar,28
2015,Apr,32
2015,May,52
2015,Jun,29
2015,Jul,28
2015,Aug,24
2015,Sep,24
2015,Oct,20
2015,Nov,21
2015,Dec,23
2016,Jan,19
2016,Feb,26
2016,Mar,21
2016,Apr,19
2016,May,31
2016,Jun,32
2016,Jul,22
2016,Aug,19
2016,Sep,16
2016,Oct,17
2016,Nov,17
2016,Dec,18
2017,Jan,15
2017,Feb,16
2017,Mar,20
2017,Apr,18
2017,May,18
2017,Jun,20
2017,Jul,20
2017,Aug,17
2017,Sep,14
2017,Oct,13
2017,Nov,16
2017,Dec,15
2018,Jan,15
2018,Feb,17
2018,Mar,15
2018,Apr,16
2018,May,19
2018,Jun,20
2018,Jul,18
2018,Aug,15
2018,Sep,13
2018,Oct,11
2018,Nov,14
2018,Dec,14
2019,Jan,13
2019,Feb,12
2019,Mar,13
2019,Apr,16
2019,May,17
2019,Jun,18
2019,Jul,16
2019,Aug,14
2019,Sep,12
2019,Oct,11
2019,Nov,12
2019,Dec,15
2020,Jan,13
2020,Feb,12
2020,Mar,11
2020,Apr,12
2020,May,16
2020,Jun,18
2020,Jul,16
2020,Aug,14
2020,Sep,12
2020,Oct,11
2020,Nov,12
2020,Dec,12
2021,Jan,14
2021,Feb,38
2021,Mar,21
2021,Apr,16
2021,May,16
2021,Jun,16
2021,Jul,14
2021,Aug,13
2021,Sep,11
2021,Oct,10
2021,Nov,13
2021,Dec,13
2022,Jan,12
2022,Feb,12
2022,Mar,12
