CNAME:,CERIDIAN CORP NEW
Google Trends Search Term:,ceridian
Google Trends Suggestion:,company
Google Trends URL:,/m/07f8h6
Year,Month,SVI Data
2004,Jan,45
2004,Feb,47
2004,Mar,62
2004,Apr,50
2004,May,47
2004,Jun,49
2004,Jul,64
2004,Aug,60
2004,Sep,64
2004,Oct,56
2004,Nov,71
2004,Dec,73
2005,Jan,85
2005,Feb,70
2005,Mar,85
2005,Apr,66
2005,May,62
2005,Jun,62
2005,Jul,56
2005,Aug,67
2005,Sep,63
2005,Oct,63
2005,Nov,64
2005,Dec,82
2006,Jan,87
2006,Feb,91
2006,Mar,80
2006,Apr,75
2006,May,64
2006,Jun,64
2006,Jul,57
2006,Aug,70
2006,Sep,64
2006,Oct,78
2006,Nov,60
2006,Dec,88
2007,Jan,100
2007,Feb,94
2007,Mar,80
2007,Apr,74
2007,May,78
2007,Jun,83
2007,Jul,73
2007,Aug,74
2007,Sep,61
2007,Oct,69
2007,Nov,68
2007,Dec,76
2008,Jan,93
2008,Feb,82
2008,Mar,86
2008,Apr,65
2008,May,62
2008,Jun,70
2008,Jul,74
2008,Aug,57
2008,Sep,64
2008,Oct,66
2008,Nov,67
2008,Dec,84
2009,Jan,90
2009,Feb,83
2009,Mar,87
2009,Apr,79
2009,May,86
2009,Jun,82
2009,Jul,67
2009,Aug,72
2009,Sep,65
2009,Oct,71
2009,Nov,73
2009,Dec,83
2010,Jan,95
2010,Feb,91
2010,Mar,72
2010,Apr,64
2010,May,64
2010,Jun,68
2010,Jul,58
2010,Aug,62
2010,Sep,61
2010,Oct,57
2010,Nov,65
2010,Dec,70
2011,Jan,93
2011,Feb,74
2011,Mar,72
2011,Apr,58
2011,May,54
2011,Jun,61
2011,Jul,62
2011,Aug,62
2011,Sep,58
2011,Oct,58
2011,Nov,62
2011,Dec,58
2012,Jan,81
2012,Feb,67
2012,Mar,67
2012,Apr,59
2012,May,51
2012,Jun,54
2012,Jul,55
2012,Aug,62
2012,Sep,52
2012,Oct,59
2012,Nov,68
2012,Dec,62
2013,Jan,84
2013,Feb,67
2013,Mar,65
2013,Apr,63
2013,May,62
2013,Jun,59
2013,Jul,60
2013,Aug,60
2013,Sep,50
2013,Oct,61
2013,Nov,60
2013,Dec,64
2014,Jan,79
2014,Feb,65
2014,Mar,55
2014,Apr,53
2014,May,50
2014,Jun,54
2014,Jul,62
2014,Aug,51
2014,Sep,51
2014,Oct,56
2014,Nov,50
2014,Dec,59
2015,Jan,67
2015,Feb,51
2015,Mar,44
2015,Apr,45
2015,May,38
2015,Jun,43
2015,Jul,48
2015,Aug,44
2015,Sep,40
2015,Oct,41
2015,Nov,41
2015,Dec,40
2016,Jan,56
2016,Feb,40
2016,Mar,39
2016,Apr,38
2016,May,35
2016,Jun,38
2016,Jul,38
2016,Aug,37
2016,Sep,37
2016,Oct,30
2016,Nov,34
2016,Dec,36
2017,Jan,44
2017,Feb,33
2017,Mar,34
2017,Apr,29
2017,May,32
2017,Jun,34
2017,Jul,31
2017,Aug,35
2017,Sep,31
2017,Oct,31
2017,Nov,34
2017,Dec,30
2018,Jan,39
2018,Feb,33
2018,Mar,31
2018,Apr,27
2018,May,27
2018,Jun,27
2018,Jul,25
2018,Aug,24
2018,Sep,22
2018,Oct,25
2018,Nov,22
2018,Dec,21
2019,Jan,29
2019,Feb,22
2019,Mar,24
2019,Apr,21
2019,May,22
2019,Jun,22
2019,Jul,23
2019,Aug,22
2019,Sep,23
2019,Oct,25
2019,Nov,21
2019,Dec,21
2020,Jan,26
2020,Feb,20
2020,Mar,17
2020,Apr,15
2020,May,15
2020,Jun,14
2020,Jul,15
2020,Aug,13
2020,Sep,12
2020,Oct,11
2020,Nov,11
2020,Dec,11
2021,Jan,13
2021,Feb,11
2021,Mar,12
2021,Apr,11
2021,May,11
2021,Jun,11
2021,Jul,11
2021,Aug,9
2021,Sep,10
2021,Oct,10
2021,Nov,10
2021,Dec,11
2022,Jan,12
2022,Feb,13
2022,Mar,12
