CNAME:,SCHLUMBERGER LTD
Google Trends Search Term:,schlumberger
Google Trends Suggestion:,oilfield services company
Google Trends URL:,/m/02cd4v
Year,Month,SVI Data
2004,Jan,82
2004,Feb,99
2004,Mar,73
2004,Apr,90
2004,May,86
2004,Jun,93
2004,Jul,76
2004,Aug,73
2004,Sep,74
2004,Oct,60
2004,Nov,60
2004,Dec,50
2005,Jan,65
2005,Feb,72
2005,Mar,72
2005,Apr,80
2005,May,78
2005,Jun,60
2005,Jul,64
2005,Aug,67
2005,Sep,58
2005,Oct,66
2005,Nov,62
2005,Dec,59
2006,Jan,71
2006,Feb,73
2006,Mar,67
2006,Apr,66
2006,May,84
2006,Jun,78
2006,Jul,69
2006,Aug,62
2006,Sep,70
2006,Oct,77
2006,Nov,71
2006,Dec,50
2007,Jan,71
2007,Feb,63
2007,Mar,61
2007,Apr,66
2007,May,60
2007,Jun,69
2007,Jul,72
2007,Aug,62
2007,Sep,59
2007,Oct,82
2007,Nov,62
2007,Dec,60
2008,Jan,81
2008,Feb,73
2008,Mar,58
2008,Apr,73
2008,May,63
2008,Jun,65
2008,Jul,80
2008,Aug,61
2008,Sep,68
2008,Oct,90
2008,Nov,72
2008,Dec,59
2009,Jan,72
2009,Feb,65
2009,Mar,63
2009,Apr,59
2009,May,58
2009,Jun,56
2009,Jul,63
2009,Aug,58
2009,Sep,66
2009,Oct,68
2009,Nov,54
2009,Dec,55
2010,Jan,61
2010,Feb,93
2010,Mar,71
2010,Apr,67
2010,May,68
2010,Jun,66
2010,Jul,58
2010,Aug,59
2010,Sep,64
2010,Oct,67
2010,Nov,59
2010,Dec,49
2011,Jan,59
2011,Feb,65
2011,Mar,64
2011,Apr,59
2011,May,56
2011,Jun,58
2011,Jul,63
2011,Aug,61
2011,Sep,65
2011,Oct,61
2011,Nov,58
2011,Dec,52
2012,Jan,69
2012,Feb,69
2012,Mar,66
2012,Apr,58
2012,May,60
2012,Jun,61
2012,Jul,61
2012,Aug,58
2012,Sep,60
2012,Oct,67
2012,Nov,56
2012,Dec,49
2013,Jan,59
2013,Feb,65
2013,Mar,55
2013,Apr,61
2013,May,57
2013,Jun,53
2013,Jul,60
2013,Aug,63
2013,Sep,67
2013,Oct,67
2013,Nov,56
2013,Dec,46
2014,Jan,65
2014,Feb,61
2014,Mar,60
2014,Apr,64
2014,May,63
2014,Jun,64
2014,Jul,64
2014,Aug,64
2014,Sep,63
2014,Oct,68
2014,Nov,67
2014,Dec,62
2015,Jan,100
2015,Feb,66
2015,Mar,55
2015,Apr,69
2015,May,50
2015,Jun,50
2015,Jul,53
2015,Aug,72
2015,Sep,60
2015,Oct,59
2015,Nov,43
2015,Dec,44
2016,Jan,47
2016,Feb,47
2016,Mar,43
2016,Apr,40
2016,May,37
2016,Jun,38
2016,Jul,36
2016,Aug,36
2016,Sep,35
2016,Oct,34
2016,Nov,34
2016,Dec,32
2017,Jan,42
2017,Feb,43
2017,Mar,41
2017,Apr,35
2017,May,38
2017,Jun,40
2017,Jul,42
2017,Aug,37
2017,Sep,36
2017,Oct,40
2017,Nov,35
2017,Dec,29
2018,Jan,44
2018,Feb,39
2018,Mar,41
2018,Apr,38
2018,May,40
2018,Jun,37
2018,Jul,41
2018,Aug,40
2018,Sep,36
2018,Oct,41
2018,Nov,37
2018,Dec,35
2019,Jan,42
2019,Feb,38
2019,Mar,36
2019,Apr,41
2019,May,40
2019,Jun,41
2019,Jul,42
2019,Aug,39
2019,Sep,42
2019,Oct,40
2019,Nov,31
2019,Dec,31
2020,Jan,40
2020,Feb,40
2020,Mar,55
2020,Apr,57
2020,May,37
2020,Jun,39
2020,Jul,38
2020,Aug,26
2020,Sep,30
2020,Oct,28
2020,Nov,22
2020,Dec,21
2021,Jan,24
2021,Feb,24
2021,Mar,24
2021,Apr,23
2021,May,23
2021,Jun,24
2021,Jul,24
2021,Aug,23
2021,Sep,22
2021,Oct,25
2021,Nov,19
2021,Dec,19
2022,Jan,23
2022,Feb,29
2022,Mar,30
