CNAME:,ROSS STORES INC
Google Trends Search Term:,ross stores
Google Trends Suggestion:,discount store company
Google Trends URL:,/m/08950y
Year,Month,SVI Data
2004,Jan,13
2004,Feb,15
2004,Mar,15
2004,Apr,15
2004,May,16
2004,Jun,15
2004,Jul,17
2004,Aug,17
2004,Sep,14
2004,Oct,16
2004,Nov,18
2004,Dec,19
2005,Jan,15
2005,Feb,14
2005,Mar,16
2005,Apr,17
2005,May,17
2005,Jun,18
2005,Jul,19
2005,Aug,19
2005,Sep,16
2005,Oct,17
2005,Nov,18
2005,Dec,21
2006,Jan,15
2006,Feb,14
2006,Mar,17
2006,Apr,17
2006,May,17
2006,Jun,17
2006,Jul,19
2006,Aug,18
2006,Sep,17
2006,Oct,19
2006,Nov,19
2006,Dec,21
2007,Jan,14
2007,Feb,15
2007,Mar,18
2007,Apr,17
2007,May,18
2007,Jun,19
2007,Jul,20
2007,Aug,20
2007,Sep,18
2007,Oct,18
2007,Nov,20
2007,Dec,21
2008,Jan,15
2008,Feb,15
2008,Mar,18
2008,Apr,18
2008,May,18
2008,Jun,18
2008,Jul,19
2008,Aug,19
2008,Sep,16
2008,Oct,17
2008,Nov,19
2008,Dec,20
2009,Jan,15
2009,Feb,16
2009,Mar,17
2009,Apr,18
2009,May,19
2009,Jun,17
2009,Jul,19
2009,Aug,20
2009,Sep,17
2009,Oct,19
2009,Nov,21
2009,Dec,22
2010,Jan,15
2010,Feb,15
2010,Mar,17
2010,Apr,17
2010,May,18
2010,Jun,17
2010,Jul,22
2010,Aug,22
2010,Sep,19
2010,Oct,20
2010,Nov,25
2010,Dec,26
2011,Jan,24
2011,Feb,24
2011,Mar,26
2011,Apr,26
2011,May,26
2011,Jun,26
2011,Jul,29
2011,Aug,28
2011,Sep,26
2011,Oct,30
2011,Nov,31
2011,Dec,33
2012,Jan,24
2012,Feb,23
2012,Mar,25
2012,Apr,26
2012,May,27
2012,Jun,27
2012,Jul,29
2012,Aug,31
2012,Sep,25
2012,Oct,25
2012,Nov,29
2012,Dec,29
2013,Jan,21
2013,Feb,22
2013,Mar,26
2013,Apr,24
2013,May,27
2013,Jun,28
2013,Jul,29
2013,Aug,30
2013,Sep,26
2013,Oct,27
2013,Nov,31
2013,Dec,33
2014,Jan,22
2014,Feb,23
2014,Mar,27
2014,Apr,28
2014,May,29
2014,Jun,28
2014,Jul,30
2014,Aug,30
2014,Sep,26
2014,Oct,25
2014,Nov,31
2014,Dec,34
2015,Jan,23
2015,Feb,23
2015,Mar,27
2015,Apr,28
2015,May,30
2015,Jun,31
2015,Jul,33
2015,Aug,32
2015,Sep,28
2015,Oct,28
2015,Nov,32
2015,Dec,36
2016,Jan,27
2016,Feb,29
2016,Mar,33
2016,Apr,32
2016,May,36
2016,Jun,35
2016,Jul,38
2016,Aug,36
2016,Sep,32
2016,Oct,34
2016,Nov,36
2016,Dec,43
2017,Jan,28
2017,Feb,28
2017,Mar,33
2017,Apr,35
2017,May,38
2017,Jun,39
2017,Jul,41
2017,Aug,39
2017,Sep,33
2017,Oct,35
2017,Nov,39
2017,Dec,46
2018,Jan,30
2018,Feb,32
2018,Mar,36
2018,Apr,36
2018,May,38
2018,Jun,39
2018,Jul,42
2018,Aug,42
2018,Sep,37
2018,Oct,37
2018,Nov,39
2018,Dec,52
2019,Jan,32
2019,Feb,32
2019,Mar,38
2019,Apr,40
2019,May,41
2019,Jun,43
2019,Jul,45
2019,Aug,46
2019,Sep,40
2019,Oct,39
2019,Nov,45
2019,Dec,55
2020,Jan,33
2020,Feb,34
2020,Mar,32
2020,Apr,21
2020,May,100
2020,Jun,73
2020,Jul,46
2020,Aug,43
2020,Sep,39
2020,Oct,40
2020,Nov,40
2020,Dec,56
2021,Jan,36
2021,Feb,32
2021,Mar,40
2021,Apr,44
2021,May,43
2021,Jun,44
2021,Jul,46
2021,Aug,45
2021,Sep,39
2021,Oct,40
2021,Nov,46
2021,Dec,53
2022,Jan,34
2022,Feb,34
2022,Mar,36
