CNAME:,NISOURCE INC DE
Google Trends Search Term:,nisource
Google Trends Suggestion:,utilities company
Google Trends URL:,/m/09rm5d
Year,Month,SVI Data
2004,Jan,65
2004,Feb,38
2004,Mar,33
2004,Apr,68
2004,May,68
2004,Jun,29
2004,Jul,72
2004,Aug,75
2004,Sep,82
2004,Oct,84
2004,Nov,49
2004,Dec,58
2005,Jan,72
2005,Feb,93
2005,Mar,49
2005,Apr,69
2005,May,66
2005,Jun,84
2005,Jul,75
2005,Aug,59
2005,Sep,44
2005,Oct,45
2005,Nov,36
2005,Dec,59
2006,Jan,50
2006,Feb,66
2006,Mar,54
2006,Apr,62
2006,May,38
2006,Jun,35
2006,Jul,47
2006,Aug,67
2006,Sep,60
2006,Oct,33
2006,Nov,39
2006,Dec,35
2007,Jan,67
2007,Feb,32
2007,Mar,33
2007,Apr,50
2007,May,53
2007,Jun,56
2007,Jul,49
2007,Aug,55
2007,Sep,39
2007,Oct,63
2007,Nov,48
2007,Dec,51
2008,Jan,48
2008,Feb,58
2008,Mar,67
2008,Apr,59
2008,May,65
2008,Jun,68
2008,Jul,58
2008,Aug,48
2008,Sep,54
2008,Oct,58
2008,Nov,41
2008,Dec,57
2009,Jan,52
2009,Feb,67
2009,Mar,55
2009,Apr,47
2009,May,34
2009,Jun,31
2009,Jul,40
2009,Aug,44
2009,Sep,52
2009,Oct,40
2009,Nov,48
2009,Dec,33
2010,Jan,53
2010,Feb,57
2010,Mar,52
2010,Apr,40
2010,May,44
2010,Jun,43
2010,Jul,38
2010,Aug,55
2010,Sep,48
2010,Oct,39
2010,Nov,34
2010,Dec,47
2011,Jan,55
2011,Feb,55
2011,Mar,50
2011,Apr,62
2011,May,55
2011,Jun,52
2011,Jul,54
2011,Aug,51
2011,Sep,44
2011,Oct,44
2011,Nov,39
2011,Dec,44
2012,Jan,66
2012,Feb,48
2012,Mar,62
2012,Apr,58
2012,May,54
2012,Jun,51
2012,Jul,53
2012,Aug,52
2012,Sep,52
2012,Oct,58
2012,Nov,45
2012,Dec,45
2013,Jan,65
2013,Feb,63
2013,Mar,45
2013,Apr,51
2013,May,56
2013,Jun,53
2013,Jul,54
2013,Aug,65
2013,Sep,50
2013,Oct,61
2013,Nov,60
2013,Dec,45
2014,Jan,75
2014,Feb,56
2014,Mar,56
2014,Apr,61
2014,May,60
2014,Jun,69
2014,Jul,72
2014,Aug,57
2014,Sep,64
2014,Oct,71
2014,Nov,66
2014,Dec,46
2015,Jan,55
2015,Feb,60
2015,Mar,49
2015,Apr,52
2015,May,57
2015,Jun,58
2015,Jul,64
2015,Aug,56
2015,Sep,46
2015,Oct,44
2015,Nov,43
2015,Dec,44
2016,Jan,33
2016,Feb,45
2016,Mar,49
2016,Apr,42
2016,May,40
2016,Jun,45
2016,Jul,41
2016,Aug,40
2016,Sep,38
2016,Oct,43
2016,Nov,32
2016,Dec,27
2017,Jan,37
2017,Feb,44
2017,Mar,41
2017,Apr,41
2017,May,40
2017,Jun,36
2017,Jul,35
2017,Aug,41
2017,Sep,44
2017,Oct,42
2017,Nov,45
2017,Dec,30
2018,Jan,42
2018,Feb,40
2018,Mar,38
2018,Apr,32
2018,May,41
2018,Jun,39
2018,Jul,32
2018,Aug,38
2018,Sep,100
2018,Oct,46
2018,Nov,44
2018,Dec,32
2019,Jan,40
2019,Feb,42
2019,Mar,37
2019,Apr,39
2019,May,39
2019,Jun,43
2019,Jul,38
2019,Aug,45
2019,Sep,41
2019,Oct,40
2019,Nov,41
2019,Dec,34
2020,Jan,44
2020,Feb,51
2020,Mar,39
2020,Apr,34
2020,May,31
2020,Jun,32
2020,Jul,29
2020,Aug,29
2020,Sep,24
2020,Oct,29
2020,Nov,23
2020,Dec,25
2021,Jan,33
2021,Feb,27
2021,Mar,29
2021,Apr,31
2021,May,25
2021,Jun,25
2021,Jul,23
2021,Aug,25
2021,Sep,29
2021,Oct,23
2021,Nov,24
2021,Dec,23
2022,Jan,31
2022,Feb,42
2022,Mar,36
