CNAME:,NASDAQ INC
Google Trends Search Term:,nasdaq
Google Trends Suggestion:,financial services company
Google Trends URL:,/m/025r_3y
Year,Month,SVI Data
2004,Jan,53
2004,Feb,50
2004,Mar,50
2004,Apr,50
2004,May,39
2004,Jun,39
2004,Jul,36
2004,Aug,38
2004,Sep,35
2004,Oct,41
2004,Nov,42
2004,Dec,44
2005,Jan,41
2005,Feb,44
2005,Mar,53
2005,Apr,45
2005,May,33
2005,Jun,37
2005,Jul,36
2005,Aug,36
2005,Sep,32
2005,Oct,35
2005,Nov,34
2005,Dec,35
2006,Jan,42
2006,Feb,42
2006,Mar,51
2006,Apr,42
2006,May,38
2006,Jun,32
2006,Jul,30
2006,Aug,28
2006,Sep,33
2006,Oct,36
2006,Nov,34
2006,Dec,31
2007,Jan,33
2007,Feb,35
2007,Mar,36
2007,Apr,32
2007,May,33
2007,Jun,29
2007,Jul,33
2007,Aug,35
2007,Sep,30
2007,Oct,37
2007,Nov,37
2007,Dec,31
2008,Jan,37
2008,Feb,31
2008,Mar,31
2008,Apr,29
2008,May,27
2008,Jun,26
2008,Jul,29
2008,Aug,23
2008,Sep,39
2008,Oct,55
2008,Nov,34
2008,Dec,29
2009,Jan,26
2009,Feb,27
2009,Mar,31
2009,Apr,30
2009,May,27
2009,Jun,24
2009,Jul,23
2009,Aug,23
2009,Sep,23
2009,Oct,23
2009,Nov,22
2009,Dec,21
2010,Jan,22
2010,Feb,21
2010,Mar,21
2010,Apr,24
2010,May,23
2010,Jun,21
2010,Jul,18
2010,Aug,18
2010,Sep,19
2010,Oct,21
2010,Nov,21
2010,Dec,19
2011,Jan,24
2011,Feb,26
2011,Mar,24
2011,Apr,25
2011,May,21
2011,Jun,19
2011,Jul,20
2011,Aug,29
2011,Sep,19
2011,Oct,21
2011,Nov,20
2011,Dec,17
2012,Jan,18
2012,Feb,23
2012,Mar,21
2012,Apr,20
2012,May,31
2012,Jun,21
2012,Jul,18
2012,Aug,17
2012,Sep,18
2012,Oct,19
2012,Nov,18
2012,Dec,16
2013,Jan,19
2013,Feb,20
2013,Mar,18
2013,Apr,19
2013,May,19
2013,Jun,18
2013,Jul,19
2013,Aug,24
2013,Sep,19
2013,Oct,22
2013,Nov,20
2013,Dec,19
2014,Jan,22
2014,Feb,21
2014,Mar,22
2014,Apr,24
2014,May,20
2014,Jun,19
2014,Jul,21
2014,Aug,19
2014,Sep,21
2014,Oct,24
2014,Nov,21
2014,Dec,21
2015,Jan,21
2015,Feb,24
2015,Mar,24
2015,Apr,24
2015,May,21
2015,Jun,21
2015,Jul,24
2015,Aug,29
2015,Sep,23
2015,Oct,22
2015,Nov,19
2015,Dec,18
2016,Jan,20
2016,Feb,21
2016,Mar,19
2016,Apr,18
2016,May,17
2016,Jun,20
2016,Jul,17
2016,Aug,17
2016,Sep,17
2016,Oct,17
2016,Nov,27
2016,Dec,18
2017,Jan,21
2017,Feb,22
2017,Mar,26
2017,Apr,21
2017,May,25
2017,Jun,27
2017,Jul,24
2017,Aug,28
2017,Sep,21
2017,Oct,27
2017,Nov,28
2017,Dec,28
2018,Jan,35
2018,Feb,43
2018,Mar,38
2018,Apr,37
2018,May,31
2018,Jun,32
2018,Jul,34
2018,Aug,34
2018,Sep,30
2018,Oct,44
2018,Nov,33
2018,Dec,35
2019,Jan,32
2019,Feb,29
2019,Mar,28
2019,Apr,30
2019,May,34
2019,Jun,30
2019,Jul,29
2019,Aug,36
2019,Sep,29
2019,Oct,28
2019,Nov,26
2019,Dec,26
2020,Jan,35
2020,Feb,46
2020,Mar,75
2020,Apr,48
2020,May,41
2020,Jun,57
2020,Jul,56
2020,Aug,53
2020,Sep,64
2020,Oct,51
2020,Nov,56
2020,Dec,54
2021,Jan,63
2021,Feb,75
2021,Mar,100
2021,Apr,76
2021,May,72
2021,Jun,66
2021,Jul,62
2021,Aug,58
2021,Sep,57
2021,Oct,55
2021,Nov,54
2021,Dec,53
2022,Jan,66
2022,Feb,68
2022,Mar,58
