CNAME:,EL POLLO LOCO HOLDINGS, INC
Google Trends Search Term:,el pollo loco
Google Trends Suggestion:,restaurant company
Google Trends URL:,/m/01srjt
Year,Month,SVI Data
2004,Jan,14
2004,Feb,15
2004,Mar,15
2004,Apr,17
2004,May,18
2004,Jun,19
2004,Jul,25
2004,Aug,21
2004,Sep,18
2004,Oct,15
2004,Nov,14
2004,Dec,14
2005,Jan,18
2005,Feb,16
2005,Mar,16
2005,Apr,15
2005,May,21
2005,Jun,20
2005,Jul,23
2005,Aug,24
2005,Sep,22
2005,Oct,23
2005,Nov,24
2005,Dec,18
2006,Jan,20
2006,Feb,22
2006,Mar,24
2006,Apr,24
2006,May,27
2006,Jun,26
2006,Jul,25
2006,Aug,25
2006,Sep,25
2006,Oct,26
2006,Nov,22
2006,Dec,19
2007,Jan,30
2007,Feb,24
2007,Mar,27
2007,Apr,28
2007,May,29
2007,Jun,30
2007,Jul,28
2007,Aug,31
2007,Sep,30
2007,Oct,28
2007,Nov,27
2007,Dec,25
2008,Jan,30
2008,Feb,25
2008,Mar,35
2008,Apr,33
2008,May,36
2008,Jun,38
2008,Jul,37
2008,Aug,36
2008,Sep,31
2008,Oct,31
2008,Nov,27
2008,Dec,30
2009,Jan,29
2009,Feb,32
2009,Mar,35
2009,Apr,56
2009,May,42
2009,Jun,40
2009,Jul,36
2009,Aug,32
2009,Sep,34
2009,Oct,31
2009,Nov,32
2009,Dec,26
2010,Jan,30
2010,Feb,29
2010,Mar,29
2010,Apr,30
2010,May,34
2010,Jun,29
2010,Jul,31
2010,Aug,32
2010,Sep,35
2010,Oct,32
2010,Nov,28
2010,Dec,29
2011,Jan,33
2011,Feb,34
2011,Mar,39
2011,Apr,37
2011,May,42
2011,Jun,43
2011,Jul,44
2011,Aug,43
2011,Sep,39
2011,Oct,41
2011,Nov,38
2011,Dec,36
2012,Jan,39
2012,Feb,36
2012,Mar,40
2012,Apr,43
2012,May,45
2012,Jun,43
2012,Jul,46
2012,Aug,50
2012,Sep,43
2012,Oct,41
2012,Nov,40
2012,Dec,37
2013,Jan,43
2013,Feb,43
2013,Mar,46
2013,Apr,46
2013,May,47
2013,Jun,49
2013,Jul,50
2013,Aug,50
2013,Sep,46
2013,Oct,47
2013,Nov,40
2013,Dec,45
2014,Jan,51
2014,Feb,46
2014,Mar,50
2014,Apr,50
2014,May,56
2014,Jun,56
2014,Jul,72
2014,Aug,59
2014,Sep,54
2014,Oct,51
2014,Nov,48
2014,Dec,49
2015,Jan,52
2015,Feb,52
2015,Mar,53
2015,Apr,52
2015,May,54
2015,Jun,58
2015,Jul,62
2015,Aug,60
2015,Sep,53
2015,Oct,52
2015,Nov,49
2015,Dec,51
2016,Jan,54
2016,Feb,55
2016,Mar,58
2016,Apr,57
2016,May,59
2016,Jun,63
2016,Jul,63
2016,Aug,60
2016,Sep,59
2016,Oct,56
2016,Nov,53
2016,Dec,56
2017,Jan,62
2017,Feb,60
2017,Mar,64
2017,Apr,69
2017,May,78
2017,Jun,81
2017,Jul,81
2017,Aug,77
2017,Sep,64
2017,Oct,64
2017,Nov,55
2017,Dec,60
2018,Jan,70
2018,Feb,66
2018,Mar,76
2018,Apr,77
2018,May,78
2018,Jun,84
2018,Jul,93
2018,Aug,79
2018,Sep,69
2018,Oct,68
2018,Nov,62
2018,Dec,68
2019,Jan,75
2019,Feb,66
2019,Mar,75
2019,Apr,78
2019,May,80
2019,Jun,80
2019,Jul,90
2019,Aug,80
2019,Sep,76
2019,Oct,69
2019,Nov,72
2019,Dec,67
2020,Jan,82
2020,Feb,71
2020,Mar,73
2020,Apr,92
2020,May,100
2020,Jun,96
2020,Jul,96
2020,Aug,89
2020,Sep,80
2020,Oct,81
2020,Nov,68
2020,Dec,77
2021,Jan,90
2021,Feb,74
2021,Mar,94
2021,Apr,92
2021,May,95
2021,Jun,99
2021,Jul,96
2021,Aug,86
2021,Sep,78
2021,Oct,76
2021,Nov,78
2021,Dec,78
2022,Jan,81
2022,Feb,73
2022,Mar,98
