CNAME:,PROCTER & GAMBLE CO
Google Trends Search Term:,procter & gamble
Google Trends Suggestion:,corporation
Google Trends URL:,/m/01qygl
Year,Month,SVI Data
2004,Jan,76
2004,Feb,87
2004,Mar,83
2004,Apr,75
2004,May,75
2004,Jun,74
2004,Jul,77
2004,Aug,71
2004,Sep,100
2004,Oct,87
2004,Nov,77
2004,Dec,65
2005,Jan,92
2005,Feb,92
2005,Mar,78
2005,Apr,82
2005,May,64
2005,Jun,68
2005,Jul,69
2005,Aug,73
2005,Sep,78
2005,Oct,83
2005,Nov,74
2005,Dec,60
2006,Jan,67
2006,Feb,73
2006,Mar,67
2006,Apr,69
2006,May,60
2006,Jun,63
2006,Jul,61
2006,Aug,68
2006,Sep,73
2006,Oct,76
2006,Nov,61
2006,Dec,52
2007,Jan,67
2007,Feb,67
2007,Mar,79
2007,Apr,75
2007,May,63
2007,Jun,60
2007,Jul,63
2007,Aug,66
2007,Sep,65
2007,Oct,75
2007,Nov,67
2007,Dec,51
2008,Jan,72
2008,Feb,68
2008,Mar,62
2008,Apr,72
2008,May,57
2008,Jun,58
2008,Jul,65
2008,Aug,57
2008,Sep,66
2008,Oct,88
2008,Nov,67
2008,Dec,59
2009,Jan,72
2009,Feb,71
2009,Mar,71
2009,Apr,64
2009,May,62
2009,Jun,61
2009,Jul,57
2009,Aug,63
2009,Sep,67
2009,Oct,70
2009,Nov,60
2009,Dec,48
2010,Jan,64
2010,Feb,73
2010,Mar,70
2010,Apr,71
2010,May,81
2010,Jun,62
2010,Jul,54
2010,Aug,60
2010,Sep,62
2010,Oct,65
2010,Nov,62
2010,Dec,54
2011,Jan,65
2011,Feb,64
2011,Mar,64
2011,Apr,76
2011,May,77
2011,Jun,74
2011,Jul,64
2011,Aug,64
2011,Sep,67
2011,Oct,68
2011,Nov,60
2011,Dec,45
2012,Jan,57
2012,Feb,55
2012,Mar,52
2012,Apr,55
2012,May,67
2012,Jun,55
2012,Jul,57
2012,Aug,57
2012,Sep,53
2012,Oct,54
2012,Nov,50
2012,Dec,39
2013,Jan,49
2013,Feb,47
2013,Mar,46
2013,Apr,52
2013,May,46
2013,Jun,42
2013,Jul,45
2013,Aug,47
2013,Sep,46
2013,Oct,49
2013,Nov,43
2013,Dec,38
2014,Jan,49
2014,Feb,51
2014,Mar,46
2014,Apr,47
2014,May,39
2014,Jun,44
2014,Jul,49
2014,Aug,52
2014,Sep,49
2014,Oct,46
2014,Nov,44
2014,Dec,37
2015,Jan,42
2015,Feb,41
2015,Mar,40
2015,Apr,40
2015,May,34
2015,Jun,40
2015,Jul,43
2015,Aug,46
2015,Sep,45
2015,Oct,41
2015,Nov,37
2015,Dec,32
2016,Jan,37
2016,Feb,37
2016,Mar,35
2016,Apr,37
2016,May,34
2016,Jun,41
2016,Jul,40
2016,Aug,38
2016,Sep,42
2016,Oct,36
2016,Nov,35
2016,Dec,30
2017,Jan,36
2017,Feb,40
2017,Mar,37
2017,Apr,38
2017,May,36
2017,Jun,34
2017,Jul,39
2017,Aug,51
2017,Sep,41
2017,Oct,42
2017,Nov,37
2017,Dec,29
2018,Jan,36
2018,Feb,40
2018,Mar,31
2018,Apr,37
2018,May,31
2018,Jun,31
2018,Jul,36
2018,Aug,34
2018,Sep,38
2018,Oct,38
2018,Nov,34
2018,Dec,30
2019,Jan,49
2019,Feb,40
2019,Mar,35
2019,Apr,36
2019,May,33
2019,Jun,33
2019,Jul,37
2019,Aug,37
2019,Sep,46
2019,Oct,38
2019,Nov,33
2019,Dec,30
2020,Jan,33
2020,Feb,41
2020,Mar,76
2020,Apr,46
2020,May,32
2020,Jun,40
2020,Jul,39
2020,Aug,37
2020,Sep,44
2020,Oct,38
2020,Nov,31
2020,Dec,29
2021,Jan,32
2021,Feb,33
2021,Mar,32
2021,Apr,33
2021,May,30
2021,Jun,31
2021,Jul,32
2021,Aug,32
2021,Sep,38
2021,Oct,33
2021,Nov,32
2021,Dec,36
2022,Jan,34
2022,Feb,34
2022,Mar,34
