CNAME:,SYBASE INC
Google Trends Search Term:,sybase
Google Trends Suggestion:,software company
Google Trends URL:,/m/01c6q7
Year,Month,SVI Data
2004,Jan,71
2004,Feb,87
2004,Mar,91
2004,Apr,85
2004,May,98
2004,Jun,93
2004,Jul,94
2004,Aug,100
2004,Sep,98
2004,Oct,80
2004,Nov,69
2004,Dec,74
2005,Jan,72
2005,Feb,74
2005,Mar,68
2005,Apr,72
2005,May,73
2005,Jun,89
2005,Jul,76
2005,Aug,77
2005,Sep,76
2005,Oct,69
2005,Nov,60
2005,Dec,53
2006,Jan,55
2006,Feb,65
2006,Mar,67
2006,Apr,56
2006,May,60
2006,Jun,58
2006,Jul,52
2006,Aug,54
2006,Sep,55
2006,Oct,51
2006,Nov,46
2006,Dec,42
2007,Jan,47
2007,Feb,48
2007,Mar,49
2007,Apr,42
2007,May,47
2007,Jun,46
2007,Jul,49
2007,Aug,51
2007,Sep,44
2007,Oct,46
2007,Nov,45
2007,Dec,37
2008,Jan,38
2008,Feb,43
2008,Mar,41
2008,Apr,40
2008,May,41
2008,Jun,42
2008,Jul,40
2008,Aug,38
2008,Sep,37
2008,Oct,36
2008,Nov,34
2008,Dec,30
2009,Jan,33
2009,Feb,35
2009,Mar,38
2009,Apr,37
2009,May,34
2009,Jun,37
2009,Jul,35
2009,Aug,33
2009,Sep,34
2009,Oct,38
2009,Nov,30
2009,Dec,28
2010,Jan,30
2010,Feb,32
2010,Mar,35
2010,Apr,33
2010,May,49
2010,Jun,39
2010,Jul,34
2010,Aug,33
2010,Sep,33
2010,Oct,32
2010,Nov,30
2010,Dec,23
2011,Jan,20
2011,Feb,21
2011,Mar,24
2011,Apr,23
2011,May,24
2011,Jun,24
2011,Jul,19
2011,Aug,19
2011,Sep,19
2011,Oct,17
2011,Nov,17
2011,Dec,14
2012,Jan,17
2012,Feb,16
2012,Mar,15
2012,Apr,16
2012,May,20
2012,Jun,16
2012,Jul,15
2012,Aug,15
2012,Sep,13
2012,Oct,14
2012,Nov,11
2012,Dec,10
2013,Jan,12
2013,Feb,12
2013,Mar,12
2013,Apr,12
2013,May,12
2013,Jun,10
2013,Jul,12
2013,Aug,11
2013,Sep,10
2013,Oct,12
2013,Nov,10
2013,Dec,8
2014,Jan,10
2014,Feb,10
2014,Mar,10
2014,Apr,11
2014,May,12
2014,Jun,12
2014,Jul,11
2014,Aug,10
2014,Sep,11
2014,Oct,10
2014,Nov,9
2014,Dec,9
2015,Jan,9
2015,Feb,9
2015,Mar,9
2015,Apr,10
2015,May,10
2015,Jun,10
2015,Jul,10
2015,Aug,10
2015,Sep,9
2015,Oct,9
2015,Nov,9
2015,Dec,7
2016,Jan,7
2016,Feb,8
2016,Mar,8
2016,Apr,8
2016,May,8
2016,Jun,9
2016,Jul,7
2016,Aug,8
2016,Sep,7
2016,Oct,6
2016,Nov,6
2016,Dec,5
2017,Jan,6
2017,Feb,6
2017,Mar,6
2017,Apr,6
2017,May,7
2017,Jun,6
2017,Jul,6
2017,Aug,7
2017,Sep,6
2017,Oct,6
2017,Nov,6
2017,Dec,5
2018,Jan,5
2018,Feb,6
2018,Mar,6
2018,Apr,6
2018,May,6
2018,Jun,6
2018,Jul,5
2018,Aug,5
2018,Sep,4
2018,Oct,5
2018,Nov,5
2018,Dec,4
2019,Jan,4
2019,Feb,5
2019,Mar,5
2019,Apr,4
2019,May,4
2019,Jun,4
2019,Jul,4
2019,Aug,4
2019,Sep,4
2019,Oct,4
2019,Nov,4
2019,Dec,3
2020,Jan,4
2020,Feb,4
2020,Mar,4
2020,Apr,3
2020,May,4
2020,Jun,4
2020,Jul,4
2020,Aug,3
2020,Sep,4
2020,Oct,4
2020,Nov,3
2020,Dec,3
2021,Jan,3
2021,Feb,3
2021,Mar,3
2021,Apr,3
2021,May,3
2021,Jun,3
2021,Jul,2
2021,Aug,2
2021,Sep,3
2021,Oct,3
2021,Nov,2
2021,Dec,2
2022,Jan,2
2022,Feb,3
2022,Mar,2
