CNAME:,ORACLE CORP NEW
Google Trends Search Term:,oracle corporation
Google Trends Suggestion:,computer software company
Google Trends URL:,/m/05njw
Year,Month,SVI Data
2004,Jan,86
2004,Feb,89
2004,Mar,95
2004,Apr,90
2004,May,86
2004,Jun,94
2004,Jul,92
2004,Aug,100
2004,Sep,91
2004,Oct,84
2004,Nov,79
2004,Dec,80
2005,Jan,83
2005,Feb,86
2005,Mar,90
2005,Apr,80
2005,May,85
2005,Jun,95
2005,Jul,85
2005,Aug,95
2005,Sep,87
2005,Oct,84
2005,Nov,77
2005,Dec,68
2006,Jan,81
2006,Feb,92
2006,Mar,92
2006,Apr,85
2006,May,87
2006,Jun,90
2006,Jul,77
2006,Aug,88
2006,Sep,79
2006,Oct,87
2006,Nov,76
2006,Dec,62
2007,Jan,76
2007,Feb,77
2007,Mar,83
2007,Apr,77
2007,May,81
2007,Jun,80
2007,Jul,81
2007,Aug,83
2007,Sep,75
2007,Oct,84
2007,Nov,76
2007,Dec,62
2008,Jan,72
2008,Feb,77
2008,Mar,76
2008,Apr,79
2008,May,75
2008,Jun,77
2008,Jul,75
2008,Aug,72
2008,Sep,75
2008,Oct,76
2008,Nov,64
2008,Dec,63
2009,Jan,67
2009,Feb,72
2009,Mar,75
2009,Apr,79
2009,May,68
2009,Jun,75
2009,Jul,71
2009,Aug,71
2009,Sep,71
2009,Oct,76
2009,Nov,67
2009,Dec,62
2010,Jan,71
2010,Feb,72
2010,Mar,75
2010,Apr,70
2010,May,70
2010,Jun,75
2010,Jul,63
2010,Aug,65
2010,Sep,69
2010,Oct,65
2010,Nov,62
2010,Dec,55
2011,Jan,49
2011,Feb,55
2011,Mar,59
2011,Apr,55
2011,May,53
2011,Jun,57
2011,Jul,51
2011,Aug,55
2011,Sep,53
2011,Oct,51
2011,Nov,46
2011,Dec,39
2012,Jan,44
2012,Feb,46
2012,Mar,48
2012,Apr,47
2012,May,49
2012,Jun,49
2012,Jul,47
2012,Aug,47
2012,Sep,46
2012,Oct,48
2012,Nov,41
2012,Dec,34
2013,Jan,44
2013,Feb,46
2013,Mar,43
2013,Apr,45
2013,May,43
2013,Jun,42
2013,Jul,43
2013,Aug,43
2013,Sep,46
2013,Oct,46
2013,Nov,40
2013,Dec,33
2014,Jan,40
2014,Feb,41
2014,Mar,41
2014,Apr,44
2014,May,42
2014,Jun,43
2014,Jul,43
2014,Aug,41
2014,Sep,47
2014,Oct,43
2014,Nov,38
2014,Dec,36
2015,Jan,38
2015,Feb,41
2015,Mar,43
2015,Apr,43
2015,May,40
2015,Jun,46
2015,Jul,43
2015,Aug,41
2015,Sep,42
2015,Oct,43
2015,Nov,35
2015,Dec,33
2016,Jan,32
2016,Feb,36
2016,Mar,36
2016,Apr,35
2016,May,35
2016,Jun,36
2016,Jul,31
2016,Aug,34
2016,Sep,33
2016,Oct,31
2016,Nov,30
2016,Dec,27
2017,Jan,31
2017,Feb,32
2017,Mar,34
2017,Apr,30
2017,May,31
2017,Jun,33
2017,Jul,29
2017,Aug,34
2017,Sep,31
2017,Oct,32
2017,Nov,28
2017,Dec,24
2018,Jan,29
2018,Feb,30
2018,Mar,30
2018,Apr,30
2018,May,29
2018,Jun,29
2018,Jul,27
2018,Aug,29
2018,Sep,27
2018,Oct,30
2018,Nov,26
2018,Dec,21
2019,Jan,28
2019,Feb,28
2019,Mar,28
2019,Apr,28
2019,May,26
2019,Jun,27
2019,Jul,26
2019,Aug,27
2019,Sep,27
2019,Oct,27
2019,Nov,23
2019,Dec,20
2020,Jan,25
2020,Feb,27
2020,Mar,24
2020,Apr,23
2020,May,21
2020,Jun,23
2020,Jul,23
2020,Aug,23
2020,Sep,32
2020,Oct,23
2020,Nov,17
2020,Dec,20
2021,Jan,19
2021,Feb,21
2021,Mar,21
2021,Apr,21
2021,May,19
2021,Jun,20
2021,Jul,19
2021,Aug,19
2021,Sep,20
2021,Oct,20
2021,Nov,18
2021,Dec,19
2022,Jan,19
2022,Feb,21
2022,Mar,23
