CNAME:,UNITED COMMUNITY BANKS INC
Google Trends Search Term:,united community bank inc
Google Trends Suggestion:,bank
Google Trends URL:,/m/03p3dk2
Year,Month,SVI Data
2004,Jan,19
2004,Feb,22
2004,Mar,10
2004,Apr,30
2004,May,19
2004,Jun,28
2004,Jul,34
2004,Aug,34
2004,Sep,23
2004,Oct,23
2004,Nov,29
2004,Dec,13
2005,Jan,32
2005,Feb,31
2005,Mar,27
2005,Apr,22
2005,May,27
2005,Jun,29
2005,Jul,32
2005,Aug,34
2005,Sep,33
2005,Oct,29
2005,Nov,30
2005,Dec,36
2006,Jan,31
2006,Feb,34
2006,Mar,41
2006,Apr,31
2006,May,38
2006,Jun,45
2006,Jul,40
2006,Aug,40
2006,Sep,39
2006,Oct,42
2006,Nov,33
2006,Dec,44
2007,Jan,42
2007,Feb,48
2007,Mar,46
2007,Apr,42
2007,May,40
2007,Jun,48
2007,Jul,42
2007,Aug,51
2007,Sep,40
2007,Oct,38
2007,Nov,41
2007,Dec,44
2008,Jan,36
2008,Feb,43
2008,Mar,44
2008,Apr,50
2008,May,50
2008,Jun,60
2008,Jul,58
2008,Aug,59
2008,Sep,52
2008,Oct,54
2008,Nov,52
2008,Dec,55
2009,Jan,54
2009,Feb,57
2009,Mar,57
2009,Apr,51
2009,May,51
2009,Jun,55
2009,Jul,53
2009,Aug,52
2009,Sep,48
2009,Oct,54
2009,Nov,53
2009,Dec,53
2010,Jan,53
2010,Feb,54
2010,Mar,64
2010,Apr,55
2010,May,62
2010,Jun,59
2010,Jul,67
2010,Aug,55
2010,Sep,57
2010,Oct,61
2010,Nov,56
2010,Dec,59
2011,Jan,71
2011,Feb,78
2011,Mar,74
2011,Apr,75
2011,May,68
2011,Jun,81
2011,Jul,84
2011,Aug,82
2011,Sep,80
2011,Oct,82
2011,Nov,79
2011,Dec,79
2012,Jan,81
2012,Feb,87
2012,Mar,87
2012,Apr,81
2012,May,78
2012,Jun,100
2012,Jul,90
2012,Aug,86
2012,Sep,73
2012,Oct,90
2012,Nov,86
2012,Dec,85
2013,Jan,82
2013,Feb,84
2013,Mar,84
2013,Apr,87
2013,May,86
2013,Jun,85
2013,Jul,85
2013,Aug,82
2013,Sep,73
2013,Oct,74
2013,Nov,66
2013,Dec,72
2014,Jan,70
2014,Feb,70
2014,Mar,60
2014,Apr,69
2014,May,64
2014,Jun,66
2014,Jul,63
2014,Aug,67
2014,Sep,65
2014,Oct,62
2014,Nov,65
2014,Dec,74
2015,Jan,64
2015,Feb,64
2015,Mar,61
2015,Apr,65
2015,May,68
2015,Jun,72
2015,Jul,65
2015,Aug,69
2015,Sep,68
2015,Oct,71
2015,Nov,63
2015,Dec,76
2016,Jan,64
2016,Feb,68
2016,Mar,70
2016,Apr,65
2016,May,71
2016,Jun,73
2016,Jul,79
2016,Aug,77
2016,Sep,69
2016,Oct,70
2016,Nov,69
2016,Dec,87
2017,Jan,68
2017,Feb,69
2017,Mar,62
2017,Apr,66
2017,May,70
2017,Jun,70
2017,Jul,64
2017,Aug,69
2017,Sep,66
2017,Oct,64
2017,Nov,65
2017,Dec,68
2018,Jan,68
2018,Feb,68
2018,Mar,73
2018,Apr,67
2018,May,69
2018,Jun,73
2018,Jul,72
2018,Aug,72
2018,Sep,67
2018,Oct,65
2018,Nov,65
2018,Dec,72
2019,Jan,70
2019,Feb,69
2019,Mar,71
2019,Apr,66
2019,May,66
2019,Jun,69
2019,Jul,68
2019,Aug,76
2019,Sep,68
2019,Oct,71
2019,Nov,65
2019,Dec,71
2020,Jan,73
2020,Feb,76
2020,Mar,70
2020,Apr,100
2020,May,70
2020,Jun,74
2020,Jul,78
2020,Aug,69
2020,Sep,68
2020,Oct,74
2020,Nov,66
2020,Dec,80
2021,Jan,78
2021,Feb,78
2021,Mar,84
2021,Apr,72
2021,May,66
2021,Jun,72
2021,Jul,74
2021,Aug,68
2021,Sep,68
2021,Oct,65
2021,Nov,68
2021,Dec,76
2022,Jan,68
2022,Feb,71
2022,Mar,73
