CNAME:,C&J ENERGY SERVICES INC
Google Trends Search Term:,c&j energy services
Google Trends Suggestion:,company
Google Trends URL:,/g/11fy22n0fg
Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,0
2004,Sep,0
2004,Oct,0
2004,Nov,0
2004,Dec,0
2005,Jan,0
2005,Feb,0
2005,Mar,0
2005,Apr,0
2005,May,0
2005,Jun,0
2005,Jul,0
2005,Aug,0
2005,Sep,0
2005,Oct,0
2005,Nov,0
2005,Dec,0
2006,Jan,0
2006,Feb,0
2006,Mar,0
2006,Apr,0
2006,May,0
2006,Jun,0
2006,Jul,0
2006,Aug,0
2006,Sep,0
2006,Oct,0
2006,Nov,0
2006,Dec,0
2007,Jan,0
2007,Feb,0
2007,Mar,0
2007,Apr,0
2007,May,0
2007,Jun,0
2007,Jul,8
2007,Aug,0
2007,Sep,0
2007,Oct,0
2007,Nov,0
2007,Dec,0
2008,Jan,0
2008,Feb,6
2008,Mar,0
2008,Apr,6
2008,May,6
2008,Jun,6
2008,Jul,0
2008,Aug,0
2008,Sep,6
2008,Oct,0
2008,Nov,0
2008,Dec,6
2009,Jan,0
2009,Feb,6
2009,Mar,5
2009,Apr,0
2009,May,0
2009,Jun,0
2009,Jul,0
2009,Aug,0
2009,Sep,0
2009,Oct,0
2009,Nov,10
2009,Dec,0
2010,Jan,9
2010,Feb,5
2010,Mar,4
2010,Apr,4
2010,May,5
2010,Jun,5
2010,Jul,24
2010,Aug,4
2010,Sep,7
2010,Oct,7
2010,Nov,21
2010,Dec,18
2011,Jan,6
2011,Feb,18
2011,Mar,16
2011,Apr,22
2011,May,22
2011,Jun,28
2011,Jul,91
2011,Aug,33
2011,Sep,23
2011,Oct,24
2011,Nov,66
2011,Dec,28
2012,Jan,33
2012,Feb,76
2012,Mar,36
2012,Apr,50
2012,May,66
2012,Jun,54
2012,Jul,49
2012,Aug,25
2012,Sep,51
2012,Oct,47
2012,Nov,40
2012,Dec,45
2013,Jan,69
2013,Feb,51
2013,Mar,48
2013,Apr,49
2013,May,49
2013,Jun,36
2013,Jul,39
2013,Aug,27
2013,Sep,43
2013,Oct,41
2013,Nov,46
2013,Dec,14
2014,Jan,60
2014,Feb,56
2014,Mar,48
2014,Apr,53
2014,May,35
2014,Jun,77
2014,Jul,93
2014,Aug,47
2014,Sep,41
2014,Oct,50
2014,Nov,52
2014,Dec,45
2015,Jan,49
2015,Feb,50
2015,Mar,44
2015,Apr,53
2015,May,37
2015,Jun,50
2015,Jul,51
2015,Aug,65
2015,Sep,56
2015,Oct,56
2015,Nov,33
2015,Dec,34
2016,Jan,43
2016,Feb,58
2016,Mar,78
2016,Apr,40
2016,May,74
2016,Jun,73
2016,Jul,51
2016,Aug,42
2016,Sep,33
2016,Oct,32
2016,Nov,45
2016,Dec,37
2017,Jan,58
2017,Feb,52
2017,Mar,73
2017,Apr,64
2017,May,70
2017,Jun,66
2017,Jul,86
2017,Aug,81
2017,Sep,85
2017,Oct,100
2017,Nov,70
2017,Dec,48
2018,Jan,74
2018,Feb,55
2018,Mar,56
2018,Apr,62
2018,May,67
2018,Jun,82
2018,Jul,96
2018,Aug,78
2018,Sep,55
2018,Oct,73
2018,Nov,51
2018,Dec,46
2019,Jan,66
2019,Feb,57
2019,Mar,51
2019,Apr,66
2019,May,76
2019,Jun,85
2019,Jul,50
2019,Aug,53
2019,Sep,51
2019,Oct,55
2019,Nov,32
2019,Dec,17
2020,Jan,41
2020,Feb,23
2020,Mar,27
2020,Apr,18
2020,May,12
2020,Jun,15
2020,Jul,12
2020,Aug,15
2020,Sep,14
2020,Oct,11
2020,Nov,9
2020,Dec,11
2021,Jan,14
2021,Feb,8
2021,Mar,11
2021,Apr,8
2021,May,8
2021,Jun,8
2021,Jul,11
2021,Aug,5
2021,Sep,7
2021,Oct,5
2021,Nov,7
2021,Dec,8
2022,Jan,5
2022,Feb,6
2022,Mar,4
