CNAME:,CME GROUP INC
Google Trends Search Term:,cme group
Google Trends Suggestion:,foreign exchange company
Google Trends URL:,/m/03m3r_f
Year,Month,SVI Data
2004,Jan,60
2004,Feb,44
2004,Mar,66
2004,Apr,63
2004,May,52
2004,Jun,76
2004,Jul,73
2004,Aug,58
2004,Sep,47
2004,Oct,60
2004,Nov,67
2004,Dec,66
2005,Jan,57
2005,Feb,65
2005,Mar,61
2005,Apr,52
2005,May,60
2005,Jun,70
2005,Jul,60
2005,Aug,52
2005,Sep,63
2005,Oct,65
2005,Nov,71
2005,Dec,56
2006,Jan,55
2006,Feb,70
2006,Mar,61
2006,Apr,70
2006,May,72
2006,Jun,82
2006,Jul,63
2006,Aug,67
2006,Sep,68
2006,Oct,79
2006,Nov,71
2006,Dec,64
2007,Jan,66
2007,Feb,63
2007,Mar,79
2007,Apr,64
2007,May,64
2007,Jun,66
2007,Jul,76
2007,Aug,79
2007,Sep,72
2007,Oct,78
2007,Nov,70
2007,Dec,64
2008,Jan,89
2008,Feb,86
2008,Mar,77
2008,Apr,81
2008,May,66
2008,Jun,77
2008,Jul,83
2008,Aug,72
2008,Sep,78
2008,Oct,89
2008,Nov,68
2008,Dec,69
2009,Jan,71
2009,Feb,79
2009,Mar,79
2009,Apr,73
2009,May,62
2009,Jun,66
2009,Jul,66
2009,Aug,64
2009,Sep,67
2009,Oct,70
2009,Nov,68
2009,Dec,66
2010,Jan,72
2010,Feb,66
2010,Mar,77
2010,Apr,71
2010,May,75
2010,Jun,76
2010,Jul,65
2010,Aug,70
2010,Sep,63
2010,Oct,70
2010,Nov,73
2010,Dec,65
2011,Jan,74
2011,Feb,85
2011,Mar,80
2011,Apr,79
2011,May,84
2011,Jun,72
2011,Jul,72
2011,Aug,85
2011,Sep,77
2011,Oct,77
2011,Nov,88
2011,Dec,67
2012,Jan,75
2012,Feb,73
2012,Mar,74
2012,Apr,66
2012,May,67
2012,Jun,68
2012,Jul,76
2012,Aug,69
2012,Sep,64
2012,Oct,71
2012,Nov,63
2012,Dec,62
2013,Jan,69
2013,Feb,66
2013,Mar,61
2013,Apr,67
2013,May,61
2013,Jun,59
2013,Jul,61
2013,Aug,57
2013,Sep,55
2013,Oct,54
2013,Nov,49
2013,Dec,51
2014,Jan,57
2014,Feb,59
2014,Mar,55
2014,Apr,55
2014,May,50
2014,Jun,54
2014,Jul,59
2014,Aug,56
2014,Sep,59
2014,Oct,60
2014,Nov,59
2014,Dec,60
2015,Jan,63
2015,Feb,68
2015,Mar,60
2015,Apr,57
2015,May,49
2015,Jun,56
2015,Jul,61
2015,Aug,58
2015,Sep,60
2015,Oct,57
2015,Nov,56
2015,Dec,55
2016,Jan,62
2016,Feb,63
2016,Mar,59
2016,Apr,55
2016,May,56
2016,Jun,67
2016,Jul,56
2016,Aug,53
2016,Sep,52
2016,Oct,56
2016,Nov,59
2016,Dec,52
2017,Jan,52
2017,Feb,54
2017,Mar,55
2017,Apr,52
2017,May,56
2017,Jun,57
2017,Jul,57
2017,Aug,55
2017,Sep,50
2017,Oct,51
2017,Nov,70
2017,Dec,100
2018,Jan,61
2018,Feb,61
2018,Mar,58
2018,Apr,57
2018,May,50
2018,Jun,54
2018,Jul,54
2018,Aug,51
2018,Sep,44
2018,Oct,49
2018,Nov,55
2018,Dec,54
2019,Jan,49
2019,Feb,47
2019,Mar,46
2019,Apr,49
2019,May,60
2019,Jun,62
2019,Jul,56
2019,Aug,57
2019,Sep,59
2019,Oct,57
2019,Nov,50
2019,Dec,47
2020,Jan,57
2020,Feb,54
2020,Mar,86
2020,Apr,78
2020,May,58
2020,Jun,54
2020,Jul,52
2020,Aug,52
2020,Sep,48
2020,Oct,47
2020,Nov,45
2020,Dec,53
2021,Jan,56
2021,Feb,65
2021,Mar,51
2021,Apr,53
2021,May,56
2021,Jun,55
2021,Jul,48
2021,Aug,46
2021,Sep,49
2021,Oct,50
2021,Nov,55
2021,Dec,50
2022,Jan,50
2022,Feb,65
2022,Mar,69
