CNAME:,PIZZA INN INC
Google Trends Search Term:,pizza inn
Google Trends Suggestion:,restaurant company
Google Trends URL:,/m/0cq4h6
Year,Month,SVI Data
2004,Jan,27
2004,Feb,26
2004,Mar,25
2004,Apr,38
2004,May,23
2004,Jun,49
2004,Jul,47
2004,Aug,31
2004,Sep,24
2004,Oct,29
2004,Nov,29
2004,Dec,34
2005,Jan,33
2005,Feb,32
2005,Mar,21
2005,Apr,34
2005,May,30
2005,Jun,27
2005,Jul,41
2005,Aug,38
2005,Sep,48
2005,Oct,26
2005,Nov,38
2005,Dec,32
2006,Jan,34
2006,Feb,36
2006,Mar,30
2006,Apr,35
2006,May,39
2006,Jun,41
2006,Jul,42
2006,Aug,40
2006,Sep,34
2006,Oct,42
2006,Nov,37
2006,Dec,42
2007,Jan,32
2007,Feb,34
2007,Mar,30
2007,Apr,46
2007,May,41
2007,Jun,36
2007,Jul,38
2007,Aug,46
2007,Sep,38
2007,Oct,40
2007,Nov,38
2007,Dec,49
2008,Jan,46
2008,Feb,36
2008,Mar,39
2008,Apr,46
2008,May,37
2008,Jun,47
2008,Jul,47
2008,Aug,54
2008,Sep,41
2008,Oct,45
2008,Nov,43
2008,Dec,48
2009,Jan,46
2009,Feb,37
2009,Mar,40
2009,Apr,44
2009,May,47
2009,Jun,45
2009,Jul,52
2009,Aug,43
2009,Sep,50
2009,Oct,46
2009,Nov,49
2009,Dec,41
2010,Jan,52
2010,Feb,50
2010,Mar,46
2010,Apr,42
2010,May,53
2010,Jun,45
2010,Jul,68
2010,Aug,60
2010,Sep,65
2010,Oct,67
2010,Nov,64
2010,Dec,71
2011,Jan,67
2011,Feb,84
2011,Mar,76
2011,Apr,80
2011,May,82
2011,Jun,87
2011,Jul,88
2011,Aug,86
2011,Sep,82
2011,Oct,80
2011,Nov,76
2011,Dec,78
2012,Jan,80
2012,Feb,89
2012,Mar,79
2012,Apr,78
2012,May,89
2012,Jun,95
2012,Jul,88
2012,Aug,81
2012,Sep,72
2012,Oct,70
2012,Nov,73
2012,Dec,80
2013,Jan,73
2013,Feb,68
2013,Mar,71
2013,Apr,77
2013,May,85
2013,Jun,85
2013,Jul,84
2013,Aug,83
2013,Sep,74
2013,Oct,74
2013,Nov,81
2013,Dec,77
2014,Jan,78
2014,Feb,75
2014,Mar,82
2014,Apr,77
2014,May,86
2014,Jun,91
2014,Jul,93
2014,Aug,86
2014,Sep,78
2014,Oct,72
2014,Nov,79
2014,Dec,79
2015,Jan,85
2015,Feb,95
2015,Mar,87
2015,Apr,76
2015,May,89
2015,Jun,82
2015,Jul,98
2015,Aug,89
2015,Sep,80
2015,Oct,81
2015,Nov,76
2015,Dec,80
2016,Jan,79
2016,Feb,90
2016,Mar,86
2016,Apr,88
2016,May,92
2016,Jun,100
2016,Jul,100
2016,Aug,92
2016,Sep,79
2016,Oct,86
2016,Nov,79
2016,Dec,85
2017,Jan,80
2017,Feb,77
2017,Mar,84
2017,Apr,82
2017,May,89
2017,Jun,91
2017,Jul,96
2017,Aug,89
2017,Sep,87
2017,Oct,77
2017,Nov,79
2017,Dec,83
2018,Jan,78
2018,Feb,85
2018,Mar,88
2018,Apr,86
2018,May,81
2018,Jun,92
2018,Jul,95
2018,Aug,82
2018,Sep,79
2018,Oct,82
2018,Nov,69
2018,Dec,87
2019,Jan,79
2019,Feb,86
2019,Mar,91
2019,Apr,84
2019,May,83
2019,Jun,95
2019,Jul,90
2019,Aug,90
2019,Sep,82
2019,Oct,69
2019,Nov,81
2019,Dec,76
2020,Jan,76
2020,Feb,80
2020,Mar,71
2020,Apr,81
2020,May,95
2020,Jun,83
2020,Jul,84
2020,Aug,75
2020,Sep,69
2020,Oct,75
2020,Nov,63
2020,Dec,77
2021,Jan,81
2021,Feb,82
2021,Mar,76
2021,Apr,85
2021,May,86
2021,Jun,89
2021,Jul,87
2021,Aug,80
2021,Sep,80
2021,Oct,83
2021,Nov,76
2021,Dec,84
2022,Jan,83
2022,Feb,80
2022,Mar,79
