CNAME:,TEXAS ROADHOUSE INC
Google Trends Search Term:,texas roadhouse
Google Trends Suggestion:,restaurant company
Google Trends URL:,/m/0b1cnr
Year,Month,SVI Data
2004,Jan,4
2004,Feb,4
2004,Mar,3
2004,Apr,4
2004,May,4
2004,Jun,4
2004,Jul,5
2004,Aug,5
2004,Sep,4
2004,Oct,5
2004,Nov,6
2004,Dec,6
2005,Jan,6
2005,Feb,6
2005,Mar,6
2005,Apr,6
2005,May,7
2005,Jun,6
2005,Jul,7
2005,Aug,6
2005,Sep,6
2005,Oct,6
2005,Nov,7
2005,Dec,9
2006,Jan,9
2006,Feb,9
2006,Mar,9
2006,Apr,8
2006,May,7
2006,Jun,9
2006,Jul,8
2006,Aug,8
2006,Sep,8
2006,Oct,8
2006,Nov,9
2006,Dec,12
2007,Jan,11
2007,Feb,12
2007,Mar,11
2007,Apr,10
2007,May,10
2007,Jun,10
2007,Jul,10
2007,Aug,10
2007,Sep,10
2007,Oct,10
2007,Nov,10
2007,Dec,13
2008,Jan,12
2008,Feb,13
2008,Mar,12
2008,Apr,11
2008,May,11
2008,Jun,10
2008,Jul,10
2008,Aug,11
2008,Sep,9
2008,Oct,10
2008,Nov,11
2008,Dec,13
2009,Jan,13
2009,Feb,14
2009,Mar,11
2009,Apr,10
2009,May,11
2009,Jun,11
2009,Jul,11
2009,Aug,11
2009,Sep,11
2009,Oct,10
2009,Nov,12
2009,Dec,13
2010,Jan,13
2010,Feb,14
2010,Mar,12
2010,Apr,11
2010,May,13
2010,Jun,12
2010,Jul,13
2010,Aug,13
2010,Sep,12
2010,Oct,13
2010,Nov,14
2010,Dec,16
2011,Jan,19
2011,Feb,26
2011,Mar,20
2011,Apr,20
2011,May,20
2011,Jun,21
2011,Jul,20
2011,Aug,20
2011,Sep,20
2011,Oct,21
2011,Nov,26
2011,Dec,29
2012,Jan,29
2012,Feb,31
2012,Mar,26
2012,Apr,24
2012,May,24
2012,Jun,24
2012,Jul,23
2012,Aug,23
2012,Sep,21
2012,Oct,21
2012,Nov,26
2012,Dec,29
2013,Jan,26
2013,Feb,31
2013,Mar,28
2013,Apr,24
2013,May,26
2013,Jun,27
2013,Jul,24
2013,Aug,25
2013,Sep,23
2013,Oct,23
2013,Nov,29
2013,Dec,31
2014,Jan,29
2014,Feb,34
2014,Mar,31
2014,Apr,27
2014,May,30
2014,Jun,28
2014,Jul,27
2014,Aug,28
2014,Sep,24
2014,Oct,25
2014,Nov,31
2014,Dec,33
2015,Jan,34
2015,Feb,37
2015,Mar,32
2015,Apr,28
2015,May,32
2015,Jun,31
2015,Jul,31
2015,Aug,32
2015,Sep,28
2015,Oct,31
2015,Nov,36
2015,Dec,38
2016,Jan,41
2016,Feb,46
2016,Mar,38
2016,Apr,39
2016,May,41
2016,Jun,39
2016,Jul,38
2016,Aug,34
2016,Sep,32
2016,Oct,35
2016,Nov,37
2016,Dec,42
2017,Jan,42
2017,Feb,45
2017,Mar,43
2017,Apr,40
2017,May,43
2017,Jun,43
2017,Jul,43
2017,Aug,37
2017,Sep,37
2017,Oct,36
2017,Nov,41
2017,Dec,51
2018,Jan,47
2018,Feb,51
2018,Mar,48
2018,Apr,45
2018,May,43
2018,Jun,45
2018,Jul,46
2018,Aug,43
2018,Sep,41
2018,Oct,42
2018,Nov,46
2018,Dec,57
2019,Jan,53
2019,Feb,57
2019,Mar,56
2019,Apr,47
2019,May,52
2019,Jun,53
2019,Jul,49
2019,Aug,48
2019,Sep,44
2019,Oct,44
2019,Nov,55
2019,Dec,58
2020,Jan,57
2020,Feb,64
2020,Mar,58
2020,Apr,88
2020,May,83
2020,Jun,78
2020,Jul,63
2020,Aug,67
2020,Sep,59
2020,Oct,67
2020,Nov,63
2020,Dec,72
2021,Jan,82
2021,Feb,88
2021,Mar,96
2021,Apr,86
2021,May,89
2021,Jun,80
2021,Jul,78
2021,Aug,73
2021,Sep,68
2021,Oct,75
2021,Nov,79
2021,Dec,86
2022,Jan,86
2022,Feb,100
2022,Mar,85
