CNAME:,HARLEY-DAVIDSON INC
Google Trends Search Term:,harley-davidson
Google Trends Suggestion:,company
Google Trends URL:,/m/03ny2
Year,Month,SVI Data
2004,Jan,53
2004,Feb,55
2004,Mar,69
2004,Apr,68
2004,May,72
2004,Jun,74
2004,Jul,76
2004,Aug,71
2004,Sep,63
2004,Oct,53
2004,Nov,52
2004,Dec,56
2005,Jan,50
2005,Feb,53
2005,Mar,57
2005,Apr,65
2005,May,63
2005,Jun,67
2005,Jul,65
2005,Aug,64
2005,Sep,61
2005,Oct,49
2005,Nov,48
2005,Dec,50
2006,Jan,44
2006,Feb,47
2006,Mar,58
2006,Apr,70
2006,May,74
2006,Jun,73
2006,Jul,76
2006,Aug,73
2006,Sep,59
2006,Oct,50
2006,Nov,47
2006,Dec,51
2007,Jan,43
2007,Feb,52
2007,Mar,73
2007,Apr,77
2007,May,82
2007,Jun,82
2007,Jul,86
2007,Aug,75
2007,Sep,70
2007,Oct,58
2007,Nov,54
2007,Dec,58
2008,Jan,52
2008,Feb,59
2008,Mar,74
2008,Apr,80
2008,May,89
2008,Jun,98
2008,Jul,100
2008,Aug,90
2008,Sep,71
2008,Oct,59
2008,Nov,53
2008,Dec,57
2009,Jan,52
2009,Feb,59
2009,Mar,67
2009,Apr,69
2009,May,75
2009,Jun,76
2009,Jul,79
2009,Aug,72
2009,Sep,61
2009,Oct,51
2009,Nov,49
2009,Dec,52
2010,Jan,46
2010,Feb,50
2010,Mar,66
2010,Apr,69
2010,May,67
2010,Jun,67
2010,Jul,68
2010,Aug,66
2010,Sep,60
2010,Oct,51
2010,Nov,43
2010,Dec,45
2011,Jan,46
2011,Feb,56
2011,Mar,65
2011,Apr,72
2011,May,74
2011,Jun,76
2011,Jul,75
2011,Aug,67
2011,Sep,62
2011,Oct,54
2011,Nov,47
2011,Dec,52
2012,Jan,49
2012,Feb,56
2012,Mar,71
2012,Apr,74
2012,May,79
2012,Jun,80
2012,Jul,72
2012,Aug,69
2012,Sep,66
2012,Oct,52
2012,Nov,49
2012,Dec,53
2013,Jan,43
2013,Feb,49
2013,Mar,61
2013,Apr,66
2013,May,71
2013,Jun,71
2013,Jul,70
2013,Aug,76
2013,Sep,63
2013,Oct,51
2013,Nov,47
2013,Dec,48
2014,Jan,43
2014,Feb,48
2014,Mar,61
2014,Apr,67
2014,May,70
2014,Jun,77
2014,Jul,71
2014,Aug,66
2014,Sep,56
2014,Oct,49
2014,Nov,44
2014,Dec,49
2015,Jan,45
2015,Feb,48
2015,Mar,62
2015,Apr,64
2015,May,71
2015,Jun,69
2015,Jul,71
2015,Aug,69
2015,Sep,61
2015,Oct,49
2015,Nov,42
2015,Dec,45
2016,Jan,42
2016,Feb,56
2016,Mar,65
2016,Apr,69
2016,May,71
2016,Jun,73
2016,Jul,71
2016,Aug,69
2016,Sep,81
2016,Oct,54
2016,Nov,45
2016,Dec,45
2017,Jan,43
2017,Feb,58
2017,Mar,60
2017,Apr,67
2017,May,67
2017,Jun,72
2017,Jul,74
2017,Aug,71
2017,Sep,57
2017,Oct,50
2017,Nov,44
2017,Dec,45
2018,Jan,44
2018,Feb,54
2018,Mar,58
2018,Apr,65
2018,May,70
2018,Jun,77
2018,Jul,74
2018,Aug,70
2018,Sep,58
2018,Oct,47
2018,Nov,41
2018,Dec,44
2019,Jan,41
2019,Feb,45
2019,Mar,60
2019,Apr,64
2019,May,65
2019,Jun,69
2019,Jul,66
2019,Aug,65
2019,Sep,58
2019,Oct,45
2019,Nov,39
2019,Dec,41
2020,Jan,42
2020,Feb,48
2020,Mar,49
2020,Apr,55
2020,May,65
2020,Jun,68
2020,Jul,62
2020,Aug,59
2020,Sep,51
2020,Oct,50
2020,Nov,41
2020,Dec,43
2021,Jan,41
2021,Feb,46
2021,Mar,64
2021,Apr,69
2021,May,70
2021,Jun,68
2021,Jul,65
2021,Aug,61
2021,Sep,55
2021,Oct,48
2021,Nov,42
2021,Dec,44
2022,Jan,41
2022,Feb,48
2022,Mar,60
