CNAME:,MICHAELS STORES INC
Google Trends Search Term:,michaels
Google Trends Suggestion:,company
Google Trends URL:,/m/0583xl
Year,Month,SVI Data
2004,Jan,14
2004,Feb,14
2004,Mar,14
2004,Apr,14
2004,May,13
2004,Jun,15
2004,Jul,16
2004,Aug,15
2004,Sep,18
2004,Oct,19
2004,Nov,22
2004,Dec,23
2005,Jan,19
2005,Feb,17
2005,Mar,17
2005,Apr,17
2005,May,18
2005,Jun,18
2005,Jul,18
2005,Aug,18
2005,Sep,19
2005,Oct,22
2005,Nov,27
2005,Dec,28
2006,Jan,20
2006,Feb,18
2006,Mar,20
2006,Apr,19
2006,May,20
2006,Jun,20
2006,Jul,21
2006,Aug,22
2006,Sep,23
2006,Oct,24
2006,Nov,27
2006,Dec,29
2007,Jan,22
2007,Feb,21
2007,Mar,20
2007,Apr,21
2007,May,21
2007,Jun,23
2007,Jul,23
2007,Aug,23
2007,Sep,25
2007,Oct,29
2007,Nov,35
2007,Dec,37
2008,Jan,24
2008,Feb,21
2008,Mar,22
2008,Apr,23
2008,May,25
2008,Jun,24
2008,Jul,25
2008,Aug,26
2008,Sep,30
2008,Oct,33
2008,Nov,39
2008,Dec,44
2009,Jan,31
2009,Feb,28
2009,Mar,30
2009,Apr,28
2009,May,29
2009,Jun,28
2009,Jul,29
2009,Aug,28
2009,Sep,31
2009,Oct,32
2009,Nov,38
2009,Dec,42
2010,Jan,30
2010,Feb,28
2010,Mar,28
2010,Apr,28
2010,May,30
2010,Jun,29
2010,Jul,28
2010,Aug,29
2010,Sep,36
2010,Oct,43
2010,Nov,47
2010,Dec,50
2011,Jan,46
2011,Feb,47
2011,Mar,43
2011,Apr,45
2011,May,48
2011,Jun,49
2011,Jul,50
2011,Aug,52
2011,Sep,55
2011,Oct,60
2011,Nov,66
2011,Dec,74
2012,Jan,57
2012,Feb,56
2012,Mar,51
2012,Apr,48
2012,May,48
2012,Jun,50
2012,Jul,51
2012,Aug,50
2012,Sep,52
2012,Oct,54
2012,Nov,64
2012,Dec,70
2013,Jan,50
2013,Feb,49
2013,Mar,48
2013,Apr,46
2013,May,49
2013,Jun,48
2013,Jul,50
2013,Aug,53
2013,Sep,56
2013,Oct,61
2013,Nov,70
2013,Dec,80
2014,Jan,50
2014,Feb,51
2014,Mar,49
2014,Apr,51
2014,May,57
2014,Jun,54
2014,Jul,52
2014,Aug,55
2014,Sep,56
2014,Oct,60
2014,Nov,73
2014,Dec,83
2015,Jan,51
2015,Feb,50
2015,Mar,49
2015,Apr,50
2015,May,53
2015,Jun,53
2015,Jul,54
2015,Aug,55
2015,Sep,55
2015,Oct,61
2015,Nov,71
2015,Dec,84
2016,Jan,56
2016,Feb,55
2016,Mar,56
2016,Apr,56
2016,May,62
2016,Jun,56
2016,Jul,60
2016,Aug,57
2016,Sep,60
2016,Oct,69
2016,Nov,81
2016,Dec,92
2017,Jan,58
2017,Feb,56
2017,Mar,56
2017,Apr,59
2017,May,63
2017,Jun,60
2017,Jul,63
2017,Aug,56
2017,Sep,57
2017,Oct,70
2017,Nov,83
2017,Dec,94
2018,Jan,54
2018,Feb,54
2018,Mar,56
2018,Apr,54
2018,May,56
2018,Jun,55
2018,Jul,58
2018,Aug,57
2018,Sep,63
2018,Oct,67
2018,Nov,91
2018,Dec,99
2019,Jan,56
2019,Feb,55
2019,Mar,56
2019,Apr,57
2019,May,61
2019,Jun,59
2019,Jul,58
2019,Aug,58
2019,Sep,63
2019,Oct,66
2019,Nov,86
2019,Dec,100
2020,Jan,56
2020,Feb,55
2020,Mar,57
2020,Apr,64
2020,May,74
2020,Jun,74
2020,Jul,67
2020,Aug,68
2020,Sep,66
2020,Oct,67
2020,Nov,92
2020,Dec,97
2021,Jan,58
2021,Feb,55
2021,Mar,53
2021,Apr,49
2021,May,51
2021,Jun,47
2021,Jul,50
2021,Aug,50
2021,Sep,53
2021,Oct,58
2021,Nov,76
2021,Dec,73
2022,Jan,48
2022,Feb,46
2022,Mar,42
