CNAME:,SOUTHERN COPPER CORP
Google Trends Search Term:,southern copper corporation
Google Trends Suggestion:,mining company
Google Trends URL:,/m/03p367j
Year,Month,SVI Data
2004,Jan,14
2004,Feb,28
2004,Mar,18
2004,Apr,14
2004,May,0
2004,Jun,25
2004,Jul,13
2004,Aug,12
2004,Sep,11
2004,Oct,46
2004,Nov,24
2004,Dec,11
2005,Jan,37
2005,Feb,39
2005,Mar,41
2005,Apr,57
2005,May,42
2005,Jun,52
2005,Jul,69
2005,Aug,32
2005,Sep,37
2005,Oct,42
2005,Nov,36
2005,Dec,27
2006,Jan,61
2006,Feb,100
2006,Mar,39
2006,Apr,82
2006,May,44
2006,Jun,58
2006,Jul,46
2006,Aug,31
2006,Sep,63
2006,Oct,86
2006,Nov,47
2006,Dec,38
2007,Jan,63
2007,Feb,66
2007,Mar,56
2007,Apr,69
2007,May,48
2007,Jun,83
2007,Jul,63
2007,Aug,71
2007,Sep,64
2007,Oct,48
2007,Nov,38
2007,Dec,43
2008,Jan,26
2008,Feb,36
2008,Mar,38
2008,Apr,32
2008,May,29
2008,Jun,46
2008,Jul,65
2008,Aug,41
2008,Sep,27
2008,Oct,65
2008,Nov,25
2008,Dec,32
2009,Jan,20
2009,Feb,24
2009,Mar,29
2009,Apr,41
2009,May,27
2009,Jun,25
2009,Jul,37
2009,Aug,24
2009,Sep,19
2009,Oct,27
2009,Nov,37
2009,Dec,20
2010,Jan,30
2010,Feb,82
2010,Mar,62
2010,Apr,31
2010,May,50
2010,Jun,20
2010,Jul,38
2010,Aug,20
2010,Sep,33
2010,Oct,54
2010,Nov,29
2010,Dec,44
2011,Jan,33
2011,Feb,29
2011,Mar,14
2011,Apr,24
2011,May,17
2011,Jun,34
2011,Jul,28
2011,Aug,37
2011,Sep,23
2011,Oct,39
2011,Nov,27
2011,Dec,24
2012,Jan,30
2012,Feb,47
2012,Mar,25
2012,Apr,17
2012,May,24
2012,Jun,21
2012,Jul,11
2012,Aug,30
2012,Sep,19
2012,Oct,22
2012,Nov,25
2012,Dec,27
2013,Jan,31
2013,Feb,31
2013,Mar,27
2013,Apr,22
2013,May,23
2013,Jun,12
2013,Jul,19
2013,Aug,16
2013,Sep,19
2013,Oct,20
2013,Nov,17
2013,Dec,13
2014,Jan,20
2014,Feb,18
2014,Mar,16
2014,Apr,16
2014,May,17
2014,Jun,11
2014,Jul,11
2014,Aug,6
2014,Sep,7
2014,Oct,7
2014,Nov,12
2014,Dec,12
2015,Jan,8
2015,Feb,13
2015,Mar,13
2015,Apr,17
2015,May,16
2015,Jun,11
2015,Jul,18
2015,Aug,20
2015,Sep,10
2015,Oct,13
2015,Nov,9
2015,Dec,10
2016,Jan,4
2016,Feb,11
2016,Mar,11
2016,Apr,6
2016,May,8
2016,Jun,13
2016,Jul,7
2016,Aug,7
2016,Sep,10
2016,Oct,8
2016,Nov,11
2016,Dec,9
2017,Jan,9
2017,Feb,9
2017,Mar,2
2017,Apr,13
2017,May,9
2017,Jun,8
2017,Jul,7
2017,Aug,9
2017,Sep,8
2017,Oct,15
2017,Nov,4
2017,Dec,5
2018,Jan,7
2018,Feb,9
2018,Mar,9
2018,Apr,13
2018,May,3
2018,Jun,8
2018,Jul,8
2018,Aug,8
2018,Sep,3
2018,Oct,11
2018,Nov,11
2018,Dec,8
2019,Jan,5
2019,Feb,10
2019,Mar,7
2019,Apr,10
2019,May,6
2019,Jun,7
2019,Jul,10
2019,Aug,12
2019,Sep,8
2019,Oct,14
2019,Nov,8
2019,Dec,4
2020,Jan,6
2020,Feb,6
2020,Mar,8
2020,Apr,8
2020,May,7
2020,Jun,8
2020,Jul,6
2020,Aug,9
2020,Sep,7
2020,Oct,5
2020,Nov,10
2020,Dec,12
2021,Jan,10
2021,Feb,13
2021,Mar,9
2021,Apr,10
2021,May,27
2021,Jun,12
2021,Jul,9
2021,Aug,13
2021,Sep,17
2021,Oct,18
2021,Nov,10
2021,Dec,10
2022,Jan,24
2022,Feb,22
2022,Mar,17
