CNAME:,KIMBERLY CLARK CORP
Google Trends Search Term:,kimberly-clark
Google Trends Suggestion:,manufacturing company
Google Trends URL:,/m/01c5rq
Year,Month,SVI Data
2004,Jan,83
2004,Feb,77
2004,Mar,73
2004,Apr,78
2004,May,76
2004,Jun,76
2004,Jul,95
2004,Aug,97
2004,Sep,76
2004,Oct,73
2004,Nov,79
2004,Dec,66
2005,Jan,71
2005,Feb,89
2005,Mar,94
2005,Apr,62
2005,May,64
2005,Jun,78
2005,Jul,93
2005,Aug,83
2005,Sep,85
2005,Oct,78
2005,Nov,81
2005,Dec,65
2006,Jan,71
2006,Feb,76
2006,Mar,76
2006,Apr,81
2006,May,78
2006,Jun,66
2006,Jul,70
2006,Aug,74
2006,Sep,79
2006,Oct,79
2006,Nov,59
2006,Dec,59
2007,Jan,85
2007,Feb,91
2007,Mar,76
2007,Apr,70
2007,May,75
2007,Jun,68
2007,Jul,74
2007,Aug,76
2007,Sep,60
2007,Oct,83
2007,Nov,65
2007,Dec,50
2008,Jan,83
2008,Feb,100
2008,Mar,75
2008,Apr,77
2008,May,66
2008,Jun,69
2008,Jul,66
2008,Aug,66
2008,Sep,62
2008,Oct,71
2008,Nov,61
2008,Dec,62
2009,Jan,75
2009,Feb,93
2009,Mar,70
2009,Apr,72
2009,May,70
2009,Jun,64
2009,Jul,66
2009,Aug,65
2009,Sep,76
2009,Oct,86
2009,Nov,68
2009,Dec,49
2010,Jan,71
2010,Feb,65
2010,Mar,71
2010,Apr,70
2010,May,71
2010,Jun,67
2010,Jul,57
2010,Aug,61
2010,Sep,67
2010,Oct,70
2010,Nov,60
2010,Dec,56
2011,Jan,62
2011,Feb,65
2011,Mar,63
2011,Apr,64
2011,May,64
2011,Jun,68
2011,Jul,67
2011,Aug,65
2011,Sep,69
2011,Oct,64
2011,Nov,66
2011,Dec,54
2012,Jan,66
2012,Feb,57
2012,Mar,58
2012,Apr,55
2012,May,51
2012,Jun,48
2012,Jul,46
2012,Aug,54
2012,Sep,48
2012,Oct,47
2012,Nov,41
2012,Dec,34
2013,Jan,48
2013,Feb,46
2013,Mar,42
2013,Apr,49
2013,May,47
2013,Jun,42
2013,Jul,47
2013,Aug,44
2013,Sep,48
2013,Oct,51
2013,Nov,42
2013,Dec,38
2014,Jan,49
2014,Feb,45
2014,Mar,42
2014,Apr,47
2014,May,44
2014,Jun,45
2014,Jul,47
2014,Aug,43
2014,Sep,43
2014,Oct,57
2014,Nov,44
2014,Dec,37
2015,Jan,38
2015,Feb,43
2015,Mar,42
2015,Apr,41
2015,May,41
2015,Jun,43
2015,Jul,42
2015,Aug,42
2015,Sep,41
2015,Oct,38
2015,Nov,35
2015,Dec,31
2016,Jan,35
2016,Feb,39
2016,Mar,37
2016,Apr,34
2016,May,39
2016,Jun,37
2016,Jul,37
2016,Aug,40
2016,Sep,35
2016,Oct,32
2016,Nov,30
2016,Dec,27
2017,Jan,35
2017,Feb,34
2017,Mar,35
2017,Apr,36
2017,May,35
2017,Jun,34
2017,Jul,32
2017,Aug,32
2017,Sep,33
2017,Oct,33
2017,Nov,28
2017,Dec,26
2018,Jan,57
2018,Feb,47
2018,Mar,34
2018,Apr,32
2018,May,31
2018,Jun,35
2018,Jul,36
2018,Aug,36
2018,Sep,33
2018,Oct,32
2018,Nov,29
2018,Dec,31
2019,Jan,31
2019,Feb,33
2019,Mar,30
2019,Apr,30
2019,May,29
2019,Jun,30
2019,Jul,29
2019,Aug,31
2019,Sep,29
2019,Oct,30
2019,Nov,26
2019,Dec,24
2020,Jan,33
2020,Feb,44
2020,Mar,88
2020,Apr,68
2020,May,40
2020,Jun,40
2020,Jul,38
2020,Aug,33
2020,Sep,29
2020,Oct,32
2020,Nov,27
2020,Dec,27
2021,Jan,27
2021,Feb,36
2021,Mar,28
2021,Apr,31
2021,May,26
2021,Jun,28
2021,Jul,25
2021,Aug,27
2021,Sep,25
2021,Oct,24
2021,Nov,22
2021,Dec,24
2022,Jan,42
2022,Feb,27
2022,Mar,27
