CNAME:,ELECTRONIC ARTS INC
Google Trends Search Term:,electronic arts
Google Trends Suggestion:,video game company
Google Trends URL:,/m/01n073
Year,Month,SVI Data
2004,Jan,76
2004,Feb,70
2004,Mar,79
2004,Apr,75
2004,May,69
2004,Jun,73
2004,Jul,75
2004,Aug,70
2004,Sep,71
2004,Oct,66
2004,Nov,80
2004,Dec,84
2005,Jan,73
2005,Feb,68
2005,Mar,64
2005,Apr,55
2005,May,56
2005,Jun,74
2005,Jul,86
2005,Aug,70
2005,Sep,63
2005,Oct,66
2005,Nov,74
2005,Dec,73
2006,Jan,63
2006,Feb,73
2006,Mar,77
2006,Apr,65
2006,May,57
2006,Jun,67
2006,Jul,68
2006,Aug,62
2006,Sep,61
2006,Oct,73
2006,Nov,76
2006,Dec,64
2007,Jan,57
2007,Feb,58
2007,Mar,60
2007,Apr,55
2007,May,51
2007,Jun,56
2007,Jul,66
2007,Aug,70
2007,Sep,80
2007,Oct,68
2007,Nov,70
2007,Dec,69
2008,Jan,64
2008,Feb,62
2008,Mar,60
2008,Apr,56
2008,May,58
2008,Jun,71
2008,Jul,74
2008,Aug,73
2008,Sep,83
2008,Oct,68
2008,Nov,70
2008,Dec,68
2009,Jan,63
2009,Feb,60
2009,Mar,63
2009,Apr,60
2009,May,63
2009,Jun,71
2009,Jul,69
2009,Aug,64
2009,Sep,63
2009,Oct,60
2009,Nov,68
2009,Dec,60
2010,Jan,65
2010,Feb,62
2010,Mar,77
2010,Apr,62
2010,May,64
2010,Jun,71
2010,Jul,62
2010,Aug,60
2010,Sep,55
2010,Oct,64
2010,Nov,62
2010,Dec,63
2011,Jan,52
2011,Feb,51
2011,Mar,51
2011,Apr,49
2011,May,45
2011,Jun,53
2011,Jul,65
2011,Aug,64
2011,Sep,78
2011,Oct,97
2011,Nov,72
2011,Dec,74
2012,Jan,60
2012,Feb,52
2012,Mar,57
2012,Apr,53
2012,May,45
2012,Jun,48
2012,Jul,50
2012,Aug,47
2012,Sep,55
2012,Oct,49
2012,Nov,42
2012,Dec,49
2013,Jan,48
2013,Feb,49
2013,Mar,69
2013,Apr,54
2013,May,49
2013,Jun,52
2013,Jul,47
2013,Aug,48
2013,Sep,45
2013,Oct,45
2013,Nov,55
2013,Dec,56
2014,Jan,53
2014,Feb,49
2014,Mar,48
2014,Apr,39
2014,May,41
2014,Jun,55
2014,Jul,45
2014,Aug,52
2014,Sep,51
2014,Oct,45
2014,Nov,51
2014,Dec,57
2015,Jan,52
2015,Feb,44
2015,Mar,45
2015,Apr,41
2015,May,34
2015,Jun,48
2015,Jul,39
2015,Aug,42
2015,Sep,43
2015,Oct,47
2015,Nov,53
2015,Dec,57
2016,Jan,49
2016,Feb,43
2016,Mar,38
2016,Apr,34
2016,May,40
2016,Jun,50
2016,Jul,34
2016,Aug,52
2016,Sep,51
2016,Oct,60
2016,Nov,48
2016,Dec,53
2017,Jan,46
2017,Feb,40
2017,Mar,46
2017,Apr,38
2017,May,37
2017,Jun,51
2017,Jul,36
2017,Aug,51
2017,Sep,47
2017,Oct,44
2017,Nov,100
2017,Dec,63
2018,Jan,46
2018,Feb,44
2018,Mar,38
2018,Apr,31
2018,May,34
2018,Jun,54
2018,Jul,35
2018,Aug,49
2018,Sep,44
2018,Oct,36
2018,Nov,45
2018,Dec,47
2019,Jan,55
2019,Feb,90
2019,Mar,53
2019,Apr,42
2019,May,53
2019,Jun,47
2019,Jul,51
2019,Aug,46
2019,Sep,46
2019,Oct,54
2019,Nov,51
2019,Dec,51
2020,Jan,40
2020,Feb,48
2020,Mar,46
2020,Apr,56
2020,May,47
2020,Jun,53
2020,Jul,43
2020,Aug,58
2020,Sep,50
2020,Oct,59
2020,Nov,61
2020,Dec,49
2021,Jan,51
2021,Feb,55
2021,Mar,48
2021,Apr,42
2021,May,44
2021,Jun,49
2021,Jul,48
2021,Aug,55
2021,Sep,47
2021,Oct,49
2021,Nov,56
2021,Dec,46
2022,Jan,51
2022,Feb,47
2022,Mar,40
