CNAME:,HERBALIFE NUTRITION LTD
Google Trends Search Term:,herbalife nutrition
Google Trends Suggestion:,corporation
Google Trends URL:,/m/038f_t
Year,Month,SVI Data
2004,Jan,19
2004,Feb,18
2004,Mar,21
2004,Apr,19
2004,May,17
2004,Jun,19
2004,Jul,17
2004,Aug,17
2004,Sep,17
2004,Oct,18
2004,Nov,16
2004,Dec,14
2005,Jan,15
2005,Feb,16
2005,Mar,18
2005,Apr,22
2005,May,19
2005,Jun,20
2005,Jul,16
2005,Aug,17
2005,Sep,16
2005,Oct,16
2005,Nov,14
2005,Dec,13
2006,Jan,18
2006,Feb,16
2006,Mar,19
2006,Apr,17
2006,May,15
2006,Jun,19
2006,Jul,21
2006,Aug,19
2006,Sep,18
2006,Oct,16
2006,Nov,14
2006,Dec,12
2007,Jan,17
2007,Feb,18
2007,Mar,19
2007,Apr,17
2007,May,18
2007,Jun,17
2007,Jul,20
2007,Aug,22
2007,Sep,20
2007,Oct,20
2007,Nov,17
2007,Dec,15
2008,Jan,20
2008,Feb,21
2008,Mar,20
2008,Apr,22
2008,May,23
2008,Jun,23
2008,Jul,24
2008,Aug,22
2008,Sep,22
2008,Oct,22
2008,Nov,21
2008,Dec,19
2009,Jan,23
2009,Feb,22
2009,Mar,28
2009,Apr,26
2009,May,23
2009,Jun,27
2009,Jul,26
2009,Aug,28
2009,Sep,26
2009,Oct,25
2009,Nov,22
2009,Dec,19
2010,Jan,26
2010,Feb,25
2010,Mar,28
2010,Apr,28
2010,May,29
2010,Jun,28
2010,Jul,31
2010,Aug,31
2010,Sep,29
2010,Oct,29
2010,Nov,27
2010,Dec,22
2011,Jan,27
2011,Feb,28
2011,Mar,32
2011,Apr,34
2011,May,34
2011,Jun,33
2011,Jul,36
2011,Aug,36
2011,Sep,33
2011,Oct,31
2011,Nov,31
2011,Dec,27
2012,Jan,38
2012,Feb,39
2012,Mar,42
2012,Apr,44
2012,May,46
2012,Jun,43
2012,Jul,43
2012,Aug,42
2012,Sep,42
2012,Oct,40
2012,Nov,37
2012,Dec,39
2013,Jan,72
2013,Feb,58
2013,Mar,65
2013,Apr,74
2013,May,65
2013,Jun,59
2013,Jul,69
2013,Aug,71
2013,Sep,63
2013,Oct,64
2013,Nov,54
2013,Dec,46
2014,Jan,78
2014,Feb,83
2014,Mar,100
2014,Apr,93
2014,May,76
2014,Jun,61
2014,Jul,80
2014,Aug,50
2014,Sep,48
2014,Oct,44
2014,Nov,38
2014,Dec,34
2015,Jan,47
2015,Feb,47
2015,Mar,56
2015,Apr,49
2015,May,46
2015,Jun,44
2015,Jul,47
2015,Aug,44
2015,Sep,40
2015,Oct,38
2015,Nov,35
2015,Dec,30
2016,Jan,51
2016,Feb,59
2016,Mar,70
2016,Apr,69
2016,May,64
2016,Jun,61
2016,Jul,71
2016,Aug,53
2016,Sep,43
2016,Oct,38
2016,Nov,37
2016,Dec,30
2017,Jan,52
2017,Feb,45
2017,Mar,57
2017,Apr,51
2017,May,46
2017,Jun,60
2017,Jul,50
2017,Aug,43
2017,Sep,33
2017,Oct,34
2017,Nov,29
2017,Dec,26
2018,Jan,44
2018,Feb,49
2018,Mar,58
2018,Apr,60
2018,May,53
2018,Jun,51
2018,Jul,53
2018,Aug,54
2018,Sep,39
2018,Oct,39
2018,Nov,31
2018,Dec,28
2019,Jan,47
2019,Feb,44
2019,Mar,54
2019,Apr,52
2019,May,52
2019,Jun,45
2019,Jul,45
2019,Aug,48
2019,Sep,39
2019,Oct,35
2019,Nov,29
2019,Dec,26
2020,Jan,45
2020,Feb,45
2020,Mar,41
2020,Apr,51
2020,May,65
2020,Jun,69
2020,Jul,64
2020,Aug,60
2020,Sep,49
2020,Oct,45
2020,Nov,32
2020,Dec,29
2021,Jan,51
2021,Feb,44
2021,Mar,52
2021,Apr,54
2021,May,54
2021,Jun,47
2021,Jul,43
2021,Aug,40
2021,Sep,34
2021,Oct,32
2021,Nov,29
2021,Dec,27
2022,Jan,33
2022,Feb,33
2022,Mar,39
