CNAME:,INTERNATIONAL BUSINESS MACHINE
Google Trends Search Term:,ibm
Google Trends Suggestion:,technology company
Google Trends URL:,/m/03sc8
Year,Month,SVI Data
2004,Jan,98
2004,Feb,100
2004,Mar,96
2004,Apr,93
2004,May,86
2004,Jun,93
2004,Jul,95
2004,Aug,95
2004,Sep,98
2004,Oct,88
2004,Nov,83
2004,Dec,87
2005,Jan,84
2005,Feb,83
2005,Mar,80
2005,Apr,79
2005,May,82
2005,Jun,85
2005,Jul,80
2005,Aug,80
2005,Sep,72
2005,Oct,73
2005,Nov,72
2005,Dec,67
2006,Jan,83
2006,Feb,71
2006,Mar,76
2006,Apr,66
2006,May,65
2006,Jun,67
2006,Jul,63
2006,Aug,73
2006,Sep,70
2006,Oct,69
2006,Nov,62
2006,Dec,54
2007,Jan,64
2007,Feb,62
2007,Mar,62
2007,Apr,57
2007,May,64
2007,Jun,58
2007,Jul,58
2007,Aug,62
2007,Sep,59
2007,Oct,59
2007,Nov,54
2007,Dec,47
2008,Jan,58
2008,Feb,54
2008,Mar,54
2008,Apr,55
2008,May,50
2008,Jun,50
2008,Jul,49
2008,Aug,47
2008,Sep,46
2008,Oct,50
2008,Nov,42
2008,Dec,41
2009,Jan,55
2009,Feb,47
2009,Mar,54
2009,Apr,49
2009,May,40
2009,Jun,44
2009,Jul,41
2009,Aug,39
2009,Sep,41
2009,Oct,43
2009,Nov,39
2009,Dec,35
2010,Jan,39
2010,Feb,38
2010,Mar,40
2010,Apr,38
2010,May,36
2010,Jun,37
2010,Jul,34
2010,Aug,34
2010,Sep,33
2010,Oct,34
2010,Nov,30
2010,Dec,26
2011,Jan,31
2011,Feb,40
2011,Mar,31
2011,Apr,29
2011,May,27
2011,Jun,30
2011,Jul,27
2011,Aug,28
2011,Sep,27
2011,Oct,28
2011,Nov,26
2011,Dec,22
2012,Jan,25
2012,Feb,25
2012,Mar,25
2012,Apr,26
2012,May,24
2012,Jun,23
2012,Jul,22
2012,Aug,23
2012,Sep,22
2012,Oct,24
2012,Nov,20
2012,Dec,18
2013,Jan,23
2013,Feb,22
2013,Mar,22
2013,Apr,24
2013,May,23
2013,Jun,23
2013,Jul,21
2013,Aug,22
2013,Sep,23
2013,Oct,24
2013,Nov,21
2013,Dec,18
2014,Jan,25
2014,Feb,26
2014,Mar,23
2014,Apr,24
2014,May,22
2014,Jun,22
2014,Jul,25
2014,Aug,20
2014,Sep,23
2014,Oct,25
2014,Nov,20
2014,Dec,18
2015,Jan,26
2015,Feb,22
2015,Mar,21
2015,Apr,23
2015,May,20
2015,Jun,22
2015,Jul,22
2015,Aug,21
2015,Sep,22
2015,Oct,24
2015,Nov,20
2015,Dec,17
2016,Jan,20
2016,Feb,23
2016,Mar,21
2016,Apr,20
2016,May,19
2016,Jun,18
2016,Jul,17
2016,Aug,17
2016,Sep,18
2016,Oct,18
2016,Nov,17
2016,Dec,15
2017,Jan,18
2017,Feb,20
2017,Mar,20
2017,Apr,19
2017,May,20
2017,Jun,18
2017,Jul,16
2017,Aug,17
2017,Sep,17
2017,Oct,19
2017,Nov,17
2017,Dec,15
2018,Jan,20
2018,Feb,18
2018,Mar,19
2018,Apr,18
2018,May,16
2018,Jun,16
2018,Jul,16
2018,Aug,16
2018,Sep,15
2018,Oct,20
2018,Nov,16
2018,Dec,14
2019,Jan,17
2019,Feb,17
2019,Mar,15
2019,Apr,16
2019,May,14
2019,Jun,14
2019,Jul,15
2019,Aug,14
2019,Sep,15
2019,Oct,15
2019,Nov,13
2019,Dec,11
2020,Jan,15
2020,Feb,16
2020,Mar,15
2020,Apr,15
2020,May,14
2020,Jun,14
2020,Jul,14
2020,Aug,12
2020,Sep,13
2020,Oct,14
2020,Nov,10
2020,Dec,10
2021,Jan,12
2021,Feb,12
2021,Mar,12
2021,Apr,12
2021,May,12
2021,Jun,11
2021,Jul,12
2021,Aug,10
2021,Sep,11
2021,Oct,12
2021,Nov,12
2021,Dec,10
2022,Jan,11
2022,Feb,11
2022,Mar,11
