CNAME:,NORFOLK SOUTHERN CORP
Google Trends Search Term:,norfolk southern
Google Trends Suggestion:,corporation
Google Trends URL:,/m/03qvx7
Year,Month,SVI Data
2004,Jan,50
2004,Feb,42
2004,Mar,43
2004,Apr,47
2004,May,44
2004,Jun,61
2004,Jul,56
2004,Aug,55
2004,Sep,41
2004,Oct,34
2004,Nov,41
2004,Dec,45
2005,Jan,60
2005,Feb,44
2005,Mar,55
2005,Apr,49
2005,May,38
2005,Jun,41
2005,Jul,41
2005,Aug,53
2005,Sep,43
2005,Oct,55
2005,Nov,43
2005,Dec,43
2006,Jan,46
2006,Feb,44
2006,Mar,48
2006,Apr,45
2006,May,42
2006,Jun,45
2006,Jul,50
2006,Aug,55
2006,Sep,51
2006,Oct,59
2006,Nov,57
2006,Dec,43
2007,Jan,48
2007,Feb,54
2007,Mar,51
2007,Apr,42
2007,May,43
2007,Jun,55
2007,Jul,55
2007,Aug,43
2007,Sep,48
2007,Oct,57
2007,Nov,53
2007,Dec,45
2008,Jan,47
2008,Feb,45
2008,Mar,55
2008,Apr,58
2008,May,52
2008,Jun,53
2008,Jul,65
2008,Aug,59
2008,Sep,61
2008,Oct,70
2008,Nov,70
2008,Dec,60
2009,Jan,62
2009,Feb,58
2009,Mar,47
2009,Apr,49
2009,May,38
2009,Jun,39
2009,Jul,36
2009,Aug,37
2009,Sep,43
2009,Oct,40
2009,Nov,46
2009,Dec,38
2010,Jan,42
2010,Feb,44
2010,Mar,49
2010,Apr,43
2010,May,47
2010,Jun,55
2010,Jul,46
2010,Aug,56
2010,Sep,50
2010,Oct,53
2010,Nov,50
2010,Dec,46
2011,Jan,61
2011,Feb,64
2011,Mar,63
2011,Apr,57
2011,May,59
2011,Jun,63
2011,Jul,65
2011,Aug,64
2011,Sep,61
2011,Oct,56
2011,Nov,65
2011,Dec,61
2012,Jan,79
2012,Feb,62
2012,Mar,61
2012,Apr,60
2012,May,60
2012,Jun,60
2012,Jul,68
2012,Aug,66
2012,Sep,67
2012,Oct,63
2012,Nov,59
2012,Dec,51
2013,Jan,66
2013,Feb,56
2013,Mar,50
2013,Apr,53
2013,May,52
2013,Jun,50
2013,Jul,60
2013,Aug,53
2013,Sep,49
2013,Oct,59
2013,Nov,58
2013,Dec,50
2014,Jan,59
2014,Feb,53
2014,Mar,57
2014,Apr,60
2014,May,64
2014,Jun,69
2014,Jul,69
2014,Aug,68
2014,Sep,70
2014,Oct,69
2014,Nov,70
2014,Dec,71
2015,Jan,79
2015,Feb,72
2015,Mar,68
2015,Apr,72
2015,May,74
2015,Jun,77
2015,Jul,79
2015,Aug,69
2015,Sep,69
2015,Oct,67
2015,Nov,74
2015,Dec,71
2016,Jan,86
2016,Feb,80
2016,Mar,73
2016,Apr,73
2016,May,80
2016,Jun,77
2016,Jul,75
2016,Aug,82
2016,Sep,80
2016,Oct,81
2016,Nov,76
2016,Dec,75
2017,Jan,83
2017,Feb,77
2017,Mar,78
2017,Apr,76
2017,May,77
2017,Jun,84
2017,Jul,81
2017,Aug,86
2017,Sep,84
2017,Oct,81
2017,Nov,80
2017,Dec,83
2018,Jan,100
2018,Feb,90
2018,Mar,85
2018,Apr,85
2018,May,83
2018,Jun,85
2018,Jul,94
2018,Aug,100
2018,Sep,92
2018,Oct,97
2018,Nov,93
2018,Dec,92
2019,Jan,93
2019,Feb,89
2019,Mar,85
2019,Apr,85
2019,May,82
2019,Jun,86
2019,Jul,86
2019,Aug,82
2019,Sep,79
2019,Oct,78
2019,Nov,75
2019,Dec,71
2020,Jan,75
2020,Feb,79
2020,Mar,73
2020,Apr,65
2020,May,60
2020,Jun,64
2020,Jul,62
2020,Aug,62
2020,Sep,59
2020,Oct,66
2020,Nov,63
2020,Dec,65
2021,Jan,64
2021,Feb,66
2021,Mar,64
2021,Apr,61
2021,May,62
2021,Jun,61
2021,Jul,61
2021,Aug,66
2021,Sep,64
2021,Oct,67
2021,Nov,67
2021,Dec,66
2022,Jan,67
2022,Feb,67
2022,Mar,65
