CNAME:,ETHAN ALLEN INTERIORS INC
Google Trends Search Term:,ethan allen
Google Trends Suggestion:,furniture company
Google Trends URL:,/m/0dqvhv
Year,Month,SVI Data
2004,Jan,100
2004,Feb,74
2004,Mar,90
2004,Apr,66
2004,May,74
2004,Jun,90
2004,Jul,84
2004,Aug,76
2004,Sep,74
2004,Oct,76
2004,Nov,70
2004,Dec,60
2005,Jan,85
2005,Feb,73
2005,Mar,65
2005,Apr,69
2005,May,75
2005,Jun,75
2005,Jul,78
2005,Aug,82
2005,Sep,80
2005,Oct,89
2005,Nov,78
2005,Dec,68
2006,Jan,85
2006,Feb,88
2006,Mar,77
2006,Apr,62
2006,May,65
2006,Jun,61
2006,Jul,74
2006,Aug,70
2006,Sep,75
2006,Oct,76
2006,Nov,71
2006,Dec,57
2007,Jan,89
2007,Feb,85
2007,Mar,72
2007,Apr,68
2007,May,61
2007,Jun,67
2007,Jul,77
2007,Aug,71
2007,Sep,71
2007,Oct,69
2007,Nov,61
2007,Dec,55
2008,Jan,79
2008,Feb,72
2008,Mar,70
2008,Apr,57
2008,May,57
2008,Jun,59
2008,Jul,68
2008,Aug,64
2008,Sep,56
2008,Oct,51
2008,Nov,58
2008,Dec,45
2009,Jan,71
2009,Feb,53
2009,Mar,48
2009,Apr,39
2009,May,43
2009,Jun,37
2009,Jul,47
2009,Aug,44
2009,Sep,46
2009,Oct,45
2009,Nov,49
2009,Dec,35
2010,Jan,60
2010,Feb,44
2010,Mar,42
2010,Apr,33
2010,May,37
2010,Jun,35
2010,Jul,36
2010,Aug,37
2010,Sep,38
2010,Oct,39
2010,Nov,41
2010,Dec,34
2011,Jan,63
2011,Feb,51
2011,Mar,47
2011,Apr,45
2011,May,44
2011,Jun,43
2011,Jul,49
2011,Aug,47
2011,Sep,48
2011,Oct,45
2011,Nov,47
2011,Dec,38
2012,Jan,56
2012,Feb,49
2012,Mar,43
2012,Apr,43
2012,May,39
2012,Jun,37
2012,Jul,40
2012,Aug,41
2012,Sep,41
2012,Oct,41
2012,Nov,43
2012,Dec,36
2013,Jan,51
2013,Feb,47
2013,Mar,45
2013,Apr,41
2013,May,41
2013,Jun,37
2013,Jul,39
2013,Aug,40
2013,Sep,36
2013,Oct,36
2013,Nov,38
2013,Dec,35
2014,Jan,45
2014,Feb,38
2014,Mar,37
2014,Apr,30
2014,May,35
2014,Jun,31
2014,Jul,34
2014,Aug,35
2014,Sep,32
2014,Oct,34
2014,Nov,35
2014,Dec,29
2015,Jan,39
2015,Feb,33
2015,Mar,30
2015,Apr,29
2015,May,30
2015,Jun,28
2015,Jul,28
2015,Aug,30
2015,Sep,29
2015,Oct,30
2015,Nov,32
2015,Dec,25
2016,Jan,36
2016,Feb,32
2016,Mar,27
2016,Apr,26
2016,May,29
2016,Jun,29
2016,Jul,28
2016,Aug,28
2016,Sep,28
2016,Oct,28
2016,Nov,28
2016,Dec,22
2017,Jan,29
2017,Feb,28
2017,Mar,28
2017,Apr,25
2017,May,26
2017,Jun,25
2017,Jul,26
2017,Aug,24
2017,Sep,24
2017,Oct,25
2017,Nov,25
2017,Dec,22
2018,Jan,26
2018,Feb,24
2018,Mar,27
2018,Apr,26
2018,May,23
2018,Jun,22
2018,Jul,25
2018,Aug,24
2018,Sep,24
2018,Oct,22
2018,Nov,23
2018,Dec,18
2019,Jan,23
2019,Feb,22
2019,Mar,21
2019,Apr,19
2019,May,21
2019,Jun,19
2019,Jul,23
2019,Aug,21
2019,Sep,21
2019,Oct,20
2019,Nov,21
2019,Dec,16
2020,Jan,21
2020,Feb,20
2020,Mar,14
2020,Apr,14
2020,May,19
2020,Jun,21
2020,Jul,23
2020,Aug,24
2020,Sep,22
2020,Oct,23
2020,Nov,23
2020,Dec,20
2021,Jan,24
2021,Feb,22
2021,Mar,22
2021,Apr,21
2021,May,21
2021,Jun,20
2021,Jul,20
2021,Aug,20
2021,Sep,20
2021,Oct,20
2021,Nov,19
2021,Dec,16
2022,Jan,24
2022,Feb,21
2022,Mar,18
