CNAME:,LEAPFROG ENTERPRISES INC
Google Trends Search Term:,leapfrog
Google Trends Suggestion:,company
Google Trends URL:,/m/02jc2g
Year,Month,SVI Data
2004,Jan,29
2004,Feb,27
2004,Mar,19
2004,Apr,17
2004,May,16
2004,Jun,16
2004,Jul,19
2004,Aug,19
2004,Sep,25
2004,Oct,31
2004,Nov,59
2004,Dec,57
2005,Jan,25
2005,Feb,23
2005,Mar,19
2005,Apr,20
2005,May,15
2005,Jun,16
2005,Jul,16
2005,Aug,17
2005,Sep,20
2005,Oct,27
2005,Nov,52
2005,Dec,52
2006,Jan,20
2006,Feb,18
2006,Mar,15
2006,Apr,13
2006,May,12
2006,Jun,13
2006,Jul,15
2006,Aug,14
2006,Sep,22
2006,Oct,29
2006,Nov,48
2006,Dec,51
2007,Jan,19
2007,Feb,15
2007,Mar,14
2007,Apr,14
2007,May,12
2007,Jun,12
2007,Jul,14
2007,Aug,16
2007,Sep,19
2007,Oct,23
2007,Nov,44
2007,Dec,51
2008,Jan,20
2008,Feb,16
2008,Mar,13
2008,Apr,12
2008,May,11
2008,Jun,14
2008,Jul,15
2008,Aug,16
2008,Sep,18
2008,Oct,24
2008,Nov,42
2008,Dec,54
2009,Jan,17
2009,Feb,14
2009,Mar,14
2009,Apr,12
2009,May,12
2009,Jun,11
2009,Jul,12
2009,Aug,13
2009,Sep,16
2009,Oct,20
2009,Nov,43
2009,Dec,59
2010,Jan,21
2010,Feb,16
2010,Mar,14
2010,Apr,12
2010,May,11
2010,Jun,13
2010,Jul,12
2010,Aug,13
2010,Sep,15
2010,Oct,18
2010,Nov,40
2010,Dec,56
2011,Jan,25
2011,Feb,18
2011,Mar,16
2011,Apr,15
2011,May,12
2011,Jun,13
2011,Jul,14
2011,Aug,16
2011,Sep,19
2011,Oct,24
2011,Nov,66
2011,Dec,100
2012,Jan,29
2012,Feb,19
2012,Mar,15
2012,Apr,15
2012,May,12
2012,Jun,16
2012,Jul,16
2012,Aug,16
2012,Sep,19
2012,Oct,22
2012,Nov,44
2012,Dec,57
2013,Jan,26
2013,Feb,18
2013,Mar,17
2013,Apr,14
2013,May,12
2013,Jun,13
2013,Jul,15
2013,Aug,14
2013,Sep,14
2013,Oct,18
2013,Nov,35
2013,Dec,43
2014,Jan,18
2014,Feb,14
2014,Mar,13
2014,Apr,11
2014,May,9
2014,Jun,10
2014,Jul,11
2014,Aug,11
2014,Sep,12
2014,Oct,12
2014,Nov,24
2014,Dec,34
2015,Jan,14
2015,Feb,11
2015,Mar,11
2015,Apr,9
2015,May,8
2015,Jun,9
2015,Jul,9
2015,Aug,9
2015,Sep,9
2015,Oct,11
2015,Nov,16
2015,Dec,22
2016,Jan,10
2016,Feb,8
2016,Mar,8
2016,Apr,7
2016,May,7
2016,Jun,7
2016,Jul,7
2016,Aug,7
2016,Sep,8
2016,Oct,9
2016,Nov,14
2016,Dec,20
2017,Jan,9
2017,Feb,7
2017,Mar,6
2017,Apr,6
2017,May,6
2017,Jun,6
2017,Jul,6
2017,Aug,6
2017,Sep,6
2017,Oct,8
2017,Nov,15
2017,Dec,20
2018,Jan,8
2018,Feb,6
2018,Mar,6
2018,Apr,6
2018,May,5
2018,Jun,5
2018,Jul,6
2018,Aug,5
2018,Sep,6
2018,Oct,8
2018,Nov,12
2018,Dec,14
2019,Jan,7
2019,Feb,6
2019,Mar,5
2019,Apr,5
2019,May,5
2019,Jun,5
2019,Jul,5
2019,Aug,5
2019,Sep,5
2019,Oct,6
2019,Nov,10
2019,Dec,13
2020,Jan,6
2020,Feb,5
2020,Mar,5
2020,Apr,6
2020,May,6
2020,Jun,5
2020,Jul,5
2020,Aug,5
2020,Sep,6
2020,Oct,6
2020,Nov,8
2020,Dec,11
2021,Jan,5
2021,Feb,5
2021,Mar,4
2021,Apr,4
2021,May,4
2021,Jun,4
2021,Jul,4
2021,Aug,4
2021,Sep,4
2021,Oct,6
2021,Nov,8
2021,Dec,9
2022,Jan,5
2022,Feb,5
2022,Mar,4
