CNAME:,JEFFERIES GROUP LLC
Google Trends Search Term:,jefferies group
Google Trends Suggestion:,investment banking company
Google Trends URL:,/m/089s5h
Year,Month,SVI Data
2004,Jan,75
2004,Feb,53
2004,Mar,54
2004,Apr,63
2004,May,74
2004,Jun,44
2004,Jul,68
2004,Aug,68
2004,Sep,57
2004,Oct,62
2004,Nov,40
2004,Dec,89
2005,Jan,93
2005,Feb,77
2005,Mar,67
2005,Apr,47
2005,May,76
2005,Jun,73
2005,Jul,69
2005,Aug,57
2005,Sep,65
2005,Oct,74
2005,Nov,58
2005,Dec,54
2006,Jan,79
2006,Feb,75
2006,Mar,78
2006,Apr,68
2006,May,64
2006,Jun,73
2006,Jul,55
2006,Aug,70
2006,Sep,61
2006,Oct,59
2006,Nov,61
2006,Dec,58
2007,Jan,77
2007,Feb,65
2007,Mar,58
2007,Apr,58
2007,May,55
2007,Jun,67
2007,Jul,66
2007,Aug,67
2007,Sep,62
2007,Oct,69
2007,Nov,66
2007,Dec,47
2008,Jan,64
2008,Feb,59
2008,Mar,60
2008,Apr,67
2008,May,53
2008,Jun,63
2008,Jul,57
2008,Aug,52
2008,Sep,71
2008,Oct,53
2008,Nov,42
2008,Dec,54
2009,Jan,59
2009,Feb,59
2009,Mar,52
2009,Apr,47
2009,May,37
2009,Jun,63
2009,Jul,59
2009,Aug,50
2009,Sep,65
2009,Oct,62
2009,Nov,50
2009,Dec,48
2010,Jan,59
2010,Feb,62
2010,Mar,60
2010,Apr,62
2010,May,56
2010,Jun,56
2010,Jul,60
2010,Aug,52
2010,Sep,61
2010,Oct,60
2010,Nov,53
2010,Dec,48
2011,Jan,61
2011,Feb,61
2011,Mar,70
2011,Apr,70
2011,May,53
2011,Jun,64
2011,Jul,50
2011,Aug,48
2011,Sep,66
2011,Oct,50
2011,Nov,100
2011,Dec,59
2012,Jan,59
2012,Feb,54
2012,Mar,47
2012,Apr,48
2012,May,50
2012,Jun,44
2012,Jul,42
2012,Aug,49
2012,Sep,45
2012,Oct,43
2012,Nov,56
2012,Dec,40
2013,Jan,56
2013,Feb,47
2013,Mar,39
2013,Apr,44
2013,May,52
2013,Jun,46
2013,Jul,43
2013,Aug,42
2013,Sep,46
2013,Oct,48
2013,Nov,42
2013,Dec,41
2014,Jan,52
2014,Feb,43
2014,Mar,46
2014,Apr,44
2014,May,53
2014,Jun,45
2014,Jul,45
2014,Aug,38
2014,Sep,47
2014,Oct,73
2014,Nov,77
2014,Dec,51
2015,Jan,50
2015,Feb,45
2015,Mar,46
2015,Apr,46
2015,May,42
2015,Jun,50
2015,Jul,45
2015,Aug,43
2015,Sep,51
2015,Oct,51
2015,Nov,49
2015,Dec,39
2016,Jan,37
2016,Feb,41
2016,Mar,44
2016,Apr,38
2016,May,40
2016,Jun,47
2016,Jul,40
2016,Aug,40
2016,Sep,42
2016,Oct,42
2016,Nov,36
2016,Dec,33
2017,Jan,37
2017,Feb,37
2017,Mar,40
2017,Apr,34
2017,May,38
2017,Jun,40
2017,Jul,39
2017,Aug,39
2017,Sep,42
2017,Oct,43
2017,Nov,35
2017,Dec,31
2018,Jan,34
2018,Feb,39
2018,Mar,34
2018,Apr,38
2018,May,45
2018,Jun,43
2018,Jul,43
2018,Aug,43
2018,Sep,40
2018,Oct,43
2018,Nov,34
2018,Dec,34
2019,Jan,42
2019,Feb,45
2019,Mar,40
2019,Apr,39
2019,May,40
2019,Jun,41
2019,Jul,41
2019,Aug,38
2019,Sep,44
2019,Oct,41
2019,Nov,36
2019,Dec,33
2020,Jan,45
2020,Feb,33
2020,Mar,69
2020,Apr,35
2020,May,32
2020,Jun,41
2020,Jul,35
2020,Aug,35
2020,Sep,34
2020,Oct,35
2020,Nov,28
2020,Dec,31
2021,Jan,34
2021,Feb,31
2021,Mar,38
2021,Apr,35
2021,May,32
2021,Jun,39
2021,Jul,34
2021,Aug,34
2021,Sep,37
2021,Oct,36
2021,Nov,38
2021,Dec,33
2022,Jan,35
2022,Feb,30
2022,Mar,34
