CNAME:,CUMMINS INC
Google Trends Search Term:,cummins
Google Trends Suggestion:,corporation
Google Trends URL:,/m/042x1n
Year,Month,SVI Data
2004,Jan,27
2004,Feb,29
2004,Mar,32
2004,Apr,30
2004,May,28
2004,Jun,27
2004,Jul,31
2004,Aug,30
2004,Sep,26
2004,Oct,27
2004,Nov,24
2004,Dec,27
2005,Jan,24
2005,Feb,27
2005,Mar,26
2005,Apr,28
2005,May,30
2005,Jun,28
2005,Jul,28
2005,Aug,31
2005,Sep,28
2005,Oct,28
2005,Nov,23
2005,Dec,26
2006,Jan,27
2006,Feb,28
2006,Mar,28
2006,Apr,26
2006,May,29
2006,Jun,28
2006,Jul,28
2006,Aug,31
2006,Sep,30
2006,Oct,29
2006,Nov,27
2006,Dec,26
2007,Jan,30
2007,Feb,29
2007,Mar,30
2007,Apr,31
2007,May,32
2007,Jun,33
2007,Jul,33
2007,Aug,32
2007,Sep,31
2007,Oct,34
2007,Nov,32
2007,Dec,32
2008,Jan,35
2008,Feb,35
2008,Mar,34
2008,Apr,29
2008,May,31
2008,Jun,30
2008,Jul,28
2008,Aug,31
2008,Sep,31
2008,Oct,31
2008,Nov,29
2008,Dec,29
2009,Jan,31
2009,Feb,31
2009,Mar,31
2009,Apr,30
2009,May,31
2009,Jun,31
2009,Jul,30
2009,Aug,31
2009,Sep,30
2009,Oct,32
2009,Nov,31
2009,Dec,30
2010,Jan,33
2010,Feb,33
2010,Mar,33
2010,Apr,34
2010,May,34
2010,Jun,33
2010,Jul,34
2010,Aug,34
2010,Sep,38
2010,Oct,38
2010,Nov,37
2010,Dec,36
2011,Jan,38
2011,Feb,42
2011,Mar,40
2011,Apr,40
2011,May,38
2011,Jun,39
2011,Jul,41
2011,Aug,41
2011,Sep,43
2011,Oct,41
2011,Nov,41
2011,Dec,43
2012,Jan,48
2012,Feb,49
2012,Mar,43
2012,Apr,45
2012,May,44
2012,Jun,45
2012,Jul,45
2012,Aug,48
2012,Sep,52
2012,Oct,54
2012,Nov,51
2012,Dec,50
2013,Jan,55
2013,Feb,59
2013,Mar,54
2013,Apr,54
2013,May,54
2013,Jun,51
2013,Jul,58
2013,Aug,63
2013,Sep,58
2013,Oct,60
2013,Nov,59
2013,Dec,60
2014,Jan,66
2014,Feb,66
2014,Mar,66
2014,Apr,64
2014,May,63
2014,Jun,61
2014,Jul,64
2014,Aug,67
2014,Sep,67
2014,Oct,65
2014,Nov,64
2014,Dec,67
2015,Jan,72
2015,Feb,69
2015,Mar,70
2015,Apr,67
2015,May,64
2015,Jun,68
2015,Jul,73
2015,Aug,72
2015,Sep,73
2015,Oct,72
2015,Nov,70
2015,Dec,70
2016,Jan,85
2016,Feb,100
2016,Mar,91
2016,Apr,81
2016,May,80
2016,Jun,78
2016,Jul,76
2016,Aug,81
2016,Sep,83
2016,Oct,85
2016,Nov,80
2016,Dec,79
2017,Jan,85
2017,Feb,84
2017,Mar,86
2017,Apr,81
2017,May,81
2017,Jun,80
2017,Jul,84
2017,Aug,86
2017,Sep,83
2017,Oct,86
2017,Nov,80
2017,Dec,81
2018,Jan,86
2018,Feb,88
2018,Mar,86
2018,Apr,82
2018,May,80
2018,Jun,80
2018,Jul,84
2018,Aug,87
2018,Sep,84
2018,Oct,84
2018,Nov,80
2018,Dec,80
2019,Jan,86
2019,Feb,83
2019,Mar,84
2019,Apr,82
2019,May,79
2019,Jun,82
2019,Jul,81
2019,Aug,83
2019,Sep,81
2019,Oct,80
2019,Nov,77
2019,Dec,75
2020,Jan,81
2020,Feb,84
2020,Mar,69
2020,Apr,68
2020,May,70
2020,Jun,75
2020,Jul,77
2020,Aug,81
2020,Sep,75
2020,Oct,84
2020,Nov,77
2020,Dec,81
2021,Jan,83
2021,Feb,89
2021,Mar,88
2021,Apr,85
2021,May,84
2021,Jun,83
2021,Jul,85
2021,Aug,85
2021,Sep,82
2021,Oct,83
2021,Nov,83
2021,Dec,82
2022,Jan,87
2022,Feb,88
2022,Mar,86
