CNAME:,SYNOPSYS INC
Google Trends Search Term:,synopsys
Google Trends Suggestion:,software development company
Google Trends URL:,/m/026x_s
Year,Month,SVI Data
2004,Jan,69
2004,Feb,98
2004,Mar,73
2004,Apr,100
2004,May,66
2004,Jun,89
2004,Jul,84
2004,Aug,90
2004,Sep,76
2004,Oct,83
2004,Nov,72
2004,Dec,66
2005,Jan,71
2005,Feb,64
2005,Mar,57
2005,Apr,77
2005,May,73
2005,Jun,68
2005,Jul,67
2005,Aug,49
2005,Sep,62
2005,Oct,49
2005,Nov,56
2005,Dec,45
2006,Jan,56
2006,Feb,61
2006,Mar,67
2006,Apr,47
2006,May,46
2006,Jun,51
2006,Jul,48
2006,Aug,57
2006,Sep,52
2006,Oct,46
2006,Nov,57
2006,Dec,39
2007,Jan,46
2007,Feb,44
2007,Mar,51
2007,Apr,57
2007,May,47
2007,Jun,50
2007,Jul,42
2007,Aug,41
2007,Sep,47
2007,Oct,37
2007,Nov,49
2007,Dec,39
2008,Jan,40
2008,Feb,41
2008,Mar,52
2008,Apr,50
2008,May,48
2008,Jun,44
2008,Jul,46
2008,Aug,49
2008,Sep,43
2008,Oct,36
2008,Nov,32
2008,Dec,42
2009,Jan,42
2009,Feb,53
2009,Mar,42
2009,Apr,46
2009,May,35
2009,Jun,35
2009,Jul,33
2009,Aug,35
2009,Sep,35
2009,Oct,42
2009,Nov,33
2009,Dec,27
2010,Jan,39
2010,Feb,36
2010,Mar,35
2010,Apr,35
2010,May,34
2010,Jun,44
2010,Jul,31
2010,Aug,34
2010,Sep,40
2010,Oct,40
2010,Nov,27
2010,Dec,30
2011,Jan,31
2011,Feb,34
2011,Mar,32
2011,Apr,30
2011,May,30
2011,Jun,26
2011,Jul,28
2011,Aug,26
2011,Sep,30
2011,Oct,31
2011,Nov,26
2011,Dec,25
2012,Jan,29
2012,Feb,29
2012,Mar,34
2012,Apr,26
2012,May,27
2012,Jun,24
2012,Jul,24
2012,Aug,27
2012,Sep,23
2012,Oct,26
2012,Nov,21
2012,Dec,22
2013,Jan,22
2013,Feb,27
2013,Mar,25
2013,Apr,24
2013,May,21
2013,Jun,23
2013,Jul,28
2013,Aug,20
2013,Sep,25
2013,Oct,27
2013,Nov,25
2013,Dec,20
2014,Jan,24
2014,Feb,30
2014,Mar,32
2014,Apr,29
2014,May,22
2014,Jun,25
2014,Jul,22
2014,Aug,23
2014,Sep,28
2014,Oct,25
2014,Nov,22
2014,Dec,21
2015,Jan,22
2015,Feb,28
2015,Mar,30
2015,Apr,30
2015,May,25
2015,Jun,29
2015,Jul,24
2015,Aug,25
2015,Sep,21
2015,Oct,26
2015,Nov,22
2015,Dec,20
2016,Jan,20
2016,Feb,23
2016,Mar,30
2016,Apr,22
2016,May,20
2016,Jun,19
2016,Jul,15
2016,Aug,19
2016,Sep,20
2016,Oct,19
2016,Nov,20
2016,Dec,17
2017,Jan,21
2017,Feb,22
2017,Mar,29
2017,Apr,22
2017,May,24
2017,Jun,23
2017,Jul,20
2017,Aug,24
2017,Sep,22
2017,Oct,26
2017,Nov,24
2017,Dec,17
2018,Jan,22
2018,Feb,25
2018,Mar,25
2018,Apr,26
2018,May,21
2018,Jun,24
2018,Jul,22
2018,Aug,24
2018,Sep,24
2018,Oct,27
2018,Nov,19
2018,Dec,16
2019,Jan,24
2019,Feb,24
2019,Mar,28
2019,Apr,23
2019,May,28
2019,Jun,25
2019,Jul,20
2019,Aug,23
2019,Sep,23
2019,Oct,27
2019,Nov,20
2019,Dec,20
2020,Jan,28
2020,Feb,29
2020,Mar,25
2020,Apr,20
2020,May,23
2020,Jun,24
2020,Jul,18
2020,Aug,24
2020,Sep,20
2020,Oct,18
2020,Nov,15
2020,Dec,17
2021,Jan,16
2021,Feb,18
2021,Mar,17
2021,Apr,16
2021,May,15
2021,Jun,18
2021,Jul,16
2021,Aug,18
2021,Sep,18
2021,Oct,18
2021,Nov,16
2021,Dec,17
2022,Jan,18
2022,Feb,23
2022,Mar,23
