CNAME:,KB HOME
Google Trends Search Term:,kb home
Google Trends Suggestion:,company
Google Trends URL:,/m/09xlb3
Year,Month,SVI Data
2004,Jan,58
2004,Feb,59
2004,Mar,78
2004,Apr,60
2004,May,79
2004,Jun,74
2004,Jul,72
2004,Aug,76
2004,Sep,60
2004,Oct,60
2004,Nov,52
2004,Dec,61
2005,Jan,91
2005,Feb,81
2005,Mar,81
2005,Apr,85
2005,May,86
2005,Jun,93
2005,Jul,100
2005,Aug,89
2005,Sep,72
2005,Oct,78
2005,Nov,72
2005,Dec,60
2006,Jan,84
2006,Feb,85
2006,Mar,92
2006,Apr,95
2006,May,84
2006,Jun,90
2006,Jul,91
2006,Aug,92
2006,Sep,94
2006,Oct,86
2006,Nov,75
2006,Dec,62
2007,Jan,83
2007,Feb,84
2007,Mar,80
2007,Apr,71
2007,May,77
2007,Jun,81
2007,Jul,86
2007,Aug,72
2007,Sep,71
2007,Oct,63
2007,Nov,57
2007,Dec,47
2008,Jan,59
2008,Feb,55
2008,Mar,56
2008,Apr,55
2008,May,51
2008,Jun,54
2008,Jul,49
2008,Aug,41
2008,Sep,38
2008,Oct,28
2008,Nov,30
2008,Dec,27
2009,Jan,34
2009,Feb,30
2009,Mar,36
2009,Apr,30
2009,May,31
2009,Jun,27
2009,Jul,30
2009,Aug,26
2009,Sep,24
2009,Oct,24
2009,Nov,18
2009,Dec,18
2010,Jan,23
2010,Feb,19
2010,Mar,22
2010,Apr,28
2010,May,23
2010,Jun,21
2010,Jul,20
2010,Aug,20
2010,Sep,18
2010,Oct,17
2010,Nov,13
2010,Dec,15
2011,Jan,22
2011,Feb,23
2011,Mar,20
2011,Apr,21
2011,May,22
2011,Jun,23
2011,Jul,22
2011,Aug,19
2011,Sep,20
2011,Oct,20
2011,Nov,18
2011,Dec,15
2012,Jan,19
2012,Feb,22
2012,Mar,21
2012,Apr,22
2012,May,21
2012,Jun,21
2012,Jul,20
2012,Aug,21
2012,Sep,21
2012,Oct,19
2012,Nov,17
2012,Dec,17
2013,Jan,22
2013,Feb,22
2013,Mar,22
2013,Apr,23
2013,May,20
2013,Jun,22
2013,Jul,21
2013,Aug,21
2013,Sep,20
2013,Oct,19
2013,Nov,18
2013,Dec,19
2014,Jan,23
2014,Feb,21
2014,Mar,24
2014,Apr,24
2014,May,23
2014,Jun,22
2014,Jul,23
2014,Aug,22
2014,Sep,20
2014,Oct,19
2014,Nov,18
2014,Dec,18
2015,Jan,25
2015,Feb,22
2015,Mar,25
2015,Apr,25
2015,May,25
2015,Jun,23
2015,Jul,23
2015,Aug,22
2015,Sep,21
2015,Oct,18
2015,Nov,17
2015,Dec,16
2016,Jan,22
2016,Feb,23
2016,Mar,23
2016,Apr,23
2016,May,23
2016,Jun,22
2016,Jul,22
2016,Aug,18
2016,Sep,18
2016,Oct,20
2016,Nov,17
2016,Dec,16
2017,Jan,23
2017,Feb,23
2017,Mar,23
2017,Apr,22
2017,May,21
2017,Jun,23
2017,Jul,23
2017,Aug,22
2017,Sep,25
2017,Oct,21
2017,Nov,19
2017,Dec,16
2018,Jan,21
2018,Feb,22
2018,Mar,21
2018,Apr,21
2018,May,22
2018,Jun,22
2018,Jul,20
2018,Aug,20
2018,Sep,18
2018,Oct,16
2018,Nov,15
2018,Dec,15
2019,Jan,20
2019,Feb,22
2019,Mar,22
2019,Apr,23
2019,May,21
2019,Jun,22
2019,Jul,24
2019,Aug,22
2019,Sep,21
2019,Oct,18
2019,Nov,18
2019,Dec,17
2020,Jan,22
2020,Feb,22
2020,Mar,18
2020,Apr,17
2020,May,21
2020,Jun,25
2020,Jul,22
2020,Aug,23
2020,Sep,22
2020,Oct,20
2020,Nov,18
2020,Dec,19
2021,Jan,25
2021,Feb,26
2021,Mar,26
2021,Apr,26
2021,May,23
2021,Jun,21
2021,Jul,20
2021,Aug,20
2021,Sep,20
2021,Oct,20
2021,Nov,19
2021,Dec,18
2022,Jan,26
2022,Feb,24
2022,Mar,27
