CNAME:,PUBLIC SERVICE ENTERPRISE GROU
Google Trends Search Term:,public service enterprise group
Google Trends Suggestion:,electric services company
Google Trends URL:,/m/040_2c
Year,Month,SVI Data
2004,Jan,14
2004,Feb,15
2004,Mar,10
2004,Apr,14
2004,May,13
2004,Jun,16
2004,Jul,13
2004,Aug,16
2004,Sep,13
2004,Oct,17
2004,Nov,12
2004,Dec,16
2005,Jan,14
2005,Feb,13
2005,Mar,13
2005,Apr,13
2005,May,14
2005,Jun,21
2005,Jul,18
2005,Aug,22
2005,Sep,17
2005,Oct,17
2005,Nov,16
2005,Dec,16
2006,Jan,15
2006,Feb,17
2006,Mar,14
2006,Apr,14
2006,May,14
2006,Jun,20
2006,Jul,19
2006,Aug,21
2006,Sep,22
2006,Oct,18
2006,Nov,17
2006,Dec,14
2007,Jan,18
2007,Feb,17
2007,Mar,18
2007,Apr,18
2007,May,18
2007,Jun,20
2007,Jul,18
2007,Aug,23
2007,Sep,19
2007,Oct,18
2007,Nov,17
2007,Dec,16
2008,Jan,18
2008,Feb,19
2008,Mar,19
2008,Apr,18
2008,May,19
2008,Jun,24
2008,Jul,21
2008,Aug,18
2008,Sep,19
2008,Oct,19
2008,Nov,18
2008,Dec,20
2009,Jan,20
2009,Feb,20
2009,Mar,19
2009,Apr,25
2009,May,21
2009,Jun,24
2009,Jul,22
2009,Aug,22
2009,Sep,20
2009,Oct,20
2009,Nov,18
2009,Dec,17
2010,Jan,20
2010,Feb,19
2010,Mar,24
2010,Apr,18
2010,May,19
2010,Jun,23
2010,Jul,23
2010,Aug,21
2010,Sep,21
2010,Oct,21
2010,Nov,20
2010,Dec,20
2011,Jan,24
2011,Feb,26
2011,Mar,26
2011,Apr,24
2011,May,24
2011,Jun,27
2011,Jul,29
2011,Aug,41
2011,Sep,28
2011,Oct,38
2011,Nov,30
2011,Dec,25
2012,Jan,24
2012,Feb,25
2012,Mar,24
2012,Apr,23
2012,May,24
2012,Jun,27
2012,Jul,25
2012,Aug,24
2012,Sep,23
2012,Oct,49
2012,Nov,83
2012,Dec,22
2013,Jan,24
2013,Feb,24
2013,Mar,24
2013,Apr,23
2013,May,23
2013,Jun,25
2013,Jul,29
2013,Aug,25
2013,Sep,23
2013,Oct,24
2013,Nov,23
2013,Dec,24
2014,Jan,30
2014,Feb,30
2014,Mar,30
2014,Apr,27
2014,May,29
2014,Jun,29
2014,Jul,30
2014,Aug,30
2014,Sep,28
2014,Oct,29
2014,Nov,28
2014,Dec,27
2015,Jan,28
2015,Feb,29
2015,Mar,31
2015,Apr,28
2015,May,27
2015,Jun,33
2015,Jul,32
2015,Aug,32
2015,Sep,30
2015,Oct,30
2015,Nov,26
2015,Dec,26
2016,Jan,24
2016,Feb,28
2016,Mar,25
2016,Apr,25
2016,May,25
2016,Jun,27
2016,Jul,30
2016,Aug,29
2016,Sep,27
2016,Oct,27
2016,Nov,24
2016,Dec,24
2017,Jan,25
2017,Feb,25
2017,Mar,27
2017,Apr,23
2017,May,25
2017,Jun,27
2017,Jul,28
2017,Aug,27
2017,Sep,25
2017,Oct,25
2017,Nov,24
2017,Dec,24
2018,Jan,27
2018,Feb,24
2018,Mar,44
2018,Apr,25
2018,May,27
2018,Jun,28
2018,Jul,29
2018,Aug,28
2018,Sep,26
2018,Oct,28
2018,Nov,27
2018,Dec,26
2019,Jan,27
2019,Feb,27
2019,Mar,27
2019,Apr,26
2019,May,27
2019,Jun,28
2019,Jul,45
2019,Aug,31
2019,Sep,28
2019,Oct,28
2019,Nov,28
2019,Dec,26
2020,Jan,26
2020,Feb,25
2020,Mar,22
2020,Apr,21
2020,May,22
2020,Jun,30
2020,Jul,27
2020,Aug,100
2020,Sep,22
2020,Oct,24
2020,Nov,22
2020,Dec,23
2021,Jan,22
2021,Feb,24
2021,Mar,24
2021,Apr,22
2021,May,23
2021,Jun,25
2021,Jul,25
2021,Aug,24
2021,Sep,25
2021,Oct,22
2021,Nov,24
2021,Dec,23
2022,Jan,25
2022,Feb,25
2022,Mar,28
