CNAME:,AMC ENTERTAINMENT HOLDINGS INC
Google Trends Search Term:,amc theatres
Google Trends Suggestion:,company
Google Trends URL:,/m/02qffj
Year,Month,SVI Data
2004,Jan,34
2004,Feb,30
2004,Mar,27
2004,Apr,26
2004,May,33
2004,Jun,42
2004,Jul,44
2004,Aug,32
2004,Sep,23
2004,Oct,27
2004,Nov,32
2004,Dec,36
2005,Jan,31
2005,Feb,27
2005,Mar,25
2005,Apr,25
2005,May,36
2005,Jun,36
2005,Jul,40
2005,Aug,29
2005,Sep,25
2005,Oct,28
2005,Nov,38
2005,Dec,49
2006,Jan,42
2006,Feb,30
2006,Mar,28
2006,Apr,30
2006,May,42
2006,Jun,50
2006,Jul,64
2006,Aug,42
2006,Sep,33
2006,Oct,37
2006,Nov,48
2006,Dec,60
2007,Jan,48
2007,Feb,42
2007,Mar,45
2007,Apr,38
2007,May,51
2007,Jun,55
2007,Jul,76
2007,Aug,55
2007,Sep,39
2007,Oct,38
2007,Nov,45
2007,Dec,60
2008,Jan,54
2008,Feb,46
2008,Mar,40
2008,Apr,33
2008,May,52
2008,Jun,56
2008,Jul,70
2008,Aug,51
2008,Sep,35
2008,Oct,39
2008,Nov,50
2008,Dec,48
2009,Jan,59
2009,Feb,48
2009,Mar,37
2009,Apr,37
2009,May,46
2009,Jun,55
2009,Jul,59
2009,Aug,48
2009,Sep,34
2009,Oct,43
2009,Nov,55
2009,Dec,60
2010,Jan,56
2010,Feb,43
2010,Mar,40
2010,Apr,37
2010,May,43
2010,Jun,54
2010,Jul,69
2010,Aug,51
2010,Sep,38
2010,Oct,44
2010,Nov,57
2010,Dec,55
2011,Jan,54
2011,Feb,52
2011,Mar,43
2011,Apr,56
2011,May,63
2011,Jun,69
2011,Jul,89
2011,Aug,59
2011,Sep,50
2011,Oct,52
2011,Nov,60
2011,Dec,62
2012,Jan,63
2012,Feb,66
2012,Mar,63
2012,Apr,58
2012,May,66
2012,Jun,68
2012,Jul,84
2012,Aug,53
2012,Sep,43
2012,Oct,52
2012,Nov,67
2012,Dec,70
2013,Jan,65
2013,Feb,53
2013,Mar,55
2013,Apr,49
2013,May,67
2013,Jun,81
2013,Jul,84
2013,Aug,66
2013,Sep,51
2013,Oct,49
2013,Nov,69
2013,Dec,70
2014,Jan,64
2014,Feb,55
2014,Mar,55
2014,Apr,51
2014,May,62
2014,Jun,73
2014,Jul,77
2014,Aug,72
2014,Sep,46
2014,Oct,61
2014,Nov,72
2014,Dec,73
2015,Jan,76
2015,Feb,68
2015,Mar,57
2015,Apr,61
2015,May,66
2015,Jun,83
2015,Jul,81
2015,Aug,68
2015,Sep,56
2015,Oct,60
2015,Nov,68
2015,Dec,86
2016,Jan,78
2016,Feb,72
2016,Mar,73
2016,Apr,65
2016,May,71
2016,Jun,89
2016,Jul,98
2016,Aug,72
2016,Sep,54
2016,Oct,60
2016,Nov,70
2016,Dec,85
2017,Jan,81
2017,Feb,72
2017,Mar,87
2017,Apr,68
2017,May,65
2017,Jun,83
2017,Jul,91
2017,Aug,62
2017,Sep,65
2017,Oct,60
2017,Nov,77
2017,Dec,94
2018,Jan,84
2018,Feb,89
2018,Mar,74
2018,Apr,84
2018,May,76
2018,Jun,100
2018,Jul,96
2018,Aug,73
2018,Sep,64
2018,Oct,72
2018,Nov,79
2018,Dec,86
2019,Jan,75
2019,Feb,64
2019,Mar,76
2019,Apr,93
2019,May,80
2019,Jun,90
2019,Jul,92
2019,Aug,66
2019,Sep,64
2019,Oct,63
2019,Nov,71
2019,Dec,78
2020,Jan,69
2020,Feb,57
2020,Mar,27
2020,Apr,7
2020,May,6
2020,Jun,9
2020,Jul,6
2020,Aug,16
2020,Sep,14
2020,Oct,18
2020,Nov,13
2020,Dec,13
2021,Jan,28
2021,Feb,29
2021,Mar,26
2021,Apr,26
2021,May,34
2021,Jun,58
2021,Jul,47
2021,Aug,36
2021,Sep,30
2021,Oct,41
2021,Nov,43
2021,Dec,60
2022,Jan,33
2022,Feb,33
2022,Mar,41
