CNAME:,CUBIST PHARMACEUTICALS INC
Google Trends Search Term:,cubist pharmaceuticals
Google Trends Suggestion:,company
Google Trends URL:,/m/03dztsj
Year,Month,SVI Data
2004,Jan,15
2004,Feb,60
2004,Mar,58
2004,Apr,59
2004,May,40
2004,Jun,55
2004,Jul,71
2004,Aug,38
2004,Sep,49
2004,Oct,37
2004,Nov,64
2004,Dec,34
2005,Jan,40
2005,Feb,21
2005,Mar,45
2005,Apr,20
2005,May,18
2005,Jun,38
2005,Jul,19
2005,Aug,70
2005,Sep,40
2005,Oct,23
2005,Nov,54
2005,Dec,15
2006,Jan,33
2006,Feb,47
2006,Mar,54
2006,Apr,44
2006,May,30
2006,Jun,25
2006,Jul,25
2006,Aug,56
2006,Sep,51
2006,Oct,26
2006,Nov,36
2006,Dec,15
2007,Jan,36
2007,Feb,53
2007,Mar,17
2007,Apr,30
2007,May,32
2007,Jun,51
2007,Jul,60
2007,Aug,31
2007,Sep,12
2007,Oct,48
2007,Nov,17
2007,Dec,25
2008,Jan,25
2008,Feb,26
2008,Mar,51
2008,Apr,31
2008,May,38
2008,Jun,23
2008,Jul,29
2008,Aug,19
2008,Sep,35
2008,Oct,27
2008,Nov,36
2008,Dec,23
2009,Jan,27
2009,Feb,61
2009,Mar,55
2009,Apr,50
2009,May,40
2009,Jun,30
2009,Jul,24
2009,Aug,39
2009,Sep,48
2009,Oct,43
2009,Nov,27
2009,Dec,53
2010,Jan,58
2010,Feb,69
2010,Mar,38
2010,Apr,26
2010,May,17
2010,Jun,49
2010,Jul,36
2010,Aug,16
2010,Sep,29
2010,Oct,25
2010,Nov,34
2010,Dec,24
2011,Jan,27
2011,Feb,29
2011,Mar,22
2011,Apr,40
2011,May,41
2011,Jun,37
2011,Jul,28
2011,Aug,31
2011,Sep,22
2011,Oct,29
2011,Nov,30
2011,Dec,26
2012,Jan,39
2012,Feb,36
2012,Mar,40
2012,Apr,23
2012,May,36
2012,Jun,40
2012,Jul,30
2012,Aug,34
2012,Sep,33
2012,Oct,28
2012,Nov,39
2012,Dec,26
2013,Jan,34
2013,Feb,32
2013,Mar,24
2013,Apr,41
2013,May,30
2013,Jun,28
2013,Jul,32
2013,Aug,32
2013,Sep,37
2013,Oct,29
2013,Nov,45
2013,Dec,38
2014,Jan,53
2014,Feb,34
2014,Mar,33
2014,Apr,28
2014,May,26
2014,Jun,34
2014,Jul,42
2014,Aug,31
2014,Sep,40
2014,Oct,29
2014,Nov,43
2014,Dec,100
2015,Jan,40
2015,Feb,18
2015,Mar,24
2015,Apr,23
2015,May,12
2015,Jun,16
2015,Jul,15
2015,Aug,14
2015,Sep,12
2015,Oct,11
2015,Nov,14
2015,Dec,13
2016,Jan,4
2016,Feb,7
2016,Mar,6
2016,Apr,10
2016,May,6
2016,Jun,6
2016,Jul,6
2016,Aug,3
2016,Sep,7
2016,Oct,5
2016,Nov,7
2016,Dec,4
2017,Jan,3
2017,Feb,3
2017,Mar,4
2017,Apr,3
2017,May,4
2017,Jun,2
2017,Jul,7
2017,Aug,6
2017,Sep,4
2017,Oct,5
2017,Nov,3
2017,Dec,1
2018,Jan,1
2018,Feb,4
2018,Mar,3
2018,Apr,2
2018,May,3
2018,Jun,2
2018,Jul,1
2018,Aug,3
2018,Sep,3
2018,Oct,1
2018,Nov,1
2018,Dec,3
2019,Jan,2
2019,Feb,2
2019,Mar,1
2019,Apr,1
2019,May,2
2019,Jun,3
2019,Jul,1
2019,Aug,1
2019,Sep,3
2019,Oct,3
2019,Nov,1
2019,Dec,1
2020,Jan,3
2020,Feb,4
2020,Mar,2
2020,Apr,2
2020,May,2
2020,Jun,2
2020,Jul,2
2020,Aug,3
2020,Sep,4
2020,Oct,1
2020,Nov,1
2020,Dec,0
2021,Jan,1
2021,Feb,1
2021,Mar,1
2021,Apr,1
2021,May,1
2021,Jun,1
2021,Jul,0
2021,Aug,1
2021,Sep,1
2021,Oct,1
2021,Nov,0
2021,Dec,0
2022,Jan,2
2022,Feb,2
2022,Mar,1
