CNAME:,TRAVELERS COS INC
Google Trends Search Term:,the travelers companies
Google Trends Suggestion:,insurance company
Google Trends URL:,/m/065d4n
Year,Month,SVI Data
2004,Jan,72
2004,Feb,70
2004,Mar,84
2004,Apr,100
2004,May,88
2004,Jun,83
2004,Jul,98
2004,Aug,78
2004,Sep,76
2004,Oct,73
2004,Nov,73
2004,Dec,71
2005,Jan,77
2005,Feb,75
2005,Mar,75
2005,Apr,74
2005,May,74
2005,Jun,76
2005,Jul,81
2005,Aug,77
2005,Sep,78
2005,Oct,74
2005,Nov,70
2005,Dec,63
2006,Jan,74
2006,Feb,68
2006,Mar,76
2006,Apr,74
2006,May,76
2006,Jun,77
2006,Jul,79
2006,Aug,78
2006,Sep,68
2006,Oct,72
2006,Nov,67
2006,Dec,61
2007,Jan,71
2007,Feb,68
2007,Mar,77
2007,Apr,69
2007,May,85
2007,Jun,83
2007,Jul,83
2007,Aug,82
2007,Sep,69
2007,Oct,73
2007,Nov,62
2007,Dec,61
2008,Jan,69
2008,Feb,65
2008,Mar,71
2008,Apr,75
2008,May,73
2008,Jun,86
2008,Jul,79
2008,Aug,69
2008,Sep,69
2008,Oct,67
2008,Nov,63
2008,Dec,63
2009,Jan,69
2009,Feb,73
2009,Mar,74
2009,Apr,69
2009,May,66
2009,Jun,85
2009,Jul,85
2009,Aug,84
2009,Sep,78
2009,Oct,86
2009,Nov,70
2009,Dec,67
2010,Jan,76
2010,Feb,78
2010,Mar,71
2010,Apr,71
2010,May,65
2010,Jun,81
2010,Jul,71
2010,Aug,76
2010,Sep,69
2010,Oct,69
2010,Nov,64
2010,Dec,58
2011,Jan,76
2011,Feb,76
2011,Mar,73
2011,Apr,68
2011,May,70
2011,Jun,93
2011,Jul,80
2011,Aug,79
2011,Sep,74
2011,Oct,64
2011,Nov,65
2011,Dec,61
2012,Jan,66
2012,Feb,64
2012,Mar,65
2012,Apr,66
2012,May,67
2012,Jun,72
2012,Jul,67
2012,Aug,66
2012,Sep,61
2012,Oct,61
2012,Nov,57
2012,Dec,53
2013,Jan,59
2013,Feb,57
2013,Mar,56
2013,Apr,57
2013,May,57
2013,Jun,64
2013,Jul,60
2013,Aug,57
2013,Sep,54
2013,Oct,55
2013,Nov,49
2013,Dec,49
2014,Jan,55
2014,Feb,54
2014,Mar,53
2014,Apr,54
2014,May,56
2014,Jun,65
2014,Jul,59
2014,Aug,57
2014,Sep,54
2014,Oct,54
2014,Nov,47
2014,Dec,50
2015,Jan,53
2015,Feb,54
2015,Mar,57
2015,Apr,57
2015,May,58
2015,Jun,72
2015,Jul,66
2015,Aug,61
2015,Sep,56
2015,Oct,55
2015,Nov,51
2015,Dec,51
2016,Jan,44
2016,Feb,49
2016,Mar,47
2016,Apr,48
2016,May,49
2016,Jun,49
2016,Jul,50
2016,Aug,56
2016,Sep,49
2016,Oct,47
2016,Nov,44
2016,Dec,57
2017,Jan,66
2017,Feb,56
2017,Mar,53
2017,Apr,51
2017,May,55
2017,Jun,70
2017,Jul,55
2017,Aug,58
2017,Sep,52
2017,Oct,53
2017,Nov,51
2017,Dec,56
2018,Jan,82
2018,Feb,63
2018,Mar,58
2018,Apr,53
2018,May,55
2018,Jun,65
2018,Jul,60
2018,Aug,58
2018,Sep,52
2018,Oct,55
2018,Nov,50
2018,Dec,66
2019,Jan,75
2019,Feb,60
2019,Mar,57
2019,Apr,57
2019,May,58
2019,Jun,72
2019,Jul,60
2019,Aug,60
2019,Sep,54
2019,Oct,54
2019,Nov,52
2019,Dec,49
2020,Jan,55
2020,Feb,56
2020,Mar,56
2020,Apr,55
2020,May,51
2020,Jun,81
2020,Jul,61
2020,Aug,56
2020,Sep,51
2020,Oct,54
2020,Nov,46
2020,Dec,49
2021,Jan,51
2021,Feb,57
2021,Mar,58
2021,Apr,57
2021,May,55
2021,Jun,80
2021,Jul,60
2021,Aug,59
2021,Sep,57
2021,Oct,54
2021,Nov,53
2021,Dec,54
2022,Jan,55
2022,Feb,62
2022,Mar,65
