CNAME:,GEO GROUP INC
Google Trends Search Term:,the geo group inc
Google Trends Suggestion:,security company
Google Trends URL:,/m/027hrk3
Year,Month,SVI Data
2004,Jan,31
2004,Feb,54
2004,Mar,38
2004,Apr,35
2004,May,11
2004,Jun,38
2004,Jul,22
2004,Aug,30
2004,Sep,34
2004,Oct,20
2004,Nov,41
2004,Dec,27
2005,Jan,16
2005,Feb,33
2005,Mar,42
2005,Apr,49
2005,May,29
2005,Jun,45
2005,Jul,44
2005,Aug,45
2005,Sep,48
2005,Oct,63
2005,Nov,34
2005,Dec,44
2006,Jan,23
2006,Feb,32
2006,Mar,36
2006,Apr,48
2006,May,54
2006,Jun,50
2006,Jul,39
2006,Aug,38
2006,Sep,34
2006,Oct,43
2006,Nov,41
2006,Dec,31
2007,Jan,43
2007,Feb,30
2007,Mar,41
2007,Apr,72
2007,May,48
2007,Jun,49
2007,Jul,62
2007,Aug,50
2007,Sep,36
2007,Oct,46
2007,Nov,37
2007,Dec,31
2008,Jan,50
2008,Feb,49
2008,Mar,44
2008,Apr,57
2008,May,60
2008,Jun,49
2008,Jul,48
2008,Aug,50
2008,Sep,37
2008,Oct,39
2008,Nov,47
2008,Dec,39
2009,Jan,36
2009,Feb,79
2009,Mar,44
2009,Apr,54
2009,May,38
2009,Jun,45
2009,Jul,45
2009,Aug,52
2009,Sep,55
2009,Oct,56
2009,Nov,43
2009,Dec,28
2010,Jan,37
2010,Feb,46
2010,Mar,54
2010,Apr,55
2010,May,43
2010,Jun,61
2010,Jul,47
2010,Aug,53
2010,Sep,61
2010,Oct,46
2010,Nov,58
2010,Dec,62
2011,Jan,77
2011,Feb,78
2011,Mar,81
2011,Apr,67
2011,May,74
2011,Jun,75
2011,Jul,75
2011,Aug,76
2011,Sep,76
2011,Oct,70
2011,Nov,56
2011,Dec,60
2012,Jan,70
2012,Feb,66
2012,Mar,59
2012,Apr,69
2012,May,73
2012,Jun,69
2012,Jul,72
2012,Aug,69
2012,Sep,73
2012,Oct,61
2012,Nov,52
2012,Dec,56
2013,Jan,65
2013,Feb,96
2013,Mar,79
2013,Apr,81
2013,May,75
2013,Jun,71
2013,Jul,67
2013,Aug,67
2013,Sep,70
2013,Oct,82
2013,Nov,67
2013,Dec,59
2014,Jan,71
2014,Feb,64
2014,Mar,70
2014,Apr,73
2014,May,64
2014,Jun,67
2014,Jul,94
2014,Aug,83
2014,Sep,72
2014,Oct,67
2014,Nov,56
2014,Dec,55
2015,Jan,59
2015,Feb,71
2015,Mar,75
2015,Apr,77
2015,May,67
2015,Jun,81
2015,Jul,88
2015,Aug,71
2015,Sep,76
2015,Oct,75
2015,Nov,71
2015,Dec,58
2016,Jan,68
2016,Feb,64
2016,Mar,53
2016,Apr,56
2016,May,75
2016,Jun,73
2016,Jul,69
2016,Aug,96
2016,Sep,79
2016,Oct,63
2016,Nov,72
2016,Dec,63
2017,Jan,71
2017,Feb,86
2017,Mar,82
2017,Apr,74
2017,May,79
2017,Jun,71
2017,Jul,66
2017,Aug,78
2017,Sep,67
2017,Oct,67
2017,Nov,68
2017,Dec,61
2018,Jan,71
2018,Feb,69
2018,Mar,68
2018,Apr,70
2018,May,73
2018,Jun,99
2018,Jul,89
2018,Aug,80
2018,Sep,68
2018,Oct,68
2018,Nov,62
2018,Dec,57
2019,Jan,62
2019,Feb,63
2019,Mar,73
2019,Apr,64
2019,May,77
2019,Jun,100
2019,Jul,87
2019,Aug,81
2019,Sep,80
2019,Oct,77
2019,Nov,58
2019,Dec,61
2020,Jan,74
2020,Feb,65
2020,Mar,69
2020,Apr,62
2020,May,58
2020,Jun,72
2020,Jul,59
2020,Aug,53
2020,Sep,57
2020,Oct,60
2020,Nov,54
2020,Dec,49
2021,Jan,68
2021,Feb,59
2021,Mar,53
2021,Apr,63
2021,May,53
2021,Jun,87
2021,Jul,51
2021,Aug,55
2021,Sep,44
2021,Oct,52
2021,Nov,45
2021,Dec,36
2022,Jan,41
2022,Feb,43
2022,Mar,48
