CNAME:,PRESSTEK INC
Google Trends Search Term:,presstek inc
Google Trends Suggestion:,company
Google Trends URL:,/m/03p2_c9
Year,Month,SVI Data
2004,Jan,46
2004,Feb,74
2004,Mar,38
2004,Apr,14
2004,May,40
2004,Jun,68
2004,Jul,70
2004,Aug,13
2004,Sep,36
2004,Oct,37
2004,Nov,25
2004,Dec,67
2005,Jan,39
2005,Feb,72
2005,Mar,26
2005,Apr,10
2005,May,63
2005,Jun,37
2005,Jul,64
2005,Aug,17
2005,Sep,40
2005,Oct,22
2005,Nov,38
2005,Dec,22
2006,Jan,26
2006,Feb,100
2006,Mar,12
2006,Apr,63
2006,May,41
2006,Jun,50
2006,Jul,61
2006,Aug,44
2006,Sep,61
2006,Oct,56
2006,Nov,91
2006,Dec,61
2007,Jan,58
2007,Feb,47
2007,Mar,51
2007,Apr,73
2007,May,51
2007,Jun,50
2007,Jul,32
2007,Aug,60
2007,Sep,57
2007,Oct,75
2007,Nov,44
2007,Dec,49
2008,Jan,47
2008,Feb,55
2008,Mar,47
2008,Apr,58
2008,May,59
2008,Jun,66
2008,Jul,60
2008,Aug,41
2008,Sep,40
2008,Oct,58
2008,Nov,44
2008,Dec,32
2009,Jan,49
2009,Feb,31
2009,Mar,62
2009,Apr,18
2009,May,32
2009,Jun,27
2009,Jul,40
2009,Aug,39
2009,Sep,30
2009,Oct,40
2009,Nov,27
2009,Dec,26
2010,Jan,36
2010,Feb,33
2010,Mar,30
2010,Apr,22
2010,May,35
2010,Jun,14
2010,Jul,26
2010,Aug,29
2010,Sep,19
2010,Oct,18
2010,Nov,25
2010,Dec,7
2011,Jan,20
2011,Feb,27
2011,Mar,22
2011,Apr,40
2011,May,18
2011,Jun,17
2011,Jul,21
2011,Aug,25
2011,Sep,16
2011,Oct,23
2011,Nov,20
2011,Dec,20
2012,Jan,28
2012,Feb,29
2012,Mar,16
2012,Apr,25
2012,May,25
2012,Jun,26
2012,Jul,19
2012,Aug,21
2012,Sep,25
2012,Oct,30
2012,Nov,18
2012,Dec,20
2013,Jan,14
2013,Feb,13
2013,Mar,17
2013,Apr,17
2013,May,24
2013,Jun,13
2013,Jul,14
2013,Aug,11
2013,Sep,10
2013,Oct,13
2013,Nov,12
2013,Dec,10
2014,Jan,10
2014,Feb,10
2014,Mar,15
2014,Apr,10
2014,May,14
2014,Jun,13
2014,Jul,15
2014,Aug,8
2014,Sep,10
2014,Oct,6
2014,Nov,8
2014,Dec,6
2015,Jan,9
2015,Feb,10
2015,Mar,15
2015,Apr,11
2015,May,7
2015,Jun,7
2015,Jul,10
2015,Aug,5
2015,Sep,10
2015,Oct,9
2015,Nov,13
2015,Dec,7
2016,Jan,7
2016,Feb,9
2016,Mar,12
2016,Apr,8
2016,May,6
2016,Jun,9
2016,Jul,5
2016,Aug,6
2016,Sep,7
2016,Oct,10
2016,Nov,4
2016,Dec,6
2017,Jan,5
2017,Feb,13
2017,Mar,6
2017,Apr,6
2017,May,9
2017,Jun,5
2017,Jul,1
2017,Aug,6
2017,Sep,9
2017,Oct,8
2017,Nov,6
2017,Dec,6
2018,Jan,5
2018,Feb,10
2018,Mar,5
2018,Apr,6
2018,May,7
2018,Jun,4
2018,Jul,7
2018,Aug,7
2018,Sep,3
2018,Oct,2
2018,Nov,5
2018,Dec,3
2019,Jan,3
2019,Feb,4
2019,Mar,4
2019,Apr,1
2019,May,4
2019,Jun,0
2019,Jul,3
2019,Aug,4
2019,Sep,1
2019,Oct,5
2019,Nov,2
2019,Dec,3
2020,Jan,5
2020,Feb,3
2020,Mar,2
2020,Apr,2
2020,May,2
2020,Jun,1
2020,Jul,2
2020,Aug,1
2020,Sep,1
2020,Oct,1
2020,Nov,2
2020,Dec,2
2021,Jan,4
2021,Feb,2
2021,Mar,2
2021,Apr,2
2021,May,2
2021,Jun,1
2021,Jul,1
2021,Aug,1
2021,Sep,2
2021,Oct,2
2021,Nov,1
2021,Dec,1
2022,Jan,3
2022,Feb,1
2022,Mar,1
