CNAME:,STANLEY BLACK & DECKER INC
Google Trends Search Term:,stanley black & decker
Google Trends Suggestion:,manufacturing company
Google Trends URL:,/m/03_byc
Year,Month,SVI Data
2004,Jan,90
2004,Feb,63
2004,Mar,70
2004,Apr,100
2004,May,80
2004,Jun,55
2004,Jul,68
2004,Aug,61
2004,Sep,87
2004,Oct,70
2004,Nov,79
2004,Dec,76
2005,Jan,45
2005,Feb,52
2005,Mar,53
2005,Apr,56
2005,May,63
2005,Jun,59
2005,Jul,59
2005,Aug,65
2005,Sep,48
2005,Oct,57
2005,Nov,52
2005,Dec,61
2006,Jan,53
2006,Feb,36
2006,Mar,61
2006,Apr,45
2006,May,62
2006,Jun,59
2006,Jul,46
2006,Aug,58
2006,Sep,49
2006,Oct,49
2006,Nov,55
2006,Dec,76
2007,Jan,54
2007,Feb,37
2007,Mar,40
2007,Apr,52
2007,May,51
2007,Jun,47
2007,Jul,47
2007,Aug,48
2007,Sep,40
2007,Oct,45
2007,Nov,43
2007,Dec,52
2008,Jan,50
2008,Feb,57
2008,Mar,43
2008,Apr,56
2008,May,43
2008,Jun,44
2008,Jul,43
2008,Aug,40
2008,Sep,47
2008,Oct,43
2008,Nov,43
2008,Dec,57
2009,Jan,43
2009,Feb,38
2009,Mar,41
2009,Apr,48
2009,May,44
2009,Jun,46
2009,Jul,50
2009,Aug,38
2009,Sep,42
2009,Oct,40
2009,Nov,82
2009,Dec,61
2010,Jan,51
2010,Feb,44
2010,Mar,65
2010,Apr,47
2010,May,54
2010,Jun,55
2010,Jul,42
2010,Aug,46
2010,Sep,40
2010,Oct,46
2010,Nov,46
2010,Dec,49
2011,Jan,43
2011,Feb,49
2011,Mar,45
2011,Apr,54
2011,May,44
2011,Jun,56
2011,Jul,54
2011,Aug,49
2011,Sep,48
2011,Oct,43
2011,Nov,52
2011,Dec,48
2012,Jan,50
2012,Feb,43
2012,Mar,43
2012,Apr,45
2012,May,50
2012,Jun,58
2012,Jul,45
2012,Aug,41
2012,Sep,45
2012,Oct,45
2012,Nov,54
2012,Dec,38
2013,Jan,41
2013,Feb,33
2013,Mar,38
2013,Apr,41
2013,May,47
2013,Jun,44
2013,Jul,42
2013,Aug,41
2013,Sep,36
2013,Oct,45
2013,Nov,40
2013,Dec,35
2014,Jan,35
2014,Feb,32
2014,Mar,35
2014,Apr,36
2014,May,38
2014,Jun,38
2014,Jul,38
2014,Aug,31
2014,Sep,35
2014,Oct,35
2014,Nov,36
2014,Dec,33
2015,Jan,31
2015,Feb,29
2015,Mar,38
2015,Apr,35
2015,May,36
2015,Jun,41
2015,Jul,39
2015,Aug,37
2015,Sep,33
2015,Oct,34
2015,Nov,39
2015,Dec,31
2016,Jan,34
2016,Feb,43
2016,Mar,39
2016,Apr,37
2016,May,38
2016,Jun,38
2016,Jul,34
2016,Aug,34
2016,Sep,33
2016,Oct,43
2016,Nov,38
2016,Dec,36
2017,Jan,66
2017,Feb,44
2017,Mar,47
2017,Apr,46
2017,May,51
2017,Jun,48
2017,Jul,44
2017,Aug,53
2017,Sep,39
2017,Oct,53
2017,Nov,49
2017,Dec,49
2018,Jan,53
2018,Feb,49
2018,Mar,44
2018,Apr,47
2018,May,47
2018,Jun,50
2018,Jul,47
2018,Aug,48
2018,Sep,47
2018,Oct,52
2018,Nov,51
2018,Dec,44
2019,Jan,49
2019,Feb,48
2019,Mar,46
2019,Apr,50
2019,May,90
2019,Jun,66
2019,Jul,62
2019,Aug,56
2019,Sep,59
2019,Oct,53
2019,Nov,49
2019,Dec,48
2020,Jan,48
2020,Feb,48
2020,Mar,47
2020,Apr,59
2020,May,74
2020,Jun,55
2020,Jul,59
2020,Aug,59
2020,Sep,49
2020,Oct,49
2020,Nov,45
2020,Dec,46
2021,Jan,39
2021,Feb,50
2021,Mar,46
2021,Apr,48
2021,May,48
2021,Jun,51
2021,Jul,52
2021,Aug,59
2021,Sep,51
2021,Oct,49
2021,Nov,51
2021,Dec,49
2022,Jan,44
2022,Feb,48
2022,Mar,48
